Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
ELEC,LADWP - John Ferraro Building,111 N Hope St,Across Hope,Los Angeles,CA,90012,,800-473-3652,E,,Public,24 hours daily,,,,,,260.0,1,,Non-Networked,,200-9,34.057922,-118.2498,2018-10-04,1525,2019-05-21 16:48:24 UTC,LG,,,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,UTILITY,,,,,,,Free,,,,,,,,,
ELEC,OUC,100 W Anderson St,"DCQC RELIABLE 1; Visitor Lot of OUC Reliable Plaza. Left of Entrance 
OUC RELIABLE 02; Visitor Parking Lot. Right of Entrance in planter
RELIABLE 01; OUC Visitor Parking Lot",Orlando,FL,32801,,888-758-4389,E,,Public,24 hours daily,,,,,1.0,2.0,1,,ChargePoint Network,http://www.chargepoint.com/,200-9,28.536513,-81.379014,2019-11-01,35284,2019-11-01 09:11:31 UTC,,,,,,,,,CHADEMO J1772 NEMA520,US,,,,Public,,public,,,,,,,,,,Pricing is based on kWh used. $0.12 per kWh,,,,,,,,,
ELEC,City of Greenville - Richardson Garage,66 Richardson St,,Greenville,SC,29601,,864-467-4900,E,,Public,24 hours daily,,,,,,3.0,1,,Non-Networked,,200-9,34.852437,-82.399901,2019-08-08,38309,2019-08-08 15:38:00 UTC,LG,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,
ELEC,City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,1st floor of parking garage,Santa Monica,CA,90401,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,,14.0,1,,Non-Networked,,GPS,34.010528,-118.4898,2019-04-08,38521,2019-05-14 21:16:45 UTC,LG,,,2010-11-15,,,,,CHADEMO J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,SOLAR
ELEC,Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Located in the indoor valet and covered self-parking,Commerce City,CO,80022,,303-574-9800,E,,Public,24 hours daily; pay lot,,,,,18.0,9.0,1,,Non-Networked,,200-9,39.844569,-104.76788,2018-11-08,38522,2019-05-14 21:16:45 UTC,P,,,2010-10-19,,,,,CHADEMO J1772 NEMA515,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,
ELEC,CAL STATE LA,5151 State University Drive,"DCFC1; Physical Science- Level B
DCFC2; Physical Science- Level B
DCFC4; Level 1A
DCFC5; Level 1A
DCFC6; Level 1A
LOT 06 ST 01; Enter Lot 6 from Circle Dr.,stations are by the strage area IT116.
LOT 10 E T 01; In front of Tech Ed Lab B-11
LOT 10 E T 02; Stations are in front of Tech Ed Lab B11.
LOT 10 E T 03; Enter Lot 10 from Circle Dr., stations are on the right.
LOT 3 ST 01; Station is at Lot 3, an outdoor lot.
LOT 3 ST 03; Station is at Lot 3, an outdoor lot.
STRUCTURE A 01; Station is on Lower Level.
STRUCTURE B 01; Station is in Structure B, ground level..
STRUCTURE C 01; Station is at Level 1F, on the South side of the garage.",Los Angeles,CA,90032,,888-758-4389,E,,Public,24 hours daily,,,,,,15.0,10,,ChargePoint Network,http://www.chargepoint.com/,200-8,34.062498,-118.171663,2019-11-01,38910,2019-11-01 09:11:31 UTC,,,,,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,
ELEC,EDISONPARKFAST,50 W 44th St,"LOC #100 LEVEL3; Located in basement level of Hippodrome Garage, Edison ParkFast",New York,NY,10036,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,200-8,40.755858700000005,-73.98249659999999,2019-11-01,38981,2019-11-01 09:11:31 UTC,,,,,,,,,CHADEMO,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,
ELEC,Clay Cooley Nissan,4914 S IH-35,,Austin,TX,78745,,512-444-1400,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,30.206145000000003,-97.759109,2018-07-09,39114,2019-05-14 21:16:45 UTC,P,,,2011-01-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,CITY OF REDWOOD,750 Marshall St,L3 MARSHALL ST; -,Redwood City,CA,94063,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.487550399999996,-122.2272435,2019-11-01,39232,2019-11-01 09:11:31 UTC,,,,,,,,,CHADEMO,US,,,,Public,,public,,,,,,,,,,$5 per hour,,,,,,,,,
ELEC,Nissan of Fort Worth,3451 W Loop 820 S,,Fort Worth,TX,76116,,817-560-9000,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,32.721585,-97.478539,2018-07-09,39723,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
