Time,"Power, kW"
11/1/14 0:00,23.14646
11/1/14 0:15,17.97162
11/1/14 0:30,6.735884
11/1/14 0:45,0
11/1/14 1:00,0
11/1/14 1:15,0
11/1/14 1:30,0
11/1/14 1:45,0
11/1/14 2:00,36.66942
11/1/14 2:15,28.00941
11/1/14 2:30,5.893578
11/1/14 2:45,0
11/1/14 3:00,0
11/1/14 3:15,0
11/1/14 3:30,0
11/1/14 3:45,0
11/1/14 4:00,0
11/1/14 4:15,0
11/1/14 4:30,0
11/1/14 4:45,0
11/1/14 5:00,0
11/1/14 5:15,0
11/1/14 5:30,0
11/1/14 5:45,0
11/1/14 6:00,0
11/1/14 6:15,0
11/1/14 6:30,0
11/1/14 6:45,0
11/1/14 7:00,0
11/1/14 7:15,0
11/1/14 7:30,0
11/1/14 7:45,0
11/1/14 8:00,0
11/1/14 8:15,0
11/1/14 8:30,0
11/1/14 8:45,0
11/1/14 9:00,0
11/1/14 9:15,0
11/1/14 9:30,5.462792
11/1/14 9:45,15.73338
11/1/14 10:00,6.465736
11/1/14 10:15,21.56444
11/1/14 10:30,22.61838
11/1/14 10:45,24.19883
11/1/14 11:00,4.195632
11/1/14 11:15,0
11/1/14 11:30,0
11/1/14 11:45,0
11/1/14 12:00,0
11/1/14 12:15,4.970881
11/1/14 12:30,2.072487
11/1/14 12:45,0
11/1/14 13:00,0
11/1/14 13:15,0
11/1/14 13:30,0
11/1/14 13:45,0
11/1/14 14:00,0
11/1/14 14:15,0
11/1/14 14:30,0
11/1/14 14:45,22.97206
11/1/14 15:00,2.362539
11/1/14 15:15,0
11/1/14 15:30,0
11/1/14 15:45,37.67588
11/1/14 16:00,11.39691
11/1/14 16:15,0
11/1/14 16:30,0
11/1/14 16:45,0
11/1/14 17:00,0
11/1/14 17:15,0
11/1/14 17:30,0
11/1/14 17:45,0
11/1/14 18:00,0
11/1/14 18:15,0
11/1/14 18:30,0
11/1/14 18:45,0
11/1/14 19:00,0
11/1/14 19:15,0
11/1/14 19:30,0
11/1/14 19:45,0
11/1/14 20:00,0
11/1/14 20:15,0.6495603
11/1/14 20:30,44.79
11/1/14 20:45,46.04854
11/1/14 21:00,46.87117
11/1/14 21:15,47.21869
11/1/14 21:30,0
11/1/14 21:45,0
11/1/14 22:00,0
11/1/14 22:15,0
11/1/14 22:30,0
11/1/14 22:45,22.89764
11/1/14 23:00,4.08049
11/1/14 23:15,0
11/1/14 23:30,0
11/1/14 23:45,0
11/2/14 0:00,0
11/2/14 0:15,0
11/2/14 0:30,0
11/2/14 0:45,0
11/2/14 1:00,0
11/2/14 1:15,0
11/2/14 1:30,0
11/2/14 1:45,0
11/2/14 2:00,0
11/2/14 2:15,0
11/2/14 2:30,0
11/2/14 2:45,0
11/2/14 3:00,0
11/2/14 3:15,0
11/2/14 3:30,0
11/2/14 3:45,0
11/2/14 4:00,0
11/2/14 4:15,0
11/2/14 4:30,0
11/2/14 4:45,0
11/2/14 5:00,0
11/2/14 5:15,0
11/2/14 5:30,0
11/2/14 5:45,0
11/2/14 6:00,0
11/2/14 6:15,0
11/2/14 6:30,0
11/2/14 6:45,0
11/2/14 7:00,0
11/2/14 7:15,0
11/2/14 7:30,0
11/2/14 7:45,0
11/2/14 8:00,0
11/2/14 8:15,0
11/2/14 8:30,0
11/2/14 8:45,0
11/2/14 9:00,0
11/2/14 9:15,0
11/2/14 9:30,0
11/2/14 9:45,0
11/2/14 10:00,0
11/2/14 10:15,0
11/2/14 10:30,0
11/2/14 10:45,0
11/2/14 11:00,0
11/2/14 11:15,0
11/2/14 11:30,0
11/2/14 11:45,0
11/2/14 12:00,0
11/2/14 12:15,18.12824
11/2/14 12:30,10.88647
11/2/14 12:45,2.200029
11/2/14 13:00,0
11/2/14 13:15,0
11/2/14 13:30,0
11/2/14 13:45,6.828973
11/2/14 14:00,15.40321
11/2/14 14:15,0
11/2/14 14:30,18.10765
11/2/14 14:45,19.79043
11/2/14 15:00,5.418999
11/2/14 15:15,15.94485
11/2/14 15:30,7.506764
11/2/14 15:45,17.84883
11/2/14 16:00,29.78662
11/2/14 16:15,4.246413
11/2/14 16:30,0
11/2/14 16:45,0
11/2/14 17:00,0
11/2/14 17:15,0
11/2/14 17:30,0
11/2/14 17:45,0.8564713
11/2/14 18:00,38.13014
11/2/14 18:15,17.34265
11/2/14 18:30,0
11/2/14 18:45,0
11/2/14 19:00,0
11/2/14 19:15,0
11/2/14 19:30,0
11/2/14 19:45,0
11/2/14 20:00,0
11/2/14 20:15,0
11/2/14 20:30,0
11/2/14 20:45,0
11/2/14 21:00,0
11/2/14 21:15,0
11/2/14 21:30,0
11/2/14 21:45,0
11/2/14 22:00,0
11/2/14 22:15,0
11/2/14 22:30,0
11/2/14 22:45,0
11/2/14 23:00,0
11/2/14 23:15,0
11/2/14 23:30,0
11/2/14 23:45,0
11/3/14 0:00,0
11/3/14 0:15,0
11/3/14 0:30,0
11/3/14 0:45,0
11/3/14 1:00,0
11/3/14 1:15,0
11/3/14 1:30,0
11/3/14 1:45,0
11/3/14 2:00,0
11/3/14 2:15,0
11/3/14 2:30,0
11/3/14 2:45,0
11/3/14 3:00,0
11/3/14 3:15,0
11/3/14 3:30,0
11/3/14 3:45,0
11/3/14 4:00,0
11/3/14 4:15,0
11/3/14 4:30,0
11/3/14 4:45,0
11/3/14 5:00,0
11/3/14 5:15,0
11/3/14 5:30,0
11/3/14 5:45,0
11/3/14 6:00,0
11/3/14 6:15,0
11/3/14 6:30,16.02882
11/3/14 6:45,6.832396
11/3/14 7:00,0
11/3/14 7:15,0
11/3/14 7:30,0
11/3/14 7:45,0
11/3/14 8:00,0
11/3/14 8:15,0
11/3/14 8:30,13.58941
11/3/14 8:45,17.65559
11/3/14 9:00,1.329932
11/3/14 9:15,32.44529
11/3/14 9:30,24.24103
11/3/14 9:45,2.142821
11/3/14 10:00,0
11/3/14 10:15,0
11/3/14 10:30,0
11/3/14 10:45,0
11/3/14 11:00,0
11/3/14 11:15,0
11/3/14 11:30,0
11/3/14 11:45,0
11/3/14 12:00,0
11/3/14 12:15,0
11/3/14 12:30,0
11/3/14 12:45,0
11/3/14 13:00,0
11/3/14 13:15,0
11/3/14 13:30,0
11/3/14 13:45,0
11/3/14 14:00,0
11/3/14 14:15,0
11/3/14 14:30,0
11/3/14 14:45,0
11/3/14 15:00,0
11/3/14 15:15,14.19882
11/3/14 15:30,16.43382
11/3/14 15:45,15.73917
11/3/14 16:00,0
11/3/14 16:15,0
11/3/14 16:30,0
11/3/14 16:45,0
11/3/14 17:00,0
11/3/14 17:15,34.86367
11/3/14 17:30,19.43937
11/3/14 17:45,0
11/3/14 18:00,0
11/3/14 18:15,12.62397
11/3/14 18:30,13.54799
11/3/14 18:45,20.83334
11/3/14 19:00,0
11/3/14 19:15,0
11/3/14 19:30,0
11/3/14 19:45,0
11/3/14 20:00,0
11/3/14 20:15,0
11/3/14 20:30,12.51309
11/3/14 20:45,13.3247
11/3/14 21:00,0
11/3/14 21:15,0
11/3/14 21:30,0
11/3/14 21:45,0
11/3/14 22:00,0
11/3/14 22:15,0
11/3/14 22:30,0
11/3/14 22:45,0
11/3/14 23:00,0
11/3/14 23:15,0
11/3/14 23:30,0
11/3/14 23:45,0
11/4/14 0:00,0
11/4/14 0:15,0
11/4/14 0:30,0
11/4/14 0:45,0
11/4/14 1:00,0
11/4/14 1:15,0
11/4/14 1:30,0
11/4/14 1:45,0
11/4/14 2:00,0
11/4/14 2:15,0
11/4/14 2:30,0
11/4/14 2:45,0
11/4/14 3:00,0
11/4/14 3:15,0
11/4/14 3:30,7.114414
11/4/14 3:45,2.309701
11/4/14 4:00,1.019262
11/4/14 4:15,0
11/4/14 4:30,0
11/4/14 4:45,0
11/4/14 5:00,0
11/4/14 5:15,0
11/4/14 5:30,0
11/4/14 5:45,0
11/4/14 6:00,0
11/4/14 6:15,0
11/4/14 6:30,0
11/4/14 6:45,0
11/4/14 7:00,0
11/4/14 7:15,0
11/4/14 7:30,0
11/4/14 7:45,18.53116
11/4/14 8:00,1.715196
11/4/14 8:15,0
11/4/14 8:30,0
11/4/14 8:45,0
11/4/14 9:00,0
11/4/14 9:15,0
11/4/14 9:30,21.58249
11/4/14 9:45,20.07878
11/4/14 10:00,22.53898
11/4/14 10:15,8.379261
11/4/14 10:30,28.67778
11/4/14 10:45,14.24367
11/4/14 11:00,6.13235
11/4/14 11:15,0.1935287
11/4/14 11:30,0
11/4/14 11:45,0
11/4/14 12:00,0
11/4/14 12:15,0
11/4/14 12:30,19.46882
11/4/14 12:45,23.46676
11/4/14 13:00,7.535146
11/4/14 13:15,23.89721
11/4/14 13:30,12.06078
11/4/14 13:45,0
11/4/14 14:00,0
11/4/14 14:15,0
11/4/14 14:30,0
11/4/14 14:45,0
11/4/14 15:00,0
11/4/14 15:15,0
11/4/14 15:30,0
11/4/14 15:45,0
11/4/14 16:00,0
11/4/14 16:15,0
11/4/14 16:30,0
11/4/14 16:45,0
11/4/14 17:00,0
11/4/14 17:15,0
11/4/14 17:30,0
11/4/14 17:45,26.70235
11/4/14 18:00,26.38616
11/4/14 18:15,18.78164
11/4/14 18:30,5.47706
11/4/14 18:45,16.76191
11/4/14 19:00,20.71514
11/4/14 19:15,9.908088
11/4/14 19:30,3.498823
11/4/14 19:45,0
11/4/14 20:00,0
11/4/14 20:15,0
11/4/14 20:30,0
11/4/14 20:45,0
11/4/14 21:00,0
11/4/14 21:15,0
11/4/14 21:30,32.77705
11/4/14 21:45,14.18068
11/4/14 22:00,0
11/4/14 22:15,0
11/4/14 22:30,0
11/4/14 22:45,0
11/4/14 23:00,0
11/4/14 23:15,0
11/4/14 23:30,0
11/4/14 23:45,0
11/5/14 0:00,0
11/5/14 0:15,0
11/5/14 0:30,0
11/5/14 0:45,0
11/5/14 1:00,0
11/5/14 1:15,0
11/5/14 1:30,0
11/5/14 1:45,0
11/5/14 2:00,0
11/5/14 2:15,0
11/5/14 2:30,0
11/5/14 2:45,0
11/5/14 3:00,0
11/5/14 3:15,29.96677
11/5/14 3:30,19.92645
11/5/14 3:45,0
11/5/14 4:00,0
11/5/14 4:15,0
11/5/14 4:30,0
11/5/14 4:45,0
11/5/14 5:00,0
11/5/14 5:15,0
11/5/14 5:30,0
11/5/14 5:45,0
11/5/14 6:00,0
11/5/14 6:15,0
11/5/14 6:30,0
11/5/14 6:45,0
11/5/14 7:00,0
11/5/14 7:15,0
11/5/14 7:30,0
11/5/14 7:45,0
11/5/14 8:00,11.31132
11/5/14 8:15,22.15941
11/5/14 8:30,0
11/5/14 8:45,0
11/5/14 9:00,0
11/5/14 9:15,0
11/5/14 9:30,0
11/5/14 9:45,0
11/5/14 10:00,0
11/5/14 10:15,0
11/5/14 10:30,0
11/5/14 10:45,0
11/5/14 11:00,0
11/5/14 11:15,31.19836
11/5/14 11:30,36.20302
11/5/14 11:45,35.64485
11/5/14 12:00,0
11/5/14 12:15,0
11/5/14 12:30,0
11/5/14 12:45,0
11/5/14 13:00,0
11/5/14 13:15,0
11/5/14 13:30,24.44104
11/5/14 13:45,9.120497
11/5/14 14:00,0
11/5/14 14:15,0
11/5/14 14:30,0
11/5/14 14:45,0
11/5/14 15:00,0
11/5/14 15:15,0
11/5/14 15:30,0
11/5/14 15:45,0
11/5/14 16:00,0
11/5/14 16:15,0
11/5/14 16:30,0
11/5/14 16:45,0
11/5/14 17:00,0
11/5/14 17:15,0
11/5/14 17:30,0
11/5/14 17:45,7.256914
11/5/14 18:00,17.53103
11/5/14 18:15,30.21148
11/5/14 18:30,6.081367
11/5/14 18:45,0
11/5/14 19:00,19.94368
11/5/14 19:15,8.483974
11/5/14 19:30,0.1647054
11/5/14 19:45,0
11/5/14 20:00,0
11/5/14 20:15,0
11/5/14 20:30,5.849999
11/5/14 20:45,21.51109
11/5/14 21:00,0
