Time,"Power, kW"
11/1/14 0:00,0
11/1/14 0:15,0
11/1/14 0:30,0
11/1/14 0:45,0
11/1/14 1:00,0
11/1/14 1:15,0
11/1/14 1:30,0
11/1/14 1:45,0
11/1/14 2:00,0
11/1/14 2:15,0
11/1/14 2:30,0
11/1/14 2:45,0
11/1/14 3:00,0
11/1/14 3:15,0
11/1/14 3:30,0
11/1/14 3:45,0
11/1/14 4:00,0
11/1/14 4:15,0
11/1/14 4:30,0
11/1/14 4:45,0
11/1/14 5:00,0
11/1/14 5:15,0
11/1/14 5:30,0
11/1/14 5:45,0
11/1/14 6:00,0
11/1/14 6:15,0
11/1/14 6:30,0
11/1/14 6:45,0
11/1/14 7:00,0
11/1/14 7:15,0
11/1/14 7:30,0
11/1/14 7:45,0
11/1/14 8:00,0
11/1/14 8:15,0
11/1/14 8:30,0
11/1/14 8:45,0
11/1/14 9:00,0
11/1/14 9:15,0
11/1/14 9:30,0
11/1/14 9:45,0
11/1/14 10:00,0
11/1/14 10:15,0
11/1/14 10:30,0
11/1/14 10:45,0
11/1/14 11:00,0
11/1/14 11:15,0
11/1/14 11:30,0
11/1/14 11:45,0
11/1/14 12:00,0
11/1/14 12:15,0
11/1/14 12:30,0
11/1/14 12:45,0
11/1/14 13:00,0
11/1/14 13:15,0
11/1/14 13:30,0
11/1/14 13:45,0
11/1/14 14:00,0
11/1/14 14:15,0
11/1/14 14:30,0
11/1/14 14:45,0
11/1/14 15:00,0
11/1/14 15:15,0
11/1/14 15:30,0
11/1/14 15:45,0
11/1/14 16:00,0
11/1/14 16:15,0
11/1/14 16:30,0
11/1/14 16:45,0
11/1/14 17:00,0
11/1/14 17:15,0
11/1/14 17:30,17.19265
11/1/14 17:45,29.32661
11/1/14 18:00,13.74206
11/1/14 18:15,1.918385
11/1/14 18:30,0
11/1/14 18:45,0
11/1/14 19:00,0
11/1/14 19:15,0
11/1/14 19:30,0
11/1/14 19:45,0
11/1/14 20:00,0
11/1/14 20:15,0
11/1/14 20:30,0
11/1/14 20:45,0
11/1/14 21:00,0
11/1/14 21:15,0
11/1/14 21:30,0
11/1/14 21:45,0
11/1/14 22:00,0
11/1/14 22:15,0
11/1/14 22:30,0
11/1/14 22:45,0
11/1/14 23:00,0
11/1/14 23:15,0
11/1/14 23:30,0
11/1/14 23:45,0
11/2/14 0:00,0
11/2/14 0:15,0
11/2/14 0:30,0
11/2/14 0:45,0
11/2/14 1:00,0
11/2/14 1:15,0
11/2/14 1:30,0
11/2/14 1:45,0
11/2/14 2:00,0
11/2/14 2:15,0
11/2/14 2:30,0
11/2/14 2:45,0
11/2/14 3:00,0
11/2/14 3:15,0
11/2/14 3:30,0
11/2/14 3:45,0
11/2/14 4:00,0
11/2/14 4:15,0
11/2/14 4:30,0
11/2/14 4:45,0
11/2/14 5:00,0
11/2/14 5:15,0
11/2/14 5:30,0
11/2/14 5:45,0
11/2/14 6:00,0
11/2/14 6:15,0
11/2/14 6:30,0
11/2/14 6:45,0
11/2/14 7:00,0
11/2/14 7:15,0
11/2/14 7:30,0
11/2/14 7:45,0
11/2/14 8:00,0
11/2/14 8:15,0
11/2/14 8:30,0
11/2/14 8:45,0
11/2/14 9:00,0
11/2/14 9:15,0
11/2/14 9:30,0
11/2/14 9:45,0
11/2/14 10:00,0
11/2/14 10:15,0
11/2/14 10:30,0
11/2/14 10:45,0
11/2/14 11:00,0
11/2/14 11:15,0
11/2/14 11:30,0
11/2/14 11:45,0
11/2/14 12:00,0
11/2/14 12:15,0
11/2/14 12:30,0
11/2/14 12:45,0
11/2/14 13:00,0
11/2/14 13:15,0
11/2/14 13:30,0
11/2/14 13:45,0
11/2/14 14:00,0
11/2/14 14:15,0
11/2/14 14:30,0
11/2/14 14:45,0
11/2/14 15:00,0
11/2/14 15:15,0
11/2/14 15:30,0
11/2/14 15:45,0
11/2/14 16:00,0
11/2/14 16:15,0
11/2/14 16:30,0
11/2/14 16:45,0
11/2/14 17:00,0
11/2/14 17:15,0
11/2/14 17:30,0
11/2/14 17:45,0
11/2/14 18:00,0
11/2/14 18:15,0
11/2/14 18:30,0
11/2/14 18:45,0
11/2/14 19:00,0
11/2/14 19:15,0
11/2/14 19:30,0
11/2/14 19:45,0
11/2/14 20:00,0
11/2/14 20:15,0
11/2/14 20:30,0
11/2/14 20:45,0
11/2/14 21:00,0
11/2/14 21:15,0
11/2/14 21:30,0
11/2/14 21:45,0
11/2/14 22:00,0
11/2/14 22:15,0
11/2/14 22:30,0
11/2/14 22:45,0
11/2/14 23:00,0
11/2/14 23:15,0
11/2/14 23:30,0
11/2/14 23:45,0
11/3/14 0:00,0
11/3/14 0:15,0
11/3/14 0:30,0
11/3/14 0:45,0
11/3/14 1:00,0
11/3/14 1:15,0
11/3/14 1:30,0
11/3/14 1:45,0
11/3/14 2:00,0
11/3/14 2:15,0
11/3/14 2:30,0
11/3/14 2:45,0
11/3/14 3:00,0
11/3/14 3:15,0
11/3/14 3:30,0
11/3/14 3:45,0
11/3/14 4:00,0
11/3/14 4:15,0
11/3/14 4:30,0
11/3/14 4:45,0
11/3/14 5:00,0
11/3/14 5:15,0
11/3/14 5:30,0
11/3/14 5:45,0
11/3/14 6:00,0
11/3/14 6:15,0
11/3/14 6:30,0
11/3/14 6:45,0
11/3/14 7:00,0
11/3/14 7:15,0
11/3/14 7:30,0
11/3/14 7:45,0
11/3/14 8:00,0
11/3/14 8:15,0
11/3/14 8:30,0
11/3/14 8:45,0
11/3/14 9:00,0
11/3/14 9:15,0
11/3/14 9:30,0
11/3/14 9:45,0
11/3/14 10:00,0
11/3/14 10:15,0
11/3/14 10:30,0
11/3/14 10:45,0
11/3/14 11:00,0
11/3/14 11:15,0
11/3/14 11:30,0
11/3/14 11:45,0
11/3/14 12:00,0
11/3/14 12:15,0
11/3/14 12:30,0
11/3/14 12:45,0
11/3/14 13:00,0
11/3/14 13:15,0
11/3/14 13:30,0
11/3/14 13:45,0
11/3/14 14:00,0
11/3/14 14:15,11.10103
11/3/14 14:30,27.12088
11/3/14 14:45,0
11/3/14 15:00,0
11/3/14 15:15,0
11/3/14 15:30,0
11/3/14 15:45,0
11/3/14 16:00,0
11/3/14 16:15,0
11/3/14 16:30,0
11/3/14 16:45,0
11/3/14 17:00,0
11/3/14 17:15,0
11/3/14 17:30,0
11/3/14 17:45,0
11/3/14 18:00,0
11/3/14 18:15,0
11/3/14 18:30,0
11/3/14 18:45,0
11/3/14 19:00,0
11/3/14 19:15,0
11/3/14 19:30,0
11/3/14 19:45,0
11/3/14 20:00,0
11/3/14 20:15,0
11/3/14 20:30,0
11/3/14 20:45,0
11/3/14 21:00,0
11/3/14 21:15,0
11/3/14 21:30,0
11/3/14 21:45,0
11/3/14 22:00,0
11/3/14 22:15,0
11/3/14 22:30,0
11/3/14 22:45,0
11/3/14 23:00,0
11/3/14 23:15,0
11/3/14 23:30,0
11/3/14 23:45,0
11/4/14 0:00,0
11/4/14 0:15,0
11/4/14 0:30,0
11/4/14 0:45,0
11/4/14 1:00,0
11/4/14 1:15,0
11/4/14 1:30,0
11/4/14 1:45,0
11/4/14 2:00,0
11/4/14 2:15,0
11/4/14 2:30,0
11/4/14 2:45,0
11/4/14 3:00,0
11/4/14 3:15,0
11/4/14 3:30,0
11/4/14 3:45,0
11/4/14 4:00,0
11/4/14 4:15,0
11/4/14 4:30,0
11/4/14 4:45,0
11/4/14 5:00,0
11/4/14 5:15,0
11/4/14 5:30,0
11/4/14 5:45,0
11/4/14 6:00,0
11/4/14 6:15,0
11/4/14 6:30,0
11/4/14 6:45,0
11/4/14 7:00,0
11/4/14 7:15,0
11/4/14 7:30,0
11/4/14 7:45,0
11/4/14 8:00,0
11/4/14 8:15,0
11/4/14 8:30,0
11/4/14 8:45,0
11/4/14 9:00,0
11/4/14 9:15,0
11/4/14 9:30,0
11/4/14 9:45,0
11/4/14 10:00,0
11/4/14 10:15,0
11/4/14 10:30,0
11/4/14 10:45,0
11/4/14 11:00,0
11/4/14 11:15,0
11/4/14 11:30,1.675002
11/4/14 11:45,35.77573
11/4/14 12:00,15.91603
11/4/14 12:15,5.171026
11/4/14 12:30,0
11/4/14 12:45,0
11/4/14 13:00,0
11/4/14 13:15,0
11/4/14 13:30,0
11/4/14 13:45,0
11/4/14 14:00,0
11/4/14 14:15,0
11/4/14 14:30,0
11/4/14 14:45,0
11/4/14 15:00,0
11/4/14 15:15,0
11/4/14 15:30,0
11/4/14 15:45,0
11/4/14 16:00,0
11/4/14 16:15,0
11/4/14 16:30,0
11/4/14 16:45,0
11/4/14 17:00,0
11/4/14 17:15,0
11/4/14 17:30,0
11/4/14 17:45,0
11/4/14 18:00,0
11/4/14 18:15,0
11/4/14 18:30,0
11/4/14 18:45,0
11/4/14 19:00,0
11/4/14 19:15,0
11/4/14 19:30,0
11/4/14 19:45,0
11/4/14 20:00,0
11/4/14 20:15,0
11/4/14 20:30,0
11/4/14 20:45,0
11/4/14 21:00,0
11/4/14 21:15,0
11/4/14 21:30,0
11/4/14 21:45,0
11/4/14 22:00,0
11/4/14 22:15,0
11/4/14 22:30,0
11/4/14 22:45,0
11/4/14 23:00,0
11/4/14 23:15,0
11/4/14 23:30,0
11/4/14 23:45,0
11/5/14 0:00,0
11/5/14 0:15,0
11/5/14 0:30,0
11/5/14 0:45,0
11/5/14 1:00,0
11/5/14 1:15,0
11/5/14 1:30,0
11/5/14 1:45,0
11/5/14 2:00,0
11/5/14 2:15,0
11/5/14 2:30,0
11/5/14 2:45,0
11/5/14 3:00,0
11/5/14 3:15,0
11/5/14 3:30,0
11/5/14 3:45,0
11/5/14 4:00,0
11/5/14 4:15,0
11/5/14 4:30,0
11/5/14 4:45,0
11/5/14 5:00,0
11/5/14 5:15,0
11/5/14 5:30,0
11/5/14 5:45,0
11/5/14 6:00,0
11/5/14 6:15,0
11/5/14 6:30,0
11/5/14 6:45,0
11/5/14 7:00,0
11/5/14 7:15,0
11/5/14 7:30,0
11/5/14 7:45,0
11/5/14 8:00,0
11/5/14 8:15,0
11/5/14 8:30,0
11/5/14 8:45,0
11/5/14 9:00,0
11/5/14 9:15,0
11/5/14 9:30,0
11/5/14 9:45,0
11/5/14 10:00,0
11/5/14 10:15,0
11/5/14 10:30,0
11/5/14 10:45,0
11/5/14 11:00,0
11/5/14 11:15,0
11/5/14 11:30,0
11/5/14 11:45,0
11/5/14 12:00,0
11/5/14 12:15,0
11/5/14 12:30,0
11/5/14 12:45,0
11/5/14 13:00,0
11/5/14 13:15,0
11/5/14 13:30,0
11/5/14 13:45,0
11/5/14 14:00,0
11/5/14 14:15,0
11/5/14 14:30,0
11/5/14 14:45,0
11/5/14 15:00,0
11/5/14 15:15,0
11/5/14 15:30,0
11/5/14 15:45,0
11/5/14 16:00,0
11/5/14 16:15,0
11/5/14 16:30,0
11/5/14 16:45,0
11/5/14 17:00,0
11/5/14 17:15,0
11/5/14 17:30,0
11/5/14 17:45,0
11/5/14 18:00,0
11/5/14 18:15,0
11/5/14 18:30,0
11/5/14 18:45,0
11/5/14 19:00,0
11/5/14 19:15,0
11/5/14 19:30,0
11/5/14 19:45,0
11/5/14 20:00,0
11/5/14 20:15,0
11/5/14 20:30,0
11/5/14 20:45,0
11/5/14 21:00,0
11/5/14 21:15,13.7425
11/5/14 21:30,31.64016
11/5/14 21:45,22.49926
11/5/14 22:00,14.33363
11/5/14 22:15,0
11/5/14 22:30,0
11/5/14 22:45,0
11/5/14 23:00,0
11/5/14 23:15,0
11/5/14 23:30,0
11/5/14 23:45,0
11/6/14 0:00,0
11/6/14 0:15,0
11/6/14 0:30,0
11/6/14 0:45,0
11/6/14 1:00,0
11/6/14 1:15,0
11/6/14 1:30,0
11/6/14 1:45,0
11/6/14 2:00,0
11/6/14 2:15,0
11/6/14 2:30,0
11/6/14 2:45,0
11/6/14 3:00,0
11/6/14 3:15,0
11/6/14 3:30,0
11/6/14 3:45,0
11/6/14 4:00,0
11/6/14 4:15,0
11/6/14 4:30,0
11/6/14 4:45,0
11/6/14 5:00,0
11/6/14 5:15,0
11/6/14 5:30,0
11/6/14 5:45,0
11/6/14 6:00,0
11/6/14 6:15,0
11/6/14 6:30,0
11/6/14 6:45,0
11/6/14 7:00,0
11/6/14 7:15,0
11/6/14 7:30,0
11/6/14 7:45,0
11/6/14 8:00,0
11/6/14 8:15,0
11/6/14 8:30,0
11/6/14 8:45,0
11/6/14 9:00,0
11/6/14 9:15,0
11/6/14 9:30,0
11/6/14 9:45,0
11/6/14 10:00,0
11/6/14 10:15,0
11/6/14 10:30,0
11/6/14 10:45,0
11/6/14 11:00,0
11/6/14 11:15,0
11/6/14 11:30,0
11/6/14 11:45,0
11/6/14 12:00,0
11/6/14 12:15,0
11/6/14 12:30,0
11/6/14 12:45,0
11/6/14 13:00,0
11/6/14 13:15,0
11/6/14 13:30,0
11/6/14 13:45,0
11/6/14 14:00,0
11/6/14 14:15,0
11/6/14 14:30,0
11/6/14 14:45,0
11/6/14 15:00,0
11/6/14 15:15,0
11/6/14 15:30,0
11/6/14 15:45,0
11/6/14 16:00,0
11/6/14 16:15,0
11/6/14 16:30,0
11/6/14 16:45,0
11/6/14 17:00,0
11/6/14 17:15,0
11/6/14 17:30,0
11/6/14 17:45,0
11/6/14 18:00,0
11/6/14 18:15,0
11/6/14 18:30,0
11/6/14 18:45,0
11/6/14 19:00,0
11/6/14 19:15,0
11/6/14 19:30,0
11/6/14 19:45,0
11/6/14 20:00,0
11/6/14 20:15,0
11/6/14 20:30,0
11/6/14 20:45,0
11/6/14 21:00,0
11/6/14 21:15,0
11/6/14 21:30,0
11/6/14 21:45,0
11/6/14 22:00,0
11/6/14 22:15,0
11/6/14 22:30,0
11/6/14 22:45,0
11/6/14 23:00,0
11/6/14 23:15,0
11/6/14 23:30,0
11/6/14 23:45,0
11/7/14 0:00,0
11/7/14 0:15,0
11/7/14 0:30,0
11/7/14 0:45,0
11/7/14 1:00,0
11/7/14 1:15,0
11/7/14 1:30,0
11/7/14 1:45,0
11/7/14 2:00,0
11/7/14 2:15,0
11/7/14 2:30,0
11/7/14 2:45,0
11/7/14 3:00,0
11/7/14 3:15,0
11/7/14 3:30,0
11/7/14 3:45,0
11/7/14 4:00,0
11/7/14 4:15,0
11/7/14 4:30,0
11/7/14 4:45,0
11/7/14 5:00,0
11/7/14 5:15,0
11/7/14 5:30,0
11/7/14 5:45,0
11/7/14 6:00,0
11/7/14 6:15,0
11/7/14 6:30,0
11/7/14 6:45,0
11/7/14 7:00,0
11/7/14 7:15,0
11/7/14 7:30,0
11/7/14 7:45,0
11/7/14 8:00,0
11/7/14 8:15,0
11/7/14 8:30,0
11/7/14 8:45,0
11/7/14 9:00,0
11/7/14 9:15,0
11/7/14 9:30,0
11/7/14 9:45,0
11/7/14 10:00,0
11/7/14 10:15,0
11/7/14 10:30,0
11/7/14 10:45,0
11/7/14 11:00,0
11/7/14 11:15,0
11/7/14 11:30,0
11/7/14 11:45,0
11/7/14 12:00,0
11/7/14 12:15,0
11/7/14 12:30,0
11/7/14 12:45,0
11/7/14 13:00,0
11/7/14 13:15,0
11/7/14 13:30,0
11/7/14 13:45,0
11/7/14 14:00,0
11/7/14 14:15,0
11/7/14 14:30,0
11/7/14 14:45,0
11/7/14 15:00,0
11/7/14 15:15,0
11/7/14 15:30,0
11/7/14 15:45,0
11/7/14 16:00,0
11/7/14 16:15,0
11/7/14 16:30,0
11/7/14 16:45,0
11/7/14 17:00,0
11/7/14 17:15,0
11/7/14 17:30,0
11/7/14 17:45,0
11/7/14 18:00,0
11/7/14 18:15,0
11/7/14 18:30,0
11/7/14 18:45,0
11/7/14 19:00,0
11/7/14 19:15,0
11/7/14 19:30,0
11/7/14 19:45,0
11/7/14 20:00,0
11/7/14 20:15,0
11/7/14 20:30,0
11/7/14 20:45,0
11/7/14 21:00,0
11/7/14 21:15,0
11/7/14 21:30,0
11/7/14 21:45,0
11/7/14 22:00,0
11/7/14 22:15,0
11/7/14 22:30,0
11/7/14 22:45,0
11/7/14 23:00,0
11/7/14 23:15,0
11/7/14 23:30,0
11/7/14 23:45,0
11/8/14 0:00,0
11/8/14 0:15,0
11/8/14 0:30,0
11/8/14 0:45,0
11/8/14 1:00,0
11/8/14 1:15,0
11/8/14 1:30,0
11/8/14 1:45,0
11/8/14 2:00,0
11/8/14 2:15,0
11/8/14 2:30,0
11/8/14 2:45,0
11/8/14 3:00,0
11/8/14 3:15,0
11/8/14 3:30,0
11/8/14 3:45,0
11/8/14 4:00,0
11/8/14 4:15,0
11/8/14 4:30,0
11/8/14 4:45,0
11/8/14 5:00,0
11/8/14 5:15,0
11/8/14 5:30,0
11/8/14 5:45,0
11/8/14 6:00,0
11/8/14 6:15,0
11/8/14 6:30,0
11/8/14 6:45,0
11/8/14 7:00,0
11/8/14 7:15,0
11/8/14 7:30,0
11/8/14 7:45,0
11/8/14 8:00,0
11/8/14 8:15,0
11/8/14 8:30,0
11/8/14 8:45,0
11/8/14 9:00,0
11/8/14 9:15,0
11/8/14 9:30,0
11/8/14 9:45,0
11/8/14 10:00,0
11/8/14 10:15,0
11/8/14 10:30,0
11/8/14 10:45,0
11/8/14 11:00,0
11/8/14 11:15,0
11/8/14 11:30,0
11/8/14 11:45,0
11/8/14 12:00,0
11/8/14 12:15,0
11/8/14 12:30,0
11/8/14 12:45,0
11/8/14 13:00,0
11/8/14 13:15,0
11/8/14 13:30,0
11/8/14 13:45,0
11/8/14 14:00,0
11/8/14 14:15,0
11/8/14 14:30,0
11/8/14 14:45,0
11/8/14 15:00,0
11/8/14 15:15,0
11/8/14 15:30,0
11/8/14 15:45,0
11/8/14 16:00,0
11/8/14 16:15,0
11/8/14 16:30,0
11/8/14 16:45,0
11/8/14 17:00,0
11/8/14 17:15,0
11/8/14 17:30,0
11/8/14 17:45,0
11/8/14 18:00,0
11/8/14 18:15,0
11/8/14 18:30,0
11/8/14 18:45,0
11/8/14 19:00,0
11/8/14 19:15,0
11/8/14 19:30,0
11/8/14 19:45,0
11/8/14 20:00,0
11/8/14 20:15,0
11/8/14 20:30,0
11/8/14 20:45,0
11/8/14 21:00,0
11/8/14 21:15,0
11/8/14 21:30,0
11/8/14 21:45,0
11/8/14 22:00,0
11/8/14 22:15,0
11/8/14 22:30,0
11/8/14 22:45,0
11/8/14 23:00,0
11/8/14 23:15,0
11/8/14 23:30,0
11/8/14 23:45,0
11/9/14 0:00,0
11/9/14 0:15,0
11/9/14 0:30,0
11/9/14 0:45,0
