Time,"Power, kW"
1/1/17 0:00,0
1/1/17 0:15,0
1/1/17 0:30,0
1/1/17 0:45,0
1/1/17 1:00,60.33334
1/1/17 1:15,120.2278
1/1/17 1:30,5.838887
1/1/17 1:45,98.80001
1/1/17 2:00,37.6
1/1/17 2:15,0
1/1/17 2:30,0
1/1/17 2:45,0
1/1/17 3:00,0
1/1/17 3:15,0
1/1/17 3:30,68.5
1/1/17 3:45,114.9855
1/1/17 4:00,53.08111
1/1/17 4:15,244.33
1/1/17 4:30,78.30333
1/1/17 4:45,45.66667
1/1/17 5:00,276.1222
1/1/17 5:15,82.34445
1/1/17 5:30,229.6667
1/1/17 5:45,717.6533
1/1/17 6:00,373.3133
1/1/17 6:15,529.4167
1/1/17 6:30,515.1
1/1/17 6:45,695.2011
1/1/17 7:00,363.2167
1/1/17 7:15,447.9011
1/1/17 7:30,609.6311
1/1/17 7:45,805.0811
1/1/17 8:00,873.4445
1/1/17 8:15,882.2233
1/1/17 8:30,771.1011
1/1/17 8:45,565.15
1/1/17 9:00,874.7523
1/1/17 9:15,1049.646
1/1/17 9:30,594.1567
1/1/17 9:45,362.4456
1/1/17 10:00,479.8667
1/1/17 10:15,804.4056
1/1/17 10:30,905.6111
1/1/17 10:45,960.5433
1/1/17 11:00,419.7256
1/1/17 11:15,832.0756
1/1/17 11:30,1299.358
1/1/17 11:45,946.6667
1/1/17 12:00,1138.357
1/1/17 12:15,1208.906
1/1/17 12:30,1260.954
1/1/17 12:45,807.3478
1/1/17 13:00,1001.13
1/1/17 13:15,593.54
1/1/17 13:30,887.2634
1/1/17 13:45,1318.65
1/1/17 14:00,1647.359
1/1/17 14:15,1283.357
1/1/17 14:30,1137.712
1/1/17 14:45,739.7622
1/1/17 15:00,688.36
1/1/17 15:15,832.0811
1/1/17 15:30,1507.621
1/1/17 15:45,1355.998
1/1/17 16:00,507.7289
1/1/17 16:15,1148.487
1/1/17 16:30,1570.071
1/1/17 16:45,924.3044
1/1/17 17:00,419.4089
1/1/17 17:15,1223.274
1/1/17 17:30,954.1411
1/1/17 17:45,1033.321
1/1/17 18:00,665.2578
1/1/17 18:15,712.1056
1/1/17 18:30,1300.406
1/1/17 18:45,847.3722
1/1/17 19:00,268.7755
1/1/17 19:15,613.2967
1/1/17 19:30,674.5722
1/1/17 19:45,937.15
1/1/17 20:00,501.6189
1/1/17 20:15,361.4255
1/1/17 20:30,419.4667
1/1/17 20:45,784.2667
1/1/17 21:00,450.5056
1/1/17 21:15,144.8856
1/1/17 21:30,429.3422
1/1/17 21:45,583.9333
1/1/17 22:00,439.1633
1/1/17 22:15,248.9033
1/1/17 22:30,183.3333
1/1/17 22:45,424.0611
1/1/17 23:00,301.7644
1/1/17 23:15,38.17444
1/1/17 23:30,0
1/1/17 23:45,162.1555
1/2/17 0:00,146.4811
1/2/17 0:15,4.163332
1/2/17 0:30,0
1/2/17 0:45,163.5
1/2/17 1:00,292.9666
1/2/17 1:15,62.73333
1/2/17 1:30,114.1667
1/2/17 1:45,52.23333
1/2/17 2:00,0
1/2/17 2:15,0
1/2/17 2:30,0
1/2/17 2:45,0
1/2/17 3:00,0
1/2/17 3:15,87.66668
1/2/17 3:30,219.65
1/2/17 3:45,15.48333
1/2/17 4:00,250.1667
1/2/17 4:15,284.05
1/2/17 4:30,14.98333
1/2/17 4:45,0
1/2/17 5:00,75.66667
1/2/17 5:15,355.4833
1/2/17 5:30,332.55
1/2/17 5:45,338.8833
1/2/17 6:00,290.2167
1/2/17 6:15,398.5189
1/2/17 6:30,261.7711
1/2/17 6:45,453.1823
1/2/17 7:00,865.1511
1/2/17 7:15,594.3766
1/2/17 7:30,671.6778
1/2/17 7:45,549.9366
1/2/17 8:00,779.5344
1/2/17 8:15,883.1644
1/2/17 8:30,615.0578
1/2/17 8:45,643.8234
1/2/17 9:00,680.6744
1/2/17 9:15,670.1311
1/2/17 9:30,716.1
1/2/17 9:45,1084.039
1/2/17 10:00,719.6278
1/2/17 10:15,584.4833
1/2/17 10:30,387.15
1/2/17 10:45,1415.957
1/2/17 11:00,669.7422
1/2/17 11:15,993.7534
1/2/17 11:30,832.5167
1/2/17 11:45,776.7478
1/2/17 12:00,924.8834
1/2/17 12:15,1151.866
1/2/17 12:30,521.56
1/2/17 12:45,604.9911
1/2/17 13:00,645.0722
1/2/17 13:15,1108.836
1/2/17 13:30,1181.034
1/2/17 13:45,644.3411
1/2/17 14:00,581.5834
1/2/17 14:15,976.4622
1/2/17 14:30,423.4756
1/2/17 14:45,1110.279
1/2/17 15:00,1070.67
1/2/17 15:15,987.9722
1/2/17 15:30,975.13
1/2/17 15:45,1085.586
1/2/17 16:00,1020.987
1/2/17 16:15,1100.538
1/2/17 16:30,701.4344
