Time,"Power, kW"
1/1/17 0:00,0
1/1/17 0:15,0
1/1/17 0:30,0
1/1/17 0:45,0
1/1/17 1:00,0
1/1/17 1:15,118.1667
1/1/17 1:30,20.56667
1/1/17 1:45,0
1/1/17 2:00,0
1/1/17 2:15,0
1/1/17 2:30,0
1/1/17 2:45,0
1/1/17 3:00,0
1/1/17 3:15,0
1/1/17 3:30,0
1/1/17 3:45,0
1/1/17 4:00,0
1/1/17 4:15,0
1/1/17 4:30,0
1/1/17 4:45,0
1/1/17 5:00,0
1/1/17 5:15,0
1/1/17 5:30,0
1/1/17 5:45,0
1/1/17 6:00,96.06667
1/1/17 6:15,0
1/1/17 6:30,0
1/1/17 6:45,0
1/1/17 7:00,0
1/1/17 7:15,0
1/1/17 7:30,0
1/1/17 7:45,0
1/1/17 8:00,0
1/1/17 8:15,0
1/1/17 8:30,60
1/1/17 8:45,103.9
1/1/17 9:00,326.9944
1/1/17 9:15,93.37222
1/1/17 9:30,0
1/1/17 9:45,0
1/1/17 10:00,60
1/1/17 10:15,79.89999
1/1/17 10:30,0
1/1/17 10:45,0
1/1/17 11:00,120.3333
1/1/17 11:15,12.73333
1/1/17 11:30,98.81445
1/1/17 11:45,11.25222
1/1/17 12:00,315.5767
1/1/17 12:15,158.1233
1/1/17 12:30,278.0222
1/1/17 12:45,216.7211
1/1/17 13:00,48.65667
1/1/17 13:15,145.2
1/1/17 13:30,46.13334
1/1/17 13:45,0
1/1/17 14:00,107.75
1/1/17 14:15,20.15
1/1/17 14:30,0
1/1/17 14:45,0
1/1/17 15:00,10
1/1/17 15:15,230.8056
1/1/17 15:30,245.51
1/1/17 15:45,76.11777
1/1/17 16:00,39.73333
1/1/17 16:15,0
1/1/17 16:30,144.5
1/1/17 16:45,215.8389
1/1/17 17:00,5.194442
1/1/17 17:15,0
1/1/17 17:30,0
1/1/17 17:45,70
1/1/17 18:00,123.4
1/1/17 18:15,49.73333
1/1/17 18:30,80.84111
1/1/17 18:45,46.22556
1/1/17 19:00,50.06666
1/1/17 19:15,124.3333
1/1/17 19:30,16.73333
1/1/17 19:45,0
1/1/17 20:00,0
1/1/17 20:15,74.15334
1/1/17 20:30,2.58
1/1/17 20:45,85.13889
1/1/17 21:00,31.76111
1/1/17 21:15,66.8
1/1/17 21:30,94.93333
1/1/17 21:45,192.6
1/1/17 22:00,35.86666
1/1/17 22:15,0
1/1/17 22:30,0
1/1/17 22:45,0
1/1/17 23:00,0
1/1/17 23:15,0
1/1/17 23:30,0
1/1/17 23:45,0
1/2/17 0:00,0
1/2/17 0:15,0
1/2/17 0:30,0
1/2/17 0:45,0
1/2/17 1:00,0
1/2/17 1:15,0
1/2/17 1:30,0
1/2/17 1:45,0
1/2/17 2:00,0
1/2/17 2:15,0
1/2/17 2:30,0
1/2/17 2:45,0
1/2/17 3:00,0
1/2/17 3:15,0
1/2/17 3:30,0
1/2/17 3:45,0
1/2/17 4:00,0
1/2/17 4:15,0
1/2/17 4:30,0
1/2/17 4:45,0
1/2/17 5:00,0
1/2/17 5:15,0
1/2/17 5:30,0
1/2/17 5:45,0
1/2/17 6:00,0
1/2/17 6:15,0
1/2/17 6:30,0
1/2/17 6:45,0
1/2/17 7:00,0
1/2/17 7:15,40
1/2/17 7:30,101.9
1/2/17 7:45,0
1/2/17 8:00,0
1/2/17 8:15,0
1/2/17 8:30,0
1/2/17 8:45,0
1/2/17 9:00,70
1/2/17 9:15,166.0333
1/2/17 9:30,130.5
1/2/17 9:45,0
1/2/17 10:00,0
1/2/17 10:15,0
1/2/17 10:30,166.9667
1/2/17 10:45,254.0667
1/2/17 11:00,128.4
1/2/17 11:15,162.1322
1/2/17 11:30,75.83444
1/2/17 11:45,181.5378
1/2/17 12:00,194.6522
1/2/17 12:15,211.5767
1/2/17 12:30,161.9
1/2/17 12:45,267.1678
1/2/17 13:00,158.1644
1/2/17 13:15,169.5844
1/2/17 13:30,15.98333
1/2/17 13:45,124.6667
1/2/17 14:00,215.8944
1/2/17 14:15,166.4722
1/2/17 14:30,167.1333
1/2/17 14:45,149.8
1/2/17 15:00,203.4855
1/2/17 15:15,147.9811
1/2/17 15:30,116.8544
1/2/17 15:45,258.3055
1/2/17 16:00,229.7233
1/2/17 16:15,148.0333
1/2/17 16:30,265.65
1/2/17 16:45,245.1
1/2/17 17:00,211.8167
1/2/17 17:15,115.7167
1/2/17 17:30,309.6889
1/2/17 17:45,112.5778
1/2/17 18:00,121.0833
1/2/17 18:15,156.5444
1/2/17 18:30,107.4389
1/2/17 18:45,44.8
1/2/17 19:00,76.5
1/2/17 19:15,109.8
1/2/17 19:30,0
1/2/17 19:45,40
1/2/17 20:00,69.23333
1/2/17 20:15,351.7111
1/2/17 20:30,159.0555
