description,units,cost
US,cents per kilowatthour,10.66
CT,cents per kilowatthour,16.06
ME,cents per kilowatthour,12.12
MA,cents per kilowatthour,15.93
NH,cents per kilowatthour,14.81
RI,cents per kilowatthour,15.2
VT,cents per kilowatthour,14.61
NJ,cents per kilowatthour,12.28
NY,cents per kilowatthour,14.75
PA,cents per kilowatthour,8.98
IL,cents per kilowatthour,9.09
IN,cents per kilowatthour,10.54
MI,cents per kilowatthour,11
OH,cents per kilowatthour,10.05
WI,cents per kilowatthour,10.87
IA,cents per kilowatthour,9.46
KS,cents per kilowatthour,10.59
MN,cents per kilowatthour,10.48
MO,cents per kilowatthour,9.47
NE,cents per kilowatthour,8.85
ND,cents per kilowatthour,9.19
SD,cents per kilowatthour,9.74
DE,cents per kilowatthour,9.89
DC,cents per kilowatthour,11.66
FL,cents per kilowatthour,9.35
GA,cents per kilowatthour,10.09
MD,cents per kilowatthour,10.75
NC,cents per kilowatthour,8.44
SC,cents per kilowatthour,10.57
VA,cents per kilowatthour,8.01
WV,cents per kilowatthour,9.58
AL,cents per kilowatthour,11.6
KY,cents per kilowatthour,9.85
MS,cents per kilowatthour,10.17
TN,cents per kilowatthour,10.55
AR,cents per kilowatthour,8.51
LA,cents per kilowatthour,8.95
OK,cents per kilowatthour,8.11
TX,cents per kilowatthour,8.26
AZ,cents per kilowatthour,10.5
CO,cents per kilowatthour,9.89
ID,cents per kilowatthour,7.98
MT,cents per kilowatthour,10.12
NV,cents per kilowatthour,7.96
NM,cents per kilowatthour,10.19
UT,cents per kilowatthour,8.64
WY,cents per kilowatthour,9.7
CA,cents per kilowatthour,15.76
OR,cents per kilowatthour,8.86
WA,cents per kilowatthour,8.57
AK,cents per kilowatthour,18.89
HI,cents per kilowatthour,26.77
