entity,state,customers,sales_mwh,revenue_thousands_dollars,avg_price_cents_per_kwh,eiaid
Alaska Electric Light&Power Co,AK,14579,"151,017","17,950.60",11.89,213
Alaska Power and Telephone Co,AK,5496,"26,264","8,095.00",30.82,219
"Alaska Village Elec Coop, Inc",AK,8158,"41,535","18,561.00",44.69,221
Anchorage Municipal Light and Power,AK,24680,"127,375","26,125.80",20.51,599
"Barrow Utils & Elec Coop, Inc",AK,1513,"11,243","1,486.00",13.22,1276
Chugach Electric Assn Inc,AK,71305,"505,275","100,609.30",19.91,3522
City & Borough of Sitka - (AK),AK,3777,"43,415","7,009.80",16.15,17271
City of Unalaska - (AK),AK,735,"3,873","1,522.60",39.31,19454
City of Wrangell - (AK),AK,1228,"15,216","1,715.00",11.27,21015
"Copper Valley Elec Assn, Inc",AK,2985,"16,441","4,333.00",26.35,4329
"Cordova Electric Coop, Inc",AK,958,"4,766","1,780.00",37.35,40215
Golden Valley Elec Assn Inc,AK,39019,"282,450","68,098.80",24.11,7353
Homer Electric Assn Inc,AK,27374,"173,211","45,235.80",26.12,19558
Ketchikan Public Utilities,AK,6477,"75,066","7,969.40",10.62,10210
Kodiak Electric Assn Inc,AK,4756,"36,274","6,241.00",17.21,10433
Kotzebue Electric Assn Inc,AK,1135,"7,151","2,708.60",37.88,10451
Matanuska Electric Assn Inc,AK,57798,"447,720","91,958.30",20.54,11824
Nome Joint Utility Systems,AK,1735,"8,462","3,007.00",35.54,13642
North Slope Borough Power & Light,AK,750,"6,890","1,204.00",17.47,26616
Petersburg Borough - (AK),AK,1368,"21,628","2,172.30",10.04,14856
Alabama Power Co,AL,1268271,"17,218,624","2,302,495.00",13.37,195
Albertville Municipal Utilities Board,AL,7931,"111,770","10,986.00",9.83,241
Arab Electric Coop Inc,AL,12510,"179,106","19,778.00",11.04,750
Baldwin County El Member Corp,AL,67787,"884,595","107,591.00",12.16,1149
Black Warrior Elec Member Corp,AL,20484,"252,569","28,104.60",11.13,1780
Central Alabama Electric Coop,AL,41334,"567,153","74,580.00",13.15,3222
Cherokee Electric Coop,AL,17396,"223,591","30,123.00",13.47,3426
City of Alexander City,AL,5083,"50,590","5,397.00",10.67,289
City of Andalusia,AL,3605,"39,538","5,245.00",13.27,604
City of Athens - (AL),AL,38921,"595,013","59,036.00",9.92,944
City of Bessemer Utilities,AL,9385,"108,455","11,850.00",10.93,1640
City of Courtland,AL,598,"7,249",729,10.06,40364
City of Dothan - (AL),AL,25450,"357,021","36,694.00",10.28,5309
City of Fairhope - (AL),AL,5750,"74,435","8,977.00",12.06,6145
City of Florence - (AL),AL,40439,"590,857","60,348.00",10.21,6422
City of Hartselle,AL,4308,"59,445","6,170.00",10.38,8226
City of Huntsville - (AL),AL,160610,"2,316,742","233,342.00",10.07,9094
City of Muscle Shoals,AL,6376,"93,622","9,594.00",10.25,13144
City of Opelika - (AL),AL,10534,"129,460","16,626.00",12.84,14146
City of Russellville - (AL),AL,3906,"48,381","5,821.00",12.03,16458
City of Scottsboro,AL,6740,"91,139","10,468.00",11.49,16829
City of Tarrant,AL,2178,"26,799","3,279.00",12.24,18472
City of Troy - (AL),AL,6502,"91,670","8,843.80",9.65,19225
City of Tuscumbia,AL,3952,"51,305","5,523.00",10.77,19307
City of Tuskegee,AL,5869,"57,490","7,749.00",13.48,19308
Clarke-Washington E M C,AL,18314,"207,742","26,801.00",12.9,40127
Coosa Valley Electric Coop Inc,AL,14125,"197,748","26,259.00",13.28,4327
"Covington Electric Coop, Inc",AL,21834,"281,988","40,986.00",14.53,4430
"Cullman Electric Coop, Inc",AL,35526,"497,139","58,266.00",11.72,4618
Cullman Power Board,AL,6719,"82,752","9,094.00",10.99,4617
Decatur Utilities,AL,22549,"311,323","30,034.00",9.65,4958
Diverse Power Incorporated,AL,564,"7,327",972.5,13.27,19219
Dixie Electric Coop,AL,19952,"285,496","34,190.00",11.98,5204
Foley Board of Utilities,AL,37165,"556,197","67,222.00",12.09,6491
Fort Payne Improvement Authority,AL,6506,"87,608","9,359.00",10.68,6612
Franklin Electric Coop - (AL),AL,5879,"71,920","8,728.00",12.14,6717
Guntersville Electric Board,AL,4711,"65,251","6,895.00",10.57,7827
Joe Wheeler Elec Member Corp,AL,34892,"546,289","64,084.00",11.73,9739
Marshall-De Kalb Electric Coop,AL,14748,"211,931","23,095.00",10.9,11714
North Alabama Electric Coop,AL,13001,"183,702","21,056.00",11.46,13669
Pea River Electric Coop,AL,14471,"199,059","24,521.40",12.32,14602
"Pioneer Electric Coop, Inc - (AL)",AL,12026,"139,664","23,109.00",16.55,30517
Sand Mountain Electric Coop,AL,25473,"341,017","38,304.00",11.23,16629
Sheffield Utilities,AL,15313,"218,506","23,760.00",10.87,17033
Singing River Elec Pwr Assn,AL,313,"4,201",486.7,11.59,17252
"South Alabama Elec Coop, Inc",AL,15709,"205,500","27,650.00",13.45,17534
"Southern Pine Elec Coop, Inc",AL,19548,"241,864","28,108.00",11.62,17646
Sylacauga Utilities Board,AL,5246,"70,992","7,179.50",10.11,18395
Tallapoosa River Elec Coop Inc,AL,25955,"345,355","41,361.00",11.98,18203
"Tombigbee Electric Coop, Inc",AL,8132,"90,310","12,245.00",13.56,19027
"Wiregrass Electric Coop, Inc",AL,21075,"284,515","37,478.00",13.17,20841
Arkansas Valley Elec Coop Corp,AR,50951,"676,759","74,314.20",10.98,817
C & L Electric Coop Corp,AR,19697,"236,817","27,561.00",11.64,2678
Carroll Electric Coop Corp - (AR),AR,80931,"1,083,229","107,338.00",9.91,3093
City Water and Light Plant,AR,31285,"444,419","31,768.00",7.15,9879
City of Benton - (AR),AR,13252,"138,216","12,873.50",9.31,1581
City of Bentonville - (AR),AR,19416,"218,437","24,922.00",11.41,1586
City of Hope,AR,8368,"70,212","7,836.00",11.16,8840
City of North Little Rock - (AR),AR,33476,"352,121","39,744.00",11.29,13718
City of Osceola - (AR),AR,2822,"37,020","3,794.00",10.25,14216
City of Siloam Springs - (AR),AR,6637,"68,252","7,245.50",10.62,17184
City of West Memphis - (AR),AR,10362,"150,273","10,864.00",7.23,20382
Clarksville Light & Water Co,AR,3788,"41,621","3,894.00",9.36,3705
Clay County Electric Coop Corp,AR,10394,"101,693","13,868.10",13.64,3712
Conway Corporation,AR,27319,"323,813","21,351.00",6.59,4280
Craighead Electric Coop Corp,AR,23395,"348,600","36,002.00",10.33,4509
Empire District Electric Co,AR,3743,"39,476","4,911.70",12.44,5860
Entergy Arkansas Inc,AR,591111,"7,298,398","761,278.70",10.43,814
First Electric Coop Corp,AR,85983,"1,157,733","125,725.10",10.86,6342
Mississippi County Electric Coop,AR,3326,"53,787","3,980.00",7.4,12681
"North Arkansas Elec Coop, Inc",AR,33910,"370,592","44,793.20",12.09,13676
Oklahoma Gas & Electric Co,AR,55622,"678,471","60,104.00",8.86,14063
Ouachita Electric Coop Corp,AR,8551,"93,275","11,913.00",12.77,14238
Ozarks Electric Coop Corp - (AR),AR,58301,"725,297","75,797.00",10.45,14289
Paragould Light & Water Comm,AR,11692,"185,073","14,617.00",7.9,14446
Petit Jean Electric Coop Corp,AR,17916,"192,537","21,435.50",11.13,14864
"Rich Mountain Elec Coop, Inc",AR,7925,"104,645","12,069.00",11.53,15811
"South Central Ark El Coop, Inc",AR,8896,"98,428","12,249.00",12.44,17540
Southwest Arkansas E C C,AR,23996,"331,398","36,487.10",11.01,17671
Southwestern Electric Power Co,AR,100721,"1,087,029","103,008.60",9.48,17698
Woodruff Electric Coop Corp,AR,12325,"165,475","17,818.50",10.77,20963
Aha Macav Power Service,AZ,429,"4,379",361,8.24,58123
Ajo Improvement Co,AZ,776,"4,597",519.1,11.29,176
Ak-Chin Electric Utility Authority,AZ,308,"4,891",491.5,10.05,25866
Arizona Public Service Co,AZ,1080665,"13,207,135","1,792,453.00",13.57,803
City of Mesa - (AZ),AZ,14163,"141,943","16,196.80",11.41,12351
"Columbus Electric Coop, Inc",AZ,430,"2,256",386.1,17.11,4071
"Dixie Escalante R E A, Inc",AZ,2119,"24,628","1,903.10",7.73,40165
Electrical Dist No2 Pinal County,AZ,3980,"46,633","5,742.00",12.31,15048
Electrical Dist No3 Pinal County,AZ,21986,"282,573","39,059.00",13.82,30518
Electrical Dist No4 Pinal County,AZ,1525,"17,552","2,132.00",12.15,15049
"Garkane Energy Coop, Inc",AZ,1117,"21,187","2,225.80",10.51,6957
Graham County Electric Coop Inc,AZ,6911,"66,433","8,132.30",12.24,7456
"Mohave Electric Cooperative, Inc",AZ,36655,"394,248","43,885.80",11.13,21538
Morenci Water and Electric Co,AZ,2305,"17,722","1,502.40",8.48,12919
Navajo Tribal Utility Authority,AZ,25839,"147,706","17,411.00",11.79,13314
"Navopache Electric Coop, Inc",AZ,35613,"222,087","30,151.00",13.58,13318
Page Utility Enterprises,AZ,3190,"37,009","2,906.60",7.85,14373
Salt River Project,AZ,942690,"13,074,913","1,515,391.00",11.59,16572
Sulphur Springs Valley E C Inc,AZ,42721,"348,411","49,901.00",14.32,18280
Trico Electric Cooperative Inc,AZ,43445,"470,010","66,679.80",14.19,19189
Tucson Electric Power Co,AZ,381556,"3,785,634","456,215.30",12.05,24211
"UNS Electric, Inc",AZ,84590,"866,216","85,666.80",9.89,19728
USBIA-San Carlos Project,AZ,10629,"109,212","14,735.00",13.49,19604
Wellton-Mohawk Irr & Drain Dist,AZ,2899,"28,741","3,299.00",11.48,25060
Aha Macav Power Service,CA,89,"1,186",97,8.18,58123
Anza Electric Coop Inc,CA,4338,"47,396","8,498.00",17.93,694
Bear Valley Electric Service,CA,22470,"75,681","20,969.50",27.71,17612
City & County of San Francisco,CA,238,620,105.4,17.0,16612
City of Alameda,CA,30811,"126,480","22,851.00",18.07,207
City of Anaheim - (CA),CA,111347,"601,952","99,455.00",16.52,590
City of Azusa,CA,14667,"86,287","11,498.00",13.33,1050
City of Banning - (CA),CA,10985,"73,845","14,902.30",20.18,1192
City of Burbank Water and Power,CA,46215,"272,378","44,978.00",16.51,2507
City of Colton - (CA),CA,16661,"102,454","16,555.00",16.16,4003
City of Corona - (CA),CA,986,"6,459","1,006.70",15.59,4390
City of Glendale - (CA),CA,74783,"378,660","75,595.60",19.96,7294
City of Healdsburg - (CA),CA,4823,"27,341","4,684.00",17.13,8348
City of Lodi - (CA),CA,21940,"156,857","27,418.70",17.48,11124
City of Lompoc - (CA),CA,13165,"54,820","8,522.40",15.55,11148
City of Moreno Valley - (CA),CA,5576,"41,199","8,252.50",20.03,55787
City of Palo Alto - (CA),CA,25579,"150,781","21,530.00",14.28,14401
City of Pasadena - (CA),CA,55763,"329,295","60,025.60",18.23,14534
City of Redding - (CA),CA,37878,"380,047","63,714.20",16.76,15783
