county_text,VEHCLASS,county,state,lcoc_cost_per_kwh
T01001,Sedan,Autauga,AL,0.18631060417667275
T01003,Sedan,Baldwin,AL,0.16983927897258255
T01005,Sedan,Barbour,AL,0.172861821060478
T01007,Sedan,Bibb,AL,0.15304026450637573
T01009,Sedan,Blount,AL,0.1175757719516041
T01011,Sedan,Bullock,AL,0.1757920021516041
T01013,Sedan,Butler,AL,0.18510095772190102
T01015,Sedan,Calhoun,AL,0.18336532196171113
T01017,Sedan,Chambers,AL,0.15332280851501306
T01019,Sedan,Cherokee,AL,0.1507137572117111
T01021,Sedan,Chilton,AL,0.15304026450637573
T01023,Sedan,Choctaw,AL,0.1392993312340434
T01025,Sedan,Clarke,AL,0.16490586263404347
T01027,Sedan,Clay,AL,0.1725428631333233
T01029,Sedan,Cleburne,AL,0.14433769006047797
T01031,Sedan,Coffee,AL,0.18303390252812513
T01033,Sedan,Colbert,AL,0.1620903552165813
T01035,Sedan,Conecuh,AL,0.1643367252019285
T01037,Sedan,Coosa,AL,0.15304026450637573
T01039,Sedan,Covington,AL,0.18091187957174815
T01041,Sedan,Crenshaw,AL,0.18523079835745243
T01043,Sedan,Cullman,AL,0.1659346859509317
T01045,Sedan,Dale,AL,0.17822073895160412
T01047,Sedan,Dallas,AL,0.1756747358971925
T01049,Sedan,DeKalb,AL,0.1646873039544103
T01051,Sedan,Elmore,AL,0.15304026450637573
T01053,Sedan,Escambia,AL,0.1718362841516041
T01055,Sedan,Etowah,AL,0.1769691607696934
T01057,Sedan,Fayette,AL,0.15262833800160405
T01059,Sedan,Franklin,AL,0.17256953172684122
T01061,Sedan,Geneva,AL,0.17414958480160406
T01063,Sedan,Greene,AL,0.1392993312340434
T01065,Sedan,Hale,AL,0.1392993312340434
T01067,Sedan,Henry,AL,0.17520285755160409
T01069,Sedan,Houston,AL,0.1536076298016041
T01071,Sedan,Jackson,AL,0.16580123682363068
T01073,Sedan,Jefferson,AL,0.16592904916430376
T01075,Sedan,Lamar,AL,0.15262833800160405
T01077,Sedan,Lauderdale,AL,0.1602269779040438
T01079,Sedan,Lawrence,AL,0.1606134658439432
T01081,Sedan,Lee,AL,0.1692630864343677
T01083,Sedan,Limestone,AL,0.15048748252759644
T01085,Sedan,Lowndes,AL,0.1861940129766727
T01087,Sedan,Macon,AL,0.17613199227797222
T01089,Sedan,Madison,AL,0.15751453905715584
T01091,Sedan,Marengo,AL,0.1392993312340434
T01093,Sedan,Marion,AL,0.15262833800160405
T01095,Sedan,Marshall,AL,0.1626225005941505
T01097,Sedan,Mobile,AL,0.1436004039518033
T01099,Sedan,Monroe,AL,0.17034288637231032
T01101,Sedan,Montgomery,AL,0.1757920021516041
T01103,Sedan,Morgan,AL,0.16432347599430336
T01105,Sedan,Perry,AL,0.16667218971352366
T01107,Sedan,Pickens,AL,0.1392993312340434
T01109,Sedan,Pike,AL,0.1727150315516041
T01111,Sedan,Randolph,AL,0.14433769006047797
T01113,Sedan,Russell,AL,0.14433769006047797
T01115,Sedan,St Clair,AL,0.15091393417212395
T01117,Sedan,Shelby,AL,0.15091393417212395
T01119,Sedan,Sumter,AL,0.1392993312340434
T01121,Sedan,Talladega,AL,0.17051322571852365
T01123,Sedan,Tallapoosa,AL,0.17095052248708548
T01125,Sedan,Tuscaloosa,AL,0.1392993312340434
T01127,Sedan,Walker,AL,0.1175757719516041
T01129,Sedan,Washington,AL,0.16573694405975792
T01131,Sedan,Wilcox,AL,0.17251884893108435
T01133,Sedan,Winston,AL,0.14335478475160404
T02013,Sedan,Aleutians East,AK,0.6430673191380093
T02016,Sedan,Aleutians West,AK,0.4836211170269785
T02020,Sedan,Anchorage,AK,0.269897363701254
T02050,Sedan,Bethel,AK,0.6119456973411914
T02060,Sedan,Bristol Bay,AK,0.46198785695548705
T02068,Sedan,Denali,AK,0.306714594870152
T02070,Sedan,Dillingham,AK,0.5350919000911913
T02090,Sedan,Fairbanks North Star,AK,0.49782201712554175
T02100,Sedan,Haines,AK,0.526168466548522
T02105,Sedan,Hoonah-Angoon,AK,0.526168466548522
T02110,Sedan,Juneau,AK,0.17642051124415054
T02122,Sedan,Kenai Peninsula,AK,0.30483113208803475
T02130,Sedan,Ketchikan Gateway,AK,0.16743178786337082
T02150,Sedan,Kodiak Island,AK,0.41618307917067154
T02158,Sedan,Kusilvak,AK,0.552690042989379
T02164,Sedan,Lake and Peninsula,AK,0.9193818806531109
T02170,Sedan,Matanuska Susitna,AK,0.26688452305505617
T02180,Sedan,Nome,AK,0.5464555600911913
T02185,Sedan,North Slope,AK,0.21303903452183465
T02188,Sedan,Northwest Arctic,AK,0.5453590710115584
T02195,Sedan,Petersburg,AK,0.1533980836202958
T02198,Sedan,Prince of Wales-Hyder,AK,0.2666422201179152
T02220,Sedan,Sitka,AK,0.24550527611661638
T02230,Sedan,Skagway,AK,0.6408789255442834
T02240,Sedan,Southeast Fairbanks,AK,0.306714594870152
T02261,Sedan,Valdez Cordova,AK,0.572593048108752
T02275,Sedan,Wrangell,AK,0.3778754676706715
T02282,Sedan,Yakutat,AK,0.5525264143571633
T02290,Sedan,Yukon Koyukuk,AK,0.7196715571252205
T04001,Sedan,Apache,AZ,0.12633381193823215
T04003,Sedan,Cochise,AZ,0.1523735426792718
T04005,Sedan,Coconino,AZ,0.15524751053359767
T04007,Sedan,Gila,AZ,0.12475546862935455
T04009,Sedan,Graham,AZ,0.1619902031604116
T04011,Sedan,Greenlee,AZ,0.133468542293385
T04012,Sedan,La Paz,AZ,0.11334851291465027
T04013,Sedan,Maricopa,AZ,0.15502269933229737
T04015,Sedan,Mohave,AZ,0.15051549050034765
T04017,Sedan,Navajo,AZ,0.12633381193823215
T04019,Sedan,Pima,AZ,0.1587265317873591
T04021,Sedan,Pinal,AZ,0.1655039856915634
T04023,Sedan,Santa Cruz,AZ,0.14740256938243457
T04025,Sedan,Yavapai,AZ,0.1403533261782459
T04027,Sedan,Yuma,AZ,0.14730714155745242
T05001,Sedan,Arkansas,AR,0.1535485781528337
T05003,Sedan,Ashley,AR,0.1347822662557928
T05005,Sedan,Baxter,AR,0.13540845257766213
T05007,Sedan,Benton,AR,0.15804201593838504
T05009,Sedan,Boone,AR,0.1249658278044104
T05011,Sedan,Bradley,AR,0.16343828095579277
T05013,Sedan,Calhoun,AR,0.14072222675579277
T05015,Sedan,Carroll,AR,0.1486062936844104
T05017,Sedan,Chicot,AR,0.1347822662557928
T05019,Sedan,Clark,AR,0.13895508115566976
T05021,Sedan,Clay,AR,0.17034317579067837
T05023,Sedan,Cleburne,AR,0.15248589773200813
T05025,Sedan,Cleveland,AR,0.13308801410283355
T05027,Sedan,Columbia,AR,0.13181768269594288
T05029,Sedan,Conway,AR,0.15248589773200813
T05031,Sedan,Craighead,AR,0.1212454994146003
T05033,Sedan,Crawford,AR,0.15774769362523597
T05035,Sedan,Crittenden,AR,0.1258575854509314
T05037,Sedan,Cross,AR,0.13025216301480314
T05039,Sedan,Dallas,AR,0.16736399590842613
T05041,Sedan,Desha,AR,0.13308801410283355
T05043,Sedan,Drew,AR,0.16325880855283362
T05045,Sedan,Faulkner,AR,0.13879589538200807
T05047,Sedan,Franklin,AR,0.15774769362523597
T05049,Sedan,Fulton,AR,0.13540845257766213
T05051,Sedan,Garland,AR,0.1276983300057928
T05053,Sedan,Grant,AR,0.1535485781528337
T05055,Sedan,Greene,AR,0.14462149474281935
T05057,Sedan,Hempstead,AR,0.1575727431667686
T05059,Sedan,Hot Spring,AR,0.13895508115566976
T05061,Sedan,Howard,AR,0.16017520866984852
T05063,Sedan,Independence,AR,0.15433615836916467
T05065,Sedan,Izard,AR,0.13540845257766213
T05067,Sedan,Jackson,AR,0.13760596208523648
T05069,Sedan,Jefferson,AR,0.1535485781528337
T05071,Sedan,Johnson,AR,0.13043595887941034
T05073,Sedan,Lafayette,AR,0.15573247404594295
T05075,Sedan,Lawrence,AR,0.15587530175281708
T05077,Sedan,Lee,AR,0.13025216301480314
T05079,Sedan,Lincoln,AR,0.13308801410283355
T05081,Sedan,Little River,AR,0.15738742764594296
T05083,Sedan,Logan,AR,0.14728043270482316
T05085,Sedan,Lonoke,AR,0.1276983300057928
T05087,Sedan,Madison,AR,0.15746635341482318
T05089,Sedan,Marion,AR,0.1643982721733369
T05091,Sedan,Miller,AR,0.15573247404594295
T05093,Sedan,Mississippi,AR,0.12801384219527298
T05095,Sedan,Monroe,AR,0.15334627270881845
T05097,Sedan,Montgomery,AR,0.16161883408783556
T05099,Sedan,Nevada,AR,0.16288480363512003
T05101,Sedan,Newton,AR,0.15372386359441031
T05103,Sedan,Ouachita,AR,0.14072222675579277
T05105,Sedan,Perry,AR,0.1276983300057928
T05107,Sedan,Phillips,AR,0.13025216301480314
T05109,Sedan,Pike,AR,0.15882445184419686
T05111,Sedan,Poinsett,AR,0.15596322958308387
T05113,Sedan,Polk,AR,0.15963897761299062
T05115,Sedan,Pope,AR,0.15372386359441031
T05117,Sedan,Prairie,AR,0.15334627270881845
T05119,Sedan,Pulaski,AR,0.1560988821270285
T05121,Sedan,Randolph,AR,0.15508802522781925
T05123,Sedan,St Francis,AR,0.13025216301480314
T05125,Sedan,Saline,AR,0.15155153328807933
T05127,Sedan,Scott,AR,0.1542049419148232
T05129,Sedan,Searcy,AR,0.1323342501587519
T05131,Sedan,Sebastian,AR,0.1537711177044104
T05133,Sedan,Sevier,AR,0.15963897761299062
T05135,Sedan,Sharp,AR,0.15966532168807918
T05137,Sedan,Stone,AR,0.1589704570057927
T05139,Sedan,Union,AR,0.10309669205579279
T05141,Sedan,Van Buren,AR,0.1323342501587519
T05143,Sedan,Washington,AR,0.1535524579148232
T05145,Sedan,White,AR,0.15506406752442942
T05147,Sedan,Woodruff,AR,0.16083912291480312
T05149,Sedan,Yell,AR,0.15263243948807934
T06001,Sedan,Alameda,CA,0.2362431323238351
T06003,Sedan,Alpine,CA,0.20790566782383524
T06005,Sedan,Amador,CA,0.2202070847738352
T06007,Sedan,Butte,CA,0.23444113463958602
T06009,Sedan,Calaveras,CA,0.2202070847738352
T06011,Sedan,Colusa,CA,0.2202070847738352
T06013,Sedan,Contra Costa,CA,0.2202070847738352
T06015,Sedan,Del Norte,CA,0.09492990083125642
T06017,Sedan,El Dorado,CA,0.20790566782383524
T06019,Sedan,Fresno,CA,0.18764675697362357
T06021,Sedan,Glenn,CA,0.2202070847738352
T06023,Sedan,Humboldt,CA,0.2202070847738352
T06025,Sedan,Imperial,CA,0.16780879560273929
T06027,Sedan,Inyo,CA,0.20512645750714883
T06029,Sedan,Kern,CA,0.18764675697362357
T06031,Sedan,Kings,CA,0.18764675697362357
T06033,Sedan,Lake,CA,0.2202070847738352
T06035,Sedan,Lassen,CA,0.21723097669849856
T06037,Sedan,Los Angeles,CA,0.18098311468147857
T06039,Sedan,Madera,CA,0.18764675697362357
T06041,Sedan,Marin,CA,0.2202070847738352
T06043,Sedan,Mariposa,CA,0.2202070847738352
T06045,Sedan,Mendocino,CA,0.21266354807383525
T06047,Sedan,Merced,CA,0.21492452936854411
T06049,Sedan,Modoc,CA,0.15286416053858953
T06051,Sedan,Mono,CA,0.19380397790714882
T06053,Sedan,Monterey,CA,0.2202070847738352
T06055,Sedan,Napa,CA,0.2202070847738352
T06057,Sedan,Nevada,CA,0.21029212937383518
T06059,Sedan,Orange,CA,0.2260381380027394
T06061,Sedan,Placer,CA,0.20712325776141113
T06063,Sedan,Plumas,CA,0.21317889449849856
T06065,Sedan,Riverside,CA,0.22367333789959296
T06067,Sedan,Sacramento,CA,0.18029241525546136
T06069,Sedan,San Benito,CA,0.2202070847738352
T06071,Sedan,San Bernardino,CA,0.1911586964169801
T06073,Sedan,San Diego,CA,0.20412922827362365
T06075,Sedan,San Francisco,CA,0.24079102087605198
T06077,Sedan,San Joaquin,CA,0.2406802779238351
T06079,Sedan,San Luis Obispo,CA,0.2202070847738352
T06081,Sedan,San Mateo,CA,0.2202070847738352
T06083,Sedan,Santa Barbara,CA,0.21181322517362364
T06085,Sedan,Santa Clara,CA,0.18366967155485975
T06087,Sedan,Santa Cruz,CA,0.2202070847738352
T06089,Sedan,Shasta,CA,0.2102589648325469
T06091,Sedan,Sierra,CA,0.21317889449849856
T06093,Sedan,Siskiyou,CA,0.15584641870274799
T06095,Sedan,Solano,CA,0.2511989728238351
T06097,Sedan,Sonoma,CA,0.20549453620470692
T06099,Sedan,Stanislaus,CA,0.21717022547383524
T06101,Sedan,Sutter,CA,0.2202070847738352
T06103,Sedan,Tehama,CA,0.2202070847738352
T06105,Sedan,Trinity,CA,0.18091220030871424
T06107,Sedan,Tulare,CA,0.18764675697362357
T06109,Sedan,Tuolumne,CA,0.20918886776285225
T06111,Sedan,Ventura,CA,0.1553016075027393
T06113,Sedan,Yolo,CA,0.2202070847738352
T06115,Sedan,Yuba,CA,0.2202070847738352
T08001,Sedan,Adams,CO,0.13107866131035933
T08003,Sedan,Alamosa,CO,0.18772950564714033
T08005,Sedan,Arapahoe,CO,0.13473327501035942
T08007,Sedan,Archuleta,CO,0.1352814965868804
T08009,Sedan,Baca,CO,0.17628214932957978
T08011,Sedan,Bent,CO,0.1903336815224319
T08013,Sedan,Boulder,CO,0.15542263783992238
T08014,Sedan,Broomfield,CO,0.12584092485040518
T08015,Sedan,Chaffee,CO,0.16054453067468144
T08017,Sedan,Cheyenne,CO,0.18579595144833919
T08019,Sedan,Clear Creek,CO,0.14668779503133994
T08021,Sedan,Conejos,CO,0.18772950564714033
T08023,Sedan,Costilla,CO,0.2114296903471404
T08025,Sedan,Crowley,CO,0.15839800292542167
T08027,Sedan,Custer,CO,0.21817097732468146
T08029,Sedan,Delta,CO,0.14035058510145115
T08031,Sedan,Denver,CO,0.15426858372542165
T08033,Sedan,Dolores,CO,0.1586330109763126
T08035,Sedan,Douglas,CO,0.13874806153134
T08037,Sedan,Eagle,CO,0.15292799273636745
T08039,Sedan,Elbert,CO,0.13874806153134
T08041,Sedan,El Paso,CO,0.14451408083081804
T08043,Sedan,Fremont,CO,0.21617710307468152
T08045,Sedan,Garfield,CO,0.14636134936847522
T08047,Sedan,Gilpin,CO,0.1405388777254216
T08049,Sedan,Grand,CO,0.18384617066350362
T08051,Sedan,Gunnison,CO,0.13306829325875197
T08053,Sedan,Hinsdale,CO,0.1898500591792718
T08055,Sedan,Huerfano,CO,0.18320085542542172
T08057,Sedan,Jackson,CO,0.1985090026635036
T08059,Sedan,Jefferson,CO,0.13874806153134
T08061,Sedan,Kiowa,CO,0.17019170764249086
T08063,Sedan,Kit Carson,CO,0.19474778314249078
T08065,Sedan,Lake,CO,0.19367869687468145
T08067,Sedan,La Plata,CO,0.1352814965868804
T08069,Sedan,Larimer,CO,0.15396963010455966
T08071,Sedan,Las Animas,CO,0.2113706082868805
T08073,Sedan,Lincoln,CO,0.15266810344249085
T08075,Sedan,Logan,CO,0.15504067618223094
T08077,Sedan,Mesa,CO,0.14566798894418118
T08079,Sedan,Mineral,CO,0.15855235963657252
T08081,Sedan,Moffat,CO,0.16704263684083115
T08083,Sedan,Montezuma,CO,0.1369233500663605
T08085,Sedan,Montrose,CO,0.15765278057335344
T08087,Sedan,Morgan,CO,0.14527846545775078
T08089,Sedan,Otero,CO,0.2042630045061008
T08091,Sedan,Ouray,CO,0.15765278057335344
T08093,Sedan,Park,CO,0.14668779503133994
T08095,Sedan,Phillips,CO,0.17628149830145123
T08097,Sedan,Pitkin,CO,0.15486676883622666
T08099,Sedan,Prowers,CO,0.22056292539864494
T08101,Sedan,Pueblo,CO,0.16059765472542165
T08103,Sedan,Rio Blanco,CO,0.16704263684083115
T08105,Sedan,Rio Grande,CO,0.20030431483657254
T08107,Sedan,Routt,CO,0.1829490509407448
T08109,Sedan,Saguache,CO,0.22115472164249086
T08111,Sedan,San Juan,CO,0.16338370212197104
T08113,Sedan,San Miguel,CO,0.1586330109763126
T08115,Sedan,Sedgwick,CO,0.17554756067836225
T08117,Sedan,Summit,CO,0.1762498638193861
T08119,Sedan,Teller,CO,0.146192108560818
T08121,Sedan,Washington,CO,0.1566135304195048
T08123,Sedan,Weld,CO,0.12349358092357626
T08125,Sedan,Yuma,CO,0.17802699730333016
T09001,Sedan,Fairfield,CT,0.18523834177024356
T09003,Sedan,Hartford,CT,0.1607820068736792
T09005,Sedan,Litchfield,CT,0.1607820068736792
T09007,Sedan,Middlesex,CT,0.1607820068736792
T09009,Sedan,New Haven,CT,0.16049126302456868
T09011,Sedan,New London,CT,0.22842374068787424
T09013,Sedan,Tolland,CT,0.1607820068736792
T09015,Sedan,Windham,CT,0.1607820068736792
T10001,Sedan,Kent,DE,0.18025131711027154
T10003,Sedan,New Castle,DE,0.19275328227615698
T10005,Sedan,Sussex,DE,0.1777333618254717
T11001,Sedan,District of Columbia,DC,0.10558085438293463
T12001,Sedan,Alachua,FL,0.16815603678838492
T12003,Sedan,Baker,FL,0.16859607080856037
T12005,Sedan,Bay,FL,0.18214583538439996
T12007,Sedan,Bradford,FL,0.16742711938804053
T12009,Sedan,Brevard,FL,0.16033163751605273
T12011,Sedan,Broward,FL,0.1602242548552568
T12013,Sedan,Calhoun,FL,0.18454880476755942
T12015,Sedan,Charlotte,FL,0.1602242548552568
T12017,Sedan,Citrus,FL,0.17456809101894175
T12019,Sedan,Clay,FL,0.16410655335525695
T12021,Sedan,Collier,FL,0.1602242548552568
T12023,Sedan,Columbia,FL,0.1728651809849285
T12027,Sedan,DeSoto,FL,0.14889460168181654
T12029,Sedan,Dixie,FL,0.15577629181179406
T12031,Sedan,Duval,FL,0.16310681017778067
T12033,Sedan,Escambia,FL,0.140864718110838
