state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
AK,Aleutians East,1.87,0.49,0.42,0.36,0.41355837609017376
AK,Aleutians West,2.27,0.93,0.88,1.0,0.9363224288695604
AK,Anchorage,4.27,0.55,0.43,0.3,0.418644212355067
AK,Bethel,2.21,0.81,0.76,0.72,0.7593090351538152
AK,Bristol Bay,1.74,0.3,0.23,0.19,0.23115504743972956
AK,Denali,1.82,0.43,0.46,0.36,0.43143273573302965
AK,Dillingham,2.16,0.76,0.71,0.67,0.7093090351538152
AK,Fairbanks North Star,2.09,0.7,0.69,0.62,0.6753360708408233
AK,Haines,3.9,1.0,0.9,0.81,0.8957249143004287
AK,Hoonah-Angoon,3.9,1.0,0.9,0.81,0.8957249143004287
AK,Juneau,1.67,0.27,0.22,0.19,0.22289848321299852
AK,Kenai Peninsula,4.27,0.56,0.44,0.3,0.4249851350906854
AK,Ketchikan Gateway,1.64,0.27,0.22,0.19,0.222689595597404
AK,Kodiak Island,1.88,0.5,0.45,0.41,0.44916977674341874
AK,Kusilvak,2.14,0.68,0.62,0.58,0.620510558117565
AK,Lake and Peninsula,2.62,1.26,1.21,1.18,1.212619966392206
AK,Matanuska Susitna,2.4,0.38,0.32,0.25,0.3136414494311126
AK,Nome,2.19,0.79,0.74,0.7,0.7393090351538152
AK,North Slope,1.74,0.45,0.25,0.19,0.2531204337666815
AK,Northwest Arctic,1.96,0.53,0.47,0.44,0.4738911185611539
AK,Not Applicable,2.11,0.54,0.46,0.39,0.4520756306623166
AK,Petersburg,1.65,0.28,0.2,0.16,0.2014513907359032
AK,Prince of Wales-Hyder,2.48,0.35,0.29,0.22,0.28440737068829247
AK,Sitka,2.11,0.54,0.46,0.39,0.4520756306623166
AK,Skagway,2.91,0.79,0.72,0.65,0.7151214892156552
AK,Southeast Fairbanks,1.82,0.43,0.46,0.36,0.43143273573302965
AK,Valdez Cordova,1.82,0.4,0.35,0.3,0.34585884550502805
AK,Wrangell,1.67,0.29,0.24,0.2,0.23916977674341877
AK,Yakutat,1.67,0.68,0.62,0.58,0.6172379854732508
AK,Yukon Koyukuk,1.98,0.68,0.62,0.58,0.6193964908343942
AL,Autauga,1.63,0.29,0.24,0.19,0.23530181186344268
AL,Baldwin,1.67,0.28,0.27,0.19,0.25174662278163995
AL,Barbour,2.04,0.31,0.25,0.19,0.24521165053954894
AL,Bibb,1.63,0.29,0.26,0.22,0.2573237644575043
AL,Blount,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Bullock,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Butler,1.68,0.28,0.22,0.16,0.2129138867680092
AL,Calhoun,1.7,0.28,0.23,0.19,0.22944829356421148
AL,Chambers,1.7,0.31,0.26,0.2,0.25206050983025013
AL,Cherokee,1.7,0.28,0.23,0.19,0.22944829356421148
AL,Chilton,1.63,0.29,0.26,0.22,0.2573237644575043
AL,Choctaw,1.63,0.25,0.21,0.17,0.2083860290108579
AL,Clarke,1.63,0.25,0.21,0.17,0.2083860290108579
AL,Clay,1.87,0.29,0.25,0.19,0.24259971699645458
AL,Cleburne,2.04,0.31,0.25,0.19,0.24521165053954894
AL,Coffee,1.65,0.27,0.23,0.17,0.22120713289249114
AL,Colbert,1.71,0.28,0.27,0.2,0.255614587661616
AL,Conecuh,2.25,0.33,0.23,0.17,0.22966959636855772
AL,Coosa,1.63,0.29,0.26,0.22,0.2573237644575043
AL,Covington,1.72,0.31,0.24,0.19,0.23735671176495163
AL,Crenshaw,1.64,0.27,0.22,0.17,0.21551069947903723
AL,Cullman,1.71,0.29,0.32,0.22,0.2916416233486242
AL,Dale,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Dallas,1.63,0.27,0.22,0.17,0.21544107027383905
AL,DeKalb,1.69,0.28,0.23,0.2,0.2329681124181967
AL,Elmore,1.63,0.29,0.26,0.22,0.2573237644575043
AL,Escambia,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Etowah,1.7,0.28,0.28,0.21,0.26476121072385694
AL,Fayette,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Franklin,1.72,0.28,0.27,0.2,0.25568421686681414
AL,Geneva,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Greene,1.63,0.25,0.21,0.17,0.2083860290108579
AL,Hale,1.63,0.25,0.21,0.17,0.2083860290108579
AL,Henry,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Houston,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Jackson,1.66,0.28,0.23,0.2,0.2327592248026022
AL,Jefferson,1.71,0.29,0.33,0.23,0.3008578756160633
AL,Lamar,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Lauderdale,1.69,0.28,0.32,0.22,0.2907882464108651
AL,Lawrence,1.73,0.24,0.2,0.15,0.19556250220885443
AL,Lee,2.22,0.32,0.22,0.17,0.22311978601734478
AL,Limestone,1.66,0.28,0.2,0.15,0.19793157188191798
AL,Lowndes,1.63,0.29,0.24,0.19,0.23530181186344268
AL,Macon,1.69,0.3,0.25,0.2,0.24564995788943356
AL,Madison,1.68,0.28,0.33,0.23,0.29993486947310605
AL,Marengo,1.63,0.25,0.21,0.17,0.2083860290108579
AL,Marion,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Marshall,1.68,0.28,0.23,0.2,0.2328984832129985
AL,Mobile,2.85,0.37,0.3,0.19,0.2832703483660559
AL,Monroe,2.85,0.28,0.22,0.16,0.22106050377619552
AL,Montgomery,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Morgan,1.67,0.28,0.24,0.2,0.23845565821605608
AL,Perry,1.63,0.27,0.23,0.19,0.22824677060046156
AL,Pickens,1.63,0.25,0.21,0.17,0.2083860290108579
AL,Pike,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Randolph,2.04,0.31,0.25,0.19,0.24521165053954894
AL,Russell,2.04,0.31,0.25,0.19,0.24521165053954894
AL,Shelby,1.7,0.28,0.24,0.19,0.2350750977724672
AL,St Clair,1.7,0.28,0.24,0.19,0.2350750977724672
AL,Sumter,1.63,0.25,0.21,0.17,0.2083860290108579
AL,Talladega,1.64,0.28,0.24,0.2,0.23824677060046157
AL,Tallapoosa,1.63,0.29,0.25,0.19,0.2409286160716984
AL,Tuscaloosa,1.63,0.25,0.21,0.17,0.2083860290108579
AL,Walker,1.68,0.28,0.24,0.19,0.23493583936207085
AL,Washington,2.24,0.31,0.25,0.17,0.23942533852514564
AL,Wilcox,1.63,0.25,0.21,0.16,0.2047965809516745
AL,Winston,1.68,0.28,0.24,0.19,0.23493583936207085
AR,Arkansas,1.69,0.27,0.22,0.15,0.20867994938666132
AR,Ashley,1.69,0.27,0.22,0.16,0.2122693974458447
AR,Baxter,2.57,0.32,0.25,0.18,0.24602666888323144
AR,Benton,1.65,0.26,0.22,0.16,0.21127676209768928
AR,Boone,1.65,0.24,0.19,0.16,0.19296811241819667
AR,Bradley,1.69,0.27,0.22,0.16,0.2122693974458447
AR,Calhoun,1.69,0.27,0.22,0.16,0.2122693974458447
AR,Carroll,1.65,0.24,0.19,0.16,0.19296811241819667
