state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
AK,Aleutians East,2.6,0.56,0.49,0.4,0.47738555945570305
AK,Aleutians West,3.0,1.0,0.96,1.04,1.0057764164433454
AK,Anchorage,5.0,0.62,0.5,0.34,0.4824713957205963
AK,Bethel,2.94,0.88,0.83,0.76,0.8231362185193444
AK,Bristol Bay,2.47,0.37,0.31,0.24,0.304198483072698
AK,Denali,2.55,0.5,0.53,0.4,0.49525991909855893
AK,Dillingham,2.89,0.83,0.78,0.71,0.7731362185193444
AK,Fairbanks North Star,2.82,0.77,0.77,0.67,0.7483795064737917
AK,Haines,4.62,1.07,0.98,0.85,0.9651092726690154
AK,Hoonah-Angoon,4.62,1.07,0.98,0.85,0.9651092726690154
AK,Juneau,2.39,0.34,0.3,0.23,0.29228284158158535
AK,Kenai Peninsula,5.0,0.63,0.51,0.34,0.4888123184562147
AK,Ketchikan Gateway,2.37,0.34,0.3,0.23,0.292143583171189
AK,Kodiak Island,2.6,0.57,0.53,0.46,0.522143583171189
AK,Kusilvak,2.87,0.75,0.69,0.62,0.6843377414830943
AK,Lake and Peninsula,3.34,1.33,1.29,1.22,1.2820043247607926
AK,Matanuska Susitna,3.13,0.45,0.39,0.3,0.3810580808558253
AK,Nome,2.92,0.86,0.81,0.74,0.8031362185193445
AK,North Slope,2.46,0.52,0.32,0.23,0.3168779879270126
AK,Northwest Arctic,2.69,0.6,0.55,0.48,0.543345106134939
AK,Not Applicable,2.84,0.61,0.53,0.43,0.5159028140278459
AK,Petersburg,2.38,0.35,0.27,0.2,0.2652785741014325
AK,Prince of Wales-Hyder,3.21,0.42,0.36,0.26,0.34823455405382175
AK,Sitka,2.84,0.61,0.53,0.43,0.5159028140278459
AK,Skagway,3.64,0.86,0.79,0.69,0.7789486725811845
AK,Southeast Fairbanks,2.55,0.5,0.53,0.4,0.49525991909855893
AK,Valdez Cordova,2.55,0.47,0.42,0.34,0.4096860288705574
AK,Wrangell,2.4,0.36,0.32,0.25,0.3122132123763872
AK,Yakutat,2.87,0.75,0.69,0.62,0.6843377414830943
AK,Yukon Koyukuk,2.71,0.75,0.69,0.62,0.6832236741999236
AL,Autauga,2.36,0.36,0.31,0.23,0.29912899522897196
AL,Baldwin,2.4,0.35,0.34,0.24,0.3191632542063526
AL,Barbour,2.77,0.38,0.33,0.23,0.314665638113334
AL,Bibb,2.36,0.36,0.33,0.26,0.32115094782303366
AL,Blount,2.4,0.35,0.31,0.23,0.298693393522402
AL,Bullock,2.4,0.35,0.31,0.23,0.298693393522402
