state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
AK,Aleutians East,1.16,0.42,0.36,0.33,0.3590867034024799
AK,Aleutians West,1.57,0.86,0.83,0.96,0.883957741536137
AK,Anchorage,3.56,0.48,0.38,0.26,0.3662098958164455
AK,Bethel,1.5,0.74,0.71,0.69,0.710464166674377
AK,Bristol Bay,1.03,0.23,0.18,0.16,0.18231017896029147
AK,Denali,1.12,0.36,0.41,0.32,0.3790680483996063
AK,Dillingham,1.45,0.69,0.66,0.64,0.660464166674377
AK,Fairbanks North Star,1.38,0.63,0.64,0.59,0.6264912023613852
AK,Haines,3.19,0.93,0.85,0.78,0.8468800458209906
AK,Hoonah-Angoon,3.19,0.93,0.85,0.78,0.8468800458209906
AK,Juneau,0.96,0.2,0.17,0.15,0.17046416667437705
AK,Kenai Peninsula,3.56,0.49,0.38,0.27,0.3705134624029916
AK,Ketchikan Gateway,0.94,0.2,0.17,0.15,0.1703249082639807
AK,Kodiak Island,1.17,0.43,0.4,0.38,0.4003249082639807
AK,Kusilvak,1.43,0.61,0.57,0.55,0.5716656896381269
AK,Lake and Peninsula,1.91,1.19,1.16,1.14,1.1601856498535843
AK,Matanuska Susitna,1.7,0.31,0.26,0.22,0.25923940594861694
AK,Nome,1.49,0.72,0.69,0.67,0.6905337958795752
AK,North Slope,1.03,0.38,0.2,0.15,0.20068611722806004
AK,Northwest Arctic,1.26,0.46,0.42,0.4,0.4215264312277306
AK,Not Applicable,1.4,0.47,0.41,0.35,0.399641314123695
AK,Petersburg,0.95,0.21,0.15,0.13,0.1526761514616633
AK,Prince of Wales-Hyder,1.77,0.28,0.24,0.19,0.2355625022088544
AK,Sitka,1.4,0.47,0.41,0.35,0.399641314123695
AK,Skagway,2.2,0.72,0.67,0.62,0.6662766207362172
AK,Southeast Fairbanks,1.12,0.36,0.41,0.32,0.3790680483996063
AK,Valdez Cordova,1.11,0.33,0.3,0.26,0.2934245289664066
AK,Wrangell,0.96,0.22,0.19,0.17,0.19032490826398069
AK,Yakutat,1.43,0.61,0.57,0.55,0.5716656896381269
AK,Yukon Koyukuk,1.27,0.61,0.57,0.55,0.5705516223549562
AL,Autauga,0.92,0.22,0.19,0.16,0.1864569433840046
AL,Baldwin,0.97,0.21,0.21,0.16,0.19734457929914426
AL,Barbour,1.33,0.24,0.2,0.15,0.19277733400092747
AL,Bibb,0.92,0.22,0.21,0.19,0.20847889597806626
AL,Blount,0.97,0.21,0.19,0.16,0.18609097088263277
AL,Bullock,0.97,0.21,0.19,0.16,0.18609097088263277
AL,Butler,0.97,0.21,0.16,0.13,0.1584422140803154
AL,Calhoun,0.99,0.21,0.18,0.16,0.18060342508477337
AL,Chambers,1.01,0.24,0.2,0.17,0.1977280955529527
AL,Cherokee,0.99,0.21,0.18,0.16,0.18060342508477337
AL,Chilton,0.92,0.22,0.21,0.19,0.20847889597806626
AL,Choctaw,0.93,0.19,0.16,0.13,0.15673546020479728
AL,Clarke,0.93,0.19,0.16,0.13,0.15673546020479728
AL,Clay,1.16,0.23,0.2,0.15,0.19087951898519584
AL,Cleburne,1.33,0.24,0.2,0.15,0.19277733400092747
AL,Coffee,0.95,0.21,0.18,0.14,0.1731460121456139
AL,Colbert,1.01,0.21,0.22,0.17,0.20683934838737608
AL,Conecuh,1.54,0.26,0.18,0.14,0.18082472788911963
AL,Coosa,0.92,0.22,0.21,0.19,0.20847889597806626
AL,Covington,1.01,0.24,0.19,0.16,0.18851184328551354
AL,Crenshaw,0.93,0.21,0.17,0.14,0.16737994952696184
AL,Cullman,1.0,0.22,0.27,0.19,0.2427967548691861
