county_text,VEHCLASS,county,state,lcoc_cost_per_kwh
T01001,Sedan,Autauga,AL,0.1737720770403441
T01003,Sedan,Baldwin,AL,0.15553082204034407
T01005,Sedan,Barbour,AL,0.15879317204034407
T01007,Sedan,Bibb,AL,0.13135446370701068
T01009,Sedan,Blount,AL,0.08893685037367738
T01011,Sedan,Bullock,AL,0.16086051704034407
T01013,Sedan,Butler,AL,0.17366065704034406
T01015,Sedan,Calhoun,AL,0.17088393704034405
T01017,Sedan,Chambers,AL,0.13499070104034408
T01019,Sedan,Cherokee,AL,0.13037263870701066
T01021,Sedan,Chilton,AL,0.13135446370701068
T01023,Sedan,Choctaw,AL,0.11946599370701068
T01025,Sedan,Clarke,AL,0.14999513704034406
T01027,Sedan,Clay,AL,0.15672582704034407
T01029,Sedan,Cleburne,AL,0.12283133870701067
T01031,Sedan,Coffee,AL,0.170622697040344
T01033,Sedan,Colbert,AL,0.14723571204034397
T01035,Sedan,Conecuh,AL,0.14855008704034406
T01037,Sedan,Coosa,AL,0.13135446370701068
T01039,Sedan,Covington,AL,0.167584737040344
T01041,Sedan,Crenshaw,AL,0.17366065704034406
T01043,Sedan,Cullman,AL,0.14876466704034397
T01045,Sedan,Dale,AL,0.164384037040344
T01047,Sedan,Dallas,AL,0.16188360704034407
T01049,Sedan,DeKalb,AL,0.15116126204034397
T01051,Sedan,Elmore,AL,0.13135446370701068
T01053,Sedan,Escambia,AL,0.15592513704034408
T01055,Sedan,Etowah,AL,0.16080763204034407
T01057,Sedan,Fayette,AL,0.13209916870701066
T01059,Sedan,Franklin,AL,0.157559507040344
T01061,Sedan,Geneva,AL,0.15933203204034396
T01063,Sedan,Greene,AL,0.11946599370701068
T01065,Sedan,Hale,AL,0.11946599370701068
T01067,Sedan,Henry,AL,0.16118333704034407
T01069,Sedan,Houston,AL,0.13452256204034407
T01071,Sedan,Jackson,AL,0.15234481704034408
T01073,Sedan,Jefferson,AL,0.14635669704034407
T01075,Sedan,Lamar,AL,0.13209916870701066
T01077,Sedan,Lauderdale,AL,0.143423017040344
T01079,Sedan,Lawrence,AL,0.14741326204034397
T01081,Sedan,Lee,AL,0.15609920204034397
T01083,Sedan,Limestone,AL,0.13805811004034407
T01085,Sedan,Lowndes,AL,0.17366065704034406
T01087,Sedan,Macon,AL,0.16086051704034407
T01089,Sedan,Madison,AL,0.14008641704034408
T01091,Sedan,Marengo,AL,0.11946599370701068
T01093,Sedan,Marion,AL,0.13209916870701066
T01095,Sedan,Marshall,AL,0.14868143204034406
T01097,Sedan,Mobile,AL,0.12005215870701068
T01099,Sedan,Monroe,AL,0.15592513704034408
T01101,Sedan,Montgomery,AL,0.16086051704034407
T01103,Sedan,Morgan,AL,0.15048946704034408
T01105,Sedan,Perry,AL,0.14999513704034406
T01107,Sedan,Pickens,AL,0.11946599370701068
T01109,Sedan,Pike,AL,0.159507937040344
T01111,Sedan,Randolph,AL,0.12283133870701067
T01113,Sedan,Russell,AL,0.12283133870701067
T01115,Sedan,St Clair,AL,0.1302872037070107
T01117,Sedan,Shelby,AL,0.1302872037070107
T01119,Sedan,Sumter,AL,0.11946599370701068
T01121,Sedan,Talladega,AL,0.15430433754034406
T01123,Sedan,Tallapoosa,AL,0.15672582704034407
T01125,Sedan,Tuscaloosa,AL,0.11946599370701068
T01127,Sedan,Walker,AL,0.08893685037367738
T01129,Sedan,Washington,AL,0.1505813020403441
T01131,Sedan,Wilcox,AL,0.1591218570403441
T01133,Sedan,Winston,AL,0.12233753370701067
T02013,Sedan,Aleutians East,AK,0.6452144220403441
T02016,Sedan,Aleutians West,AK,0.44986241704034396
T02020,Sedan,Anchorage,AK,0.2521362670403441
T02050,Sedan,Bethel,AK,0.5942574170403441
T02060,Sedan,Bristol Bay,AK,0.46420463704034404
T02068,Sedan,Denali,AK,0.29021816704034403
T02070,Sedan,Dillingham,AK,0.515990262040344
T02090,Sedan,Fairbanks North Star,AK,0.47854685704034405
T02100,Sedan,Haines,AK,0.49678581204034405
T02105,Sedan,Hoonah-Angoon,AK,0.49678581204034405
T02110,Sedan,Juneau,AK,0.16404198704034406
T02122,Sedan,Kenai Peninsula,AK,0.28857492204034396
T02130,Sedan,Ketchikan Gateway,AK,0.1545911670403441
T02150,Sedan,Kodiak Island,AK,0.40451462204034405
T02158,Sedan,Kusilvak,AK,0.5391882270403442
T02164,Sedan,Lake and Peninsula,AK,0.894015982040344
T02170,Sedan,Matanuska Susitna,AK,0.25449131704034406
T02180,Sedan,Nome,AK,0.5263730620403441
T02185,Sedan,North Slope,AK,0.20099717204034406
T02188,Sedan,Northwest Arctic,AK,0.5391882270403442
T02195,Sedan,Petersburg,AK,0.1409366470403441
T02198,Sedan,Prince of Wales-Hyder,AK,0.25577489704034406
T02220,Sedan,Sitka,AK,0.22470083704034405
T02230,Sedan,Skagway,AK,0.627039107040344
T02240,Sedan,Southeast Fairbanks,AK,0.29021816704034403
T02261,Sedan,Valdez Cordova,AK,0.574594112040344
T02275,Sedan,Wrangell,AK,0.37524345204034404
T02282,Sedan,Yakutat,AK,0.5391882270403442
T02290,Sedan,Yukon Koyukuk,AK,0.7150168770403441
T04001,Sedan,Apache,AZ,0.10015351704034407
T04003,Sedan,Cochise,AZ,0.13238701704034406
T04005,Sedan,Coconino,AZ,0.14190881704034408
T04007,Sedan,Gila,AZ,0.09920351704034397
T04009,Sedan,Graham,AZ,0.14498541704034407
T04011,Sedan,Greenlee,AZ,0.11122025754034408
T04012,Sedan,La Paz,AZ,0.09781856304034407
T04013,Sedan,Maricopa,AZ,0.139183507040344
T04015,Sedan,Mohave,AZ,0.13530882404034406
T04017,Sedan,Navajo,AZ,0.10015351704034407
T04019,Sedan,Pima,AZ,0.14063051704034407
T04021,Sedan,Pinal,AZ,0.14910088704034397
T04023,Sedan,Santa Cruz,AZ,0.12560600704034408
T04025,Sedan,Yavapai,AZ,0.12103116704034407
T04027,Sedan,Yuma,AZ,0.12748711704034407
T05001,Sedan,Arkansas,AR,0.1392113670403441
T05003,Sedan,Ashley,AR,0.11541421704034407
T05005,Sedan,Baxter,AR,0.11429666204034407
T05007,Sedan,Benton,AR,0.14530787204034407
T05009,Sedan,Boone,AR,0.10609698104034407
T05011,Sedan,Bradley,AR,0.15093590704034407
T05013,Sedan,Calhoun,AR,0.12166680704034408
T05015,Sedan,Carroll,AR,0.13549044504034408
T05017,Sedan,Chicot,AR,0.11541421704034407
T05019,Sedan,Clark,AR,0.11747094204034397
T05021,Sedan,Clay,AR,0.15669951704034407
T05023,Sedan,Cleburne,AR,0.1392113670403441
T05025,Sedan,Cleveland,AR,0.11381971204034397
T05027,Sedan,Columbia,AR,0.11144658204034398
T05029,Sedan,Conway,AR,0.1392113670403441
T05031,Sedan,Craighead,AR,0.10153661204034407
T05033,Sedan,Crawford,AR,0.14536937704034408
T05035,Sedan,Crittenden,AR,0.10705735404034407
T05037,Sedan,Cross,AR,0.10996193204034407
T05039,Sedan,Dallas,AR,0.154587137040344
T05041,Sedan,Desha,AR,0.11381971204034397
T05043,Sedan,Drew,AR,0.15093590704034407
T05045,Sedan,Faulkner,AR,0.12319166204034407
T05047,Sedan,Franklin,AR,0.14536937704034408
T05049,Sedan,Fulton,AR,0.11429666204034407
T05051,Sedan,Garland,AR,0.10795744204034408
T05053,Sedan,Grant,AR,0.1392113670403441
T05055,Sedan,Greene,AR,0.128827888540344
T05057,Sedan,Hempstead,AR,0.1428267570403441
T05059,Sedan,Hot Spring,AR,0.11747094204034397
T05061,Sedan,Howard,AR,0.1465102120403441
T05063,Sedan,Independence,AR,0.14011803704034398
T05065,Sedan,Izard,AR,0.11429666204034407
T05067,Sedan,Jackson,AR,0.11661363704034407
T05069,Sedan,Jefferson,AR,0.1392113670403441
T05071,Sedan,Johnson,AR,0.11329716820701068
T05073,Sedan,Lafayette,AR,0.14124948704034407
T05075,Sedan,Lawrence,AR,0.14102470704034398
T05077,Sedan,Lee,AR,0.10996193204034407
T05079,Sedan,Lincoln,AR,0.11381971204034397
T05081,Sedan,Little River,AR,0.14371956704034405
T05083,Sedan,Logan,AR,0.13350624604034406
T05085,Sedan,Lonoke,AR,0.10795744204034408
T05087,Sedan,Madison,AR,0.14536937704034408
