county_text,county,state,lcoc_cost_per_kwh
T01001,Autauga,AL,0.2413580798630137
T01003,Baldwin,AL,0.2233712998630136
T01005,Barbour,AL,0.2284197798630137
T01007,Bibb,AL,0.2412640048630137
T01009,Blount,AL,0.2413580798630137
T01011,Bullock,AL,0.2410585098630137
T01013,Butler,AL,0.2413580798630137
T01015,Calhoun,AL,0.2391208448630137
T01017,Chambers,AL,0.22412367986301368
T01019,Cherokee,AL,0.2402821798630137
T01021,Chilton,AL,0.2412640048630137
T01023,Choctaw,AL,0.2293755348630137
T01025,Clarke,AL,0.2356464298630137
T01027,Clay,AL,0.2390354098630137
T01029,Cleburne,AL,0.2327408798630137
T01031,Coffee,AL,0.2412082948630137
T01033,Colbert,AL,0.2146335648630136
T01035,Conecuh,AL,0.2323405348630137
T01037,Coosa,AL,0.2412640048630137
T01039,Covington,AL,0.2378600498630137
T01041,Crenshaw,AL,0.2413580798630137
T01043,Cullman,AL,0.2203801748630137
T01045,Dale,AL,0.2380205498630137
T01047,Dallas,AL,0.2412640048630137
T01049,DeKalb,AL,0.2185591148630136
T01051,Elmore,AL,0.2412640048630137
T01053,Escambia,AL,0.2413580798630137
T01055,Etowah,AL,0.2391208448630137
T01057,Fayette,AL,0.2420087098630137
T01059,Franklin,AL,0.2297294298630136
T01061,Geneva,AL,0.2381703348630137
T01063,Greene,AL,0.2293755348630137
T01065,Hale,AL,0.2293755348630137
T01067,Henry,AL,0.2349825898630136
T01069,Houston,AL,0.2349825898630136
T01071,Jackson,AL,0.2197426698630137
T01073,Jefferson,AL,0.2309802198630137
T01075,Lamar,AL,0.2420087098630137
T01077,Lauderdale,AL,0.21082086986301368
T01079,Lawrence,AL,0.2245042748630137
T01081,Lee,AL,0.22619102486301368
T01083,Limestone,AL,0.2054559628630137
T01085,Lowndes,AL,0.2411699298630137
T01087,Macon,AL,0.2396605398630137
T01089,Madison,AL,0.20748426986301371
T01091,Marengo,AL,0.2293755348630137
T01093,Marion,AL,0.2420087098630137
T01095,Marshall,AL,0.2181829748630137
T01097,Mobile,AL,0.22996169986301368
T01099,Monroe,AL,0.2356464298630137
T01101,Montgomery,AL,0.2410585098630137
T01103,Morgan,AL,0.21788731986301368
T01105,Perry,AL,0.2411699298630137
T01107,Pickens,AL,0.2293755348630137
T01109,Pike,AL,0.22690578986301368
T01111,Randolph,AL,0.2327408798630137
T01113,Russell,AL,0.2327408798630137
T01115,St Clair,AL,0.2401967448630136
T01117,Shelby,AL,0.2401967448630136
T01119,Sumter,AL,0.2293755348630137
T01121,Talladega,AL,0.2401026698630137
T01123,Tallapoosa,AL,0.22825836986301368
T01125,Tuscaloosa,AL,0.2293755348630137
T01127,Walker,AL,0.2413580798630137
T01129,Washington,AL,0.2271058748630137
T01131,Wilcox,AL,0.23850225486301369
T01133,Winston,AL,0.23224707486301369
T02013,Aleutians East,AK,0.7126122748630137
T02016,Aleutians West,AK,0.5172602698630135
T02020,Anchorage,AK,0.3195341198630137
T02050,Bethel,AK,0.6616552698630136
T02060,Bristol Bay,AK,0.5316024898630136
T02068,Denali,AK,0.35761601986301367
T02070,Dillingham,AK,0.5833881148630137
T02090,Fairbanks North Star,AK,0.5459447098630137
T02100,Haines,AK,0.5641836648630136
T02105,Hoonah-Angoon,AK,0.5641836648630136
T02110,Juneau,AK,0.2314398398630137
T02122,Kenai Peninsula,AK,0.3559727748630137
T02130,Ketchikan Gateway,AK,0.2219890198630137
T02150,Kodiak Island,AK,0.4719124748630137
T02158,Kusilvak,AK,0.6065860798630138
T02164,Lake and Peninsula,AK,0.9614138348630137
T02170,Matanuska Susitna,AK,0.3218891698630137
T02180,Nome,AK,0.5937709148630137
T02185,North Slope,AK,0.2683950248630137
T02188,Northwest Arctic,AK,0.6065860798630138
T02195,Petersburg,AK,0.2083344998630137
T02198,Prince of Wales-Hyder,AK,0.3231727498630137
T02220,Sitka,AK,0.2920986898630137
T02230,Skagway,AK,0.6944369598630136
T02240,Southeast Fairbanks,AK,0.35761601986301367
T02261,Valdez Cordova,AK,0.6419919648630137
T02275,Wrangell,AK,0.4426413048630137
T02282,Yakutat,AK,0.6065860798630138
T02290,Yukon Koyukuk,AK,0.7824147298630137
T04001,Apache,AZ,0.2387391698630137
T04003,Cochise,AZ,0.2381439548630137
T04005,Coconino,AZ,0.2149870598630137
T04007,Gila,AZ,0.2368075548630137
T04009,Graham,AZ,0.2364071998630137
T04011,Greenlee,AZ,0.2379735398630137
T04012,La Paz,AZ,0.1652164158630137
T04013,Maricopa,AZ,0.22142218486301368
T04015,Mohave,AZ,0.20790650986301368
T04017,Navajo,AZ,0.2387391698630137
T04019,Pima,AZ,0.2364071998630137
T04021,Pinal,AZ,0.23146801986301369
T04023,Santa Cruz,AZ,0.2381439548630137
T04025,Yavapai,AZ,0.2240229198630137
T04027,Yuma,AZ,0.2304788698630137
T05001,Arkansas,AR,0.21680980986301368
T05003,Ashley,AR,0.21916628986301367
T05005,Baxter,AR,0.21804873486301368
T05007,Benton,AR,0.2127057248630137
T05009,Boone,AR,0.2098490538630137
T05011,Bradley,AR,0.21833375986301368
T05013,Calhoun,AR,0.22541887986301368
T05015,Carroll,AR,0.2086473398630137
T05017,Chicot,AR,0.21916628986301367
T05019,Clark,AR,0.2212230148630136
T05021,Clay,AR,0.2240973698630137
T05023,Cleburne,AR,0.21680980986301368
T05025,Cleveland,AR,0.2175717848630137
T05027,Columbia,AR,0.2151986548630137
T05029,Conway,AR,0.21680980986301368
T05031,Craighead,AR,0.2084225598630137
T05033,Crawford,AR,0.2127672298630137
T05035,Crittenden,AR,0.2084225598630137
T05037,Cross,AR,0.2137140048630137
T05039,Dallas,AR,0.2219849898630136
T05041,Desha,AR,0.2175717848630137
T05043,Drew,AR,0.21833375986301368
T05045,Faulkner,AR,0.2117095148630137
T05047,Franklin,AR,0.2127672298630137
T05049,Fulton,AR,0.21804873486301368
T05051,Garland,AR,0.2117095148630137
T05053,Grant,AR,0.21680980986301368
T05055,Greene,AR,0.2126161848630137
T05057,Hempstead,AR,0.21358749986301367
T05059,Hot Spring,AR,0.2212230148630136
T05061,Howard,AR,0.2139080648630137
T05063,Independence,AR,0.2126161848630137
T05065,Izard,AR,0.21804873486301368
T05067,Jackson,AR,0.22036570986301368
T05069,Jefferson,AR,0.21680980986301368
T05071,Johnson,AR,0.2036917643630137
T05073,Lafayette,AR,0.21358749986301367
T05075,Lawrence,AR,0.21680980986301368
T05077,Lee,AR,0.2137140048630137
T05079,Lincoln,AR,0.2175717848630137
T05081,Little River,AR,0.2111174198630137
T05083,Logan,AR,0.2086473398630137
T05085,Lonoke,AR,0.2117095148630137
T05087,Madison,AR,0.2127672298630137
T05089,Marion,AR,0.2191491098630137
T05091,Miller,AR,0.21358749986301367
T05093,Mississippi,AR,0.2120967898630137
T05095,Monroe,AR,0.2106181998630137
T05097,Montgomery,AR,0.21680980986301368
T05099,Nevada,AR,0.2212230148630136
T05101,Newton,AR,0.2150588748630137
T05103,Ouachita,AR,0.22541887986301368
T05105,Perry,AR,0.2117095148630137
T05107,Phillips,AR,0.2137140048630137
T05109,Pike,AR,0.2151986548630137
T05111,Poinsett,AR,0.21680980986301368
T05113,Polk,AR,0.21358749986301367
T05115,Pope,AR,0.2150588748630137
T05117,Prairie,AR,0.2106181998630137
T05119,Pulaski,AR,0.21680980986301368
T05121,Randolph,AR,0.21680980986301368
T05123,St Francis,AR,0.2137140048630137
T05125,Saline,AR,0.2091586098630137
T05127,Scott,AR,0.2133079398630137
T05129,Searcy,AR,0.2179794598630137
T05131,Sebastian,AR,0.2086473398630137
T05133,Sevier,AR,0.21358749986301367
T05135,Sharp,AR,0.21804873486301368
T05137,Stone,AR,0.2179794598630137
T05139,Union,AR,0.21680980986301368
T05141,Van Buren,AR,0.2179794598630137
T05143,Washington,AR,0.2086473398630137
T05145,White,AR,0.21680980986301368
T05147,Woodruff,AR,0.21755362986301358
T05149,Yell,AR,0.2133079398630137
T06001,Alameda,CA,0.3243670048630136
T06003,Alpine,CA,0.2945380948630137
T06005,Amador,CA,0.3427558298630137
T06007,Butte,CA,0.3202928598630137
T06009,Calaveras,CA,0.3427558298630137
T06011,Colusa,CA,0.3427558298630137
T06013,Contra Costa,CA,0.3427558298630137
T06015,Del Norte,CA,0.2181409098630137
T06017,El Dorado,CA,0.2945380948630137
T06019,Fresno,CA,0.3156072098630137
T06021,Glenn,CA,0.3427558298630137
T06023,Humboldt,CA,0.3427558298630137
T06025,Imperial,CA,0.2600637098630137
T06027,Inyo,CA,0.2884585898630137
T06029,Kern,CA,0.3156072098630137
T06031,Kings,CA,0.3156072098630137
T06033,Lake,CA,0.3427558298630137
T06035,Lassen,CA,0.2847489198630137
T06037,Los Angeles,CA,0.2765512298630137
T06039,Madera,CA,0.3156072098630137
T06041,Marin,CA,0.3427558298630137
T06043,Mariposa,CA,0.3427558298630137
T06045,Mendocino,CA,0.2995463898630137
T06047,Merced,CA,0.2809748298630137
T06049,Modoc,CA,0.2181409098630137
T06051,Mono,CA,0.2544145798630137
T06053,Monterey,CA,0.3427558298630137
T06055,Napa,CA,0.3427558298630137
T06057,Nevada,CA,0.2719347198630136
T06059,Orange,CA,0.2884585898630137
T06061,Placer,CA,0.2615281898630137
T06063,Plumas,CA,0.2956857098630137
T06065,Riverside,CA,0.2884585898630137
T06067,Sacramento,CA,0.3009228348630137
T06069,San Benito,CA,0.3427558298630137
T06071,San Bernardino,CA,0.2680919398630137
T06073,San Diego,CA,0.3156072098630137
T06075,San Francisco,CA,0.3305389298630137
T06077,San Joaquin,CA,0.2999089248630137
T06079,San Luis Obispo,CA,0.3427558298630137
T06081,San Mateo,CA,0.3427558298630137
T06083,Santa Barbara,CA,0.2884585898630137
T06085,Santa Clara,CA,0.26995311986301374
T06087,Santa Cruz,CA,0.3427558298630137
T06089,Shasta,CA,0.2721561448630137
T06091,Sierra,CA,0.2956857098630137
T06093,Siskiyou,CA,0.2804483698630137
T06095,Solano,CA,0.3401099948630137
T06097,Sonoma,CA,0.31649189486301366
T06099,Stanislaus,CA,0.28625659986301366
T06101,Sutter,CA,0.3427558298630137
T06103,Tehama,CA,0.3427558298630137
T06105,Trinity,CA,0.2714237818630137
T06107,Tulare,CA,0.3156072098630137
T06109,Tuolumne,CA,0.2884585898630137
T06111,Ventura,CA,0.2884585898630137
T06113,Yolo,CA,0.3427558298630137
T06115,Yuba,CA,0.3427558298630137
T08001,Adams,CO,0.2377768348630136
T08003,Alamosa,CO,0.2490088448630137
T08005,Arapahoe,CO,0.2403622898630137
T08007,Archuleta,CO,0.24263077486301368
T08009,Baca,CO,0.2560824398630137
T08011,Bent,CO,0.2732392948630137
T08013,Boulder,CO,0.2298583598630137
T08014,Broomfield,CO,0.2387134598630136
T08015,Chaffee,CO,0.23684020986301368
T08017,Cheyenne,CO,0.2728509198630137
T08019,Clear Creek,CO,0.2288688848630136
T08021,Conejos,CO,0.2490088448630137
T08023,Costilla,CO,0.26610520986301367
T08025,Crowley,CO,0.2603833148630137
T08027,Custer,CO,0.2682040248630137
T08029,Delta,CO,0.2403213148630137
T08031,Denver,CO,0.22089755986301368
T08033,Dolores,CO,0.2613935098630137
T08035,Douglas,CO,0.23684020986301368
T08037,Eagle,CO,0.22296072986301368
T08039,Elbert,CO,0.23684020986301368
T08041,El Paso,CO,0.23684020986301368
T08043,Fremont,CO,0.26610520986301367
T08045,Garfield,CO,0.22192914486301368
T08047,Gilpin,CO,0.2298055098630136
T08049,Grand,CO,0.2375713698630137
T08051,Gunnison,CO,0.22296072986301368
T08053,Hinsdale,CO,0.2707420598630137
T08055,Huerfano,CO,0.2435013848630137
