eiaid,offpeak_tou_cost_per_kwh,cost_per_kwh,state,customers
84.0,0.045655,0.045655,VA,31309
97.0,0.0849999999999999,0.0849999999999999,IL,8603
162.0,0.0599999999999999,0.0599999999999999,SC,44525
195.0,0.0500333333333333,0.0500333333333333,AL,1268271
240.0,0.0552,0.0552,NC,11679
307.0,0.051,0.051,WI,1658
719.0,0.0555,0.0555,NC,16934
803.0,0.0612499999999999,0.0612499999999999,AZ,1080665
814.0,0.0540699999999999,0.0540699999999999,AR,591111
1015.0,0.0754166666666666,0.0754166666666666,TX,424554
1179.0,0.0587099999999999,0.0587099999999999,ME,124462
1181.0,0.066,0.066,WI,1305
1613.0,0.059,0.059,SC,85472
1708.0,0.0544099999999999,0.0544099999999999,KY,11848
1776.0,0.0789999999999999,0.0789999999999999,WI,2215
1886.0,0.05238,0.05238,KY,55117
2212.0,0.0738999999999999,0.0738999999999999,SC,19975
2273.0,0.0625999999999999,0.0625999999999999,WI,1493
2507.0,0.1318916666666667,0.1318916666666667,CA,46215
2651.0,0.0307499999999999,0.0307499999999999,OH,10953
2998.0,0.08846325,0.08846325,WY,4988
3208.0,0.0724,0.0724,WI,5343
3245.0,0.0789999999999999,0.0789999999999999,FL,30083
3250.0,0.062,0.062,NC,20299
3265.0,0.0783899999999999,0.0783899999999999,LA,244297
3266.0,0.0317259999999999,0.0317259999999999,ME,454387
3273.0,0.0871428571428571,0.0871428571428571,NM,16065
3293.0,0.0548,0.0548,WI,7309
3314.0,0.0629999999999999,0.0629999999999999,IA,4842
3502.0,0.05736,0.05736,FL,43945
3542.0,0.0188471333333332,0.0188471333333332,OH,298767
3687.0,0.06045,0.06045,KY,24597
3814.0,0.0533999999999999,0.0533999999999999,WI,2297
3916.0,0.0816999999999999,0.0816999999999999,GA,184095
3989.0,0.0694999999999999,0.0694999999999999,CO,192721
4071.0,0.0852399999999999,0.0852399999999999,NM,3511
4073.0,0.0656999999999999,0.0656999999999999,WI,2402
4147.0,0.0549999999999999,0.0549999999999999,MA,6918
4176.0,0.08377,0.08377,CT,824059
4226.0,0.01268,0.01268,NY,2211235
4247.0,0.0525,0.0525,WI,86
4254.0,0.12206,0.12206,MI,1594272
4265.0,0.0449999999999999,0.0449999999999999,NM,20906
4471.0,0.08185,0.08185,VA,5900
4607.0,0.0599999999999999,0.0599999999999999,WI,946
4622.0,0.0513799999999998,0.0513799999999998,KY,21975
4715.0,0.0896,0.0896,WI,10373
5027.0,0.012117,0.012117,DE,250373
5070.0,0.0844379999999999,0.0844379999999999,DE,85425
5078.0,0.0607049999999999,0.0607049999999999,TX,205450
5086.0,0.08,0.08,CO,29320
5202.0,0.0442000000000001,0.0442000000000001,LA,102193
5416.0,0.0522899999999999,0.0522899999999999,NC,1693953
5551.0,0.0479999999999999,0.0479999999999999,WI,971
5588.0,0.0709999999999999,0.0709999999999999,IA,7832
5598.0,0.0449999999999999,0.0449999999999999,OK,29692
5632.0,0.0649899999999999,0.0649899999999999,WI,10339
