state,county,p2_lvl_cost_per_kwh
AK,Aleutians East,0.2801808671410897
AK,Aleutians West,0.6400000000000001
AK,Anchorage,0.3337215724925214
AK,Bethel,0.5435209685321949
AK,Bristol Bay,0.1261892494191862
AK,Denali,0.2292028498838372
AK,Dillingham,0.5035209685321949
AK,Fairbanks North Star,0.4529522530306178
AK,Haines,0.7030545063795847
AK,Hoonah-Angoon,0.7030545063795847
AK,Juneau,0.0999273510938925
AK,Kenai Peninsula,0.3404046615953162
AK,Ketchikan Gateway,0.0985482368067544
AK,Kodiak Island,0.28704071146086163
AK,Kusilvak,0.4370419370643897
AK,Lake and Peninsula,0.9101694624709596
AK,Matanuska Susitna,0.1931125171169937
AK,Nome,0.5285209685321949
AK,North Slope,0.2464024278200325
AK,Northwest Arctic,0.3128446247095932
AK,Not Applicable,0.3232830986010573
AK,Petersburg,0.1093865618559781
AK,Prince of Wales-Hyder,0.1700626517922543
AK,Sitka,0.3232830986010573
AK,Skagway,0.5265272531897923
AK,Southeast Fairbanks,0.2292028498838372
AK,Valdez Cordova,0.2063389726952381
AK,Wrangell,0.1176575486715901
AK,Yakutat,0.4370419370643897
AK,Yukon Koyukuk,0.4370419370643897
AL,Autauga,0.11463
AL,Baldwin,0.1093515917719055
AL,Barbour,0.1361826700322559
AL,Bibb,0.11463
AL,Blount,0.10978721795040695
AL,Bullock,0.10978721795040695
AL,Butler,0.10978721795040695
AL,Calhoun,0.107524409208016
AL,Chambers,0.132477730020476
AL,Cherokee,0.1070547447045311
AL,Chilton,0.11463
AL,Choctaw,0.0896236561773983
AL,Clarke,0.0896236561773983
AL,Clay,0.1220883718718784
AL,Cleburne,0.1361826700322559
AL,Coffee,0.1058067099303023
AL,Colbert,0.1104491557490884
AL,Conecuh,0.1475132307009063
AL,Coosa,0.11463
AL,Covington,0.1318473123547965
AL,Crenshaw,0.1053445907921349
AL,Cullman,0.1167471541572029
AL,Dale,0.10978721795040695
AL,Dallas,0.10212682808869915
AL,DeKalb,0.10949393167644435
AL,Elmore,0.11463
AL,Escambia,0.10978721795040695
AL,Etowah,0.1079940737115009
AL,Fayette,0.10978721795040695
AL,Franklin,0.1135840013472298
AL,Geneva,0.10978721795040695
AL,Greene,0.0896236561773983
AL,Hale,0.0896236561773983
AL,Henry,0.10978721795040695
AL,Houston,0.10978721795040695
AL,Jackson,0.1095024305131933
AL,Jefferson,0.11654221133853375
AL,Lamar,0.10978721795040695
AL,Lauderdale,0.1082073123547965
AL,Lawrence,0.0794432826746252
AL,Lee,0.14171714620929698
AL,Limestone,0.1100720053876206
AL,Lowndes,0.11463
AL,Macon,0.1279583874128779
AL,Madison,0.10978721795040695
AL,Marengo,0.0896236561773983
AL,Marion,0.10978721795040695
AL,Marshall,0.1070547447045311
AL,Mobile,0.1830766095685644
AL,Monroe,0.10978721795040695
AL,Montgomery,0.10978721795040695
AL,Morgan,0.1105846626669436
AL,Perry,0.10212682808869915
AL,Pickens,0.0896236561773983
AL,Pike,0.10978721795040695
AL,Randolph,0.1361826700322559
AL,Russell,0.1361826700322559
AL,Shelby,0.1079940737115009
AL,St Clair,0.1079940737115009
AL,Sumter,0.0896236561773983
AL,Talladega,0.1079940737115009
AL,Tallapoosa,0.11463
AL,Tuscaloosa,0.0896236561773983
AL,Walker,0.10978721795040695
AL,Washington,0.13635013287298134
AL,Wilcox,0.0896236561773983
AL,Winston,0.10978721795040695
AR,Arkansas,0.1036213591654577
AR,Ashley,0.1036213591654577
AR,Baxter,0.1446806750847137
AR,Benton,0.09263372052906399
AR,Boone,0.0800188545030662
AR,Bradley,0.1033594930821448
AR,Calhoun,0.1033594930821448
AR,Carroll,0.0800188545030662
AR,Chicot,0.1036213591654577
AR,Clark,0.1863928269475978
AR,Clay,0.1279197226807912
AR,Cleburne,0.09184924762357435
AR,Cleveland,0.1036213591654577
AR,Columbia,0.1260080984782587
AR,Conway,0.09184924762357435
AR,Craighead,0.0933131186483575
AR,Crawford,0.0809642586018925
AR,Crittenden,0.085345884658066
AR,Cross,0.1305631177929075
AR,Dallas,0.1448761600148713
AR,Desha,0.1036213591654577
AR,Drew,0.1036213591654577
AR,Faulkner,0.09184924762357435
AR,Franklin,0.0809642586018925
AR,Fulton,0.1446806750847137
AR,Garland,0.1036213591654577
AR,Grant,0.1036213591654577
AR,Greene,0.0991668360153144
AR,Hempstead,0.1260080984782587
AR,Hot Spring,0.1863928269475978
AR,Howard,0.1361698475944019
AR,Independence,0.1036213591654577
AR,Izard,0.1446806750847137
AR,Jackson,0.1554197014721513
AR,Jefferson,0.1036213591654577
AR,Johnson,0.0846052433532974
AR,Lafayette,0.1260080984782587
AR,Lawrence,0.11899689686653558
AR,Lee,0.1305631177929075
AR,Lincoln,0.1036213591654577
AR,Little River,0.1260080984782587
AR,Logan,0.0809642586018925
AR,Lonoke,0.1036213591654577
AR,Madison,0.0800188545030662
AR,Marion,0.11237890558320235
AR,Miller,0.1260080984782587
AR,Mississippi,0.10232111838666114
AR,Monroe,0.1170922384791826
AR,Montgomery,0.16128133727099986
AR,Nevada,0.1117208639718807
AR,Newton,0.080077136081691
AR,Ouachita,0.1033594930821448
AR,Perry,0.1036213591654577
AR,Phillips,0.1305631177929075
AR,Pike,0.15620046271292826
AR,Poinsett,0.1243664100602544
AR,Polk,0.1310889730363303
AR,Pope,0.080077136081691
AR,Prairie,0.1170922384791826
AR,Pulaski,0.14607612189318503
AR,Randolph,0.0991668360153144
AR,Saline,0.0893981700933912
AR,Scott,0.0809642586018925
AR,Searcy,0.080077136081691
AR,Sebastian,0.0846052433532974
AR,Sevier,0.1310889730363303
AR,Sharp,0.1050205533822713
AR,St Francis,0.1305631177929075
AR,Stone,0.1036213591654577
AR,Union,0.1036213591654577
AR,Van Buren,0.080077136081691
AR,Washington,0.08049155655247936
AR,White,0.1295205303188045
AR,Woodruff,0.1305631177929075
AR,Yell,0.09229280888367511
AZ,Apache,0.1159679735918805
AZ,Cochise,0.1163962372967152
AZ,Coconino,0.1159679735918805
AZ,Gila,0.1159679735918805
AZ,Graham,0.10938734176109141
AZ,Greenlee,0.0895315060612355
AZ,La Paz,0.1237311132885081
AZ,Maricopa,0.11685424650316514
AZ,Mohave,0.1216675857375025
AZ,Navajo,0.1159679735918805
AZ,Pima,0.1267285966492353
AZ,Pinal,0.1267285966492353
AZ,Santa Cruz,0.14975994449964916
AZ,Yavapai,0.11881777966469151
AZ,Yuma,0.11521853203074135
CA,Alameda,0.3053959649535945
CA,Alpine,0.3053959649535945
CA,Amador,0.3053959649535945
CA,Butte,0.1869565764663128
CA,Calaveras,0.3053959649535945
CA,Colusa,0.3053959649535945
CA,Contra Costa,0.3053959649535945
CA,Del Norte,0.0901789683180685
CA,El Dorado,0.3053959649535945
CA,Fresno,0.30248549356695126
CA,Glenn,0.3053959649535945
CA,Humboldt,0.3053959649535945
CA,Imperial,0.299575022180308
CA,Inyo,0.20695089850303192
CA,Kern,0.30248549356695126
CA,Kings,0.30248549356695126
CA,Lake,0.3053959649535945
CA,Lassen,0.23730774265959942
CA,Los Angeles,0.18453774238257242
CA,Madera,0.30248549356695126
CA,Marin,0.3053959649535945
CA,Mariposa,0.3053959649535945
CA,Mendocino,0.3053959649535945
CA,Merced,0.2507119131667197
CA,Modoc,0.1977874666358315
CA,Mono,0.20695089850303192
CA,Monterey,0.3053959649535945
CA,Napa,0.3053959649535945
CA,Nevada,0.3053959649535945
CA,Orange,0.299575022180308
CA,Placer,0.1994837209292556
CA,Plumas,0.23730774265959942
CA,Riverside,0.2683215873723487
CA,Sacramento,0.2524398429414251
CA,San Benito,0.3053959649535945
CA,San Bernardino,0.299575022180308
CA,San Diego,0.30248549356695126
CA,San Francisco,0.2548083988521091
CA,San Joaquin,0.3053959649535945
CA,San Luis Obispo,0.3053959649535945
CA,San Mateo,0.3053959649535945
CA,Santa Barbara,0.30248549356695126
CA,Santa Clara,0.22004290765906515
CA,Santa Cruz,0.3053959649535945
CA,Shasta,0.2590638908318345
CA,Sierra,0.23730774265959942
CA,Siskiyou,0.1977874666358315
CA,Solano,0.3053959649535945
CA,Sonoma,0.2242355013244871
CA,Stanislaus,0.3053959649535945
CA,Sutter,0.3053959649535945
CA,Tehama,0.3053959649535945
CA,Trinity,0.17779798247679726
CA,Tulare,0.30248549356695126
CA,Tuolumne,0.299575022180308
CA,Ventura,0.299575022180308
CA,Yolo,0.3053959649535945
CA,Yuba,0.3053959649535945
CO,Adams,0.17766174902882495
CO,Alamosa,0.18872617905205752
CO,Arapahoe,0.17766174902882495
CO,Archuleta,0.17461805856715865
CO,Baca,0.19095856940340145
CO,Bent,0.1921796197278787
CO,Boulder,0.2041788537883167
CO,Broomfield,0.17341494665332685
CO,Chaffee,0.34705749670610697
CO,Cheyenne,0.09181223349496054
CO,Clear Creek,0.2496813895719202
CO,Conejos,0.18872617905205752
CO,Costilla,0.18872617905205752
CO,Crowley,0.2496813895719202
CO,Custer,0.34705749670610697
CO,Delta,0.0992940545312568
CO,Denver,0.2496813895719202
CO,Dolores,0.1365322372967151
CO,Douglas,0.2496813895719202
CO,Eagle,0.1844045132019922
CO,El Paso,0.17341494665332685
CO,Elbert,0.2496813895719202
CO,Fremont,0.34705749670610697
CO,Garfield,0.10529
CO,Gilpin,0.2496813895719202
CO,Grand,0.1501736525161381
CO,Gunnison,0.11245888780205429
CO,Hinsdale,0.12669734480252332
CO,Huerfano,0.2496813895719202
CO,Jackson,0.1501736525161381
CO,Jefferson,0.2496813895719202
CO,Kiowa,0.1048144398192015
CO,Kit Carson,0.1048144398192015
CO,La Plata,0.17461805856715865
CO,Lake,0.34705749670610697
CO,Larimer,0.1501736525161381
CO,Las Animas,0.17511601743272387
CO,Lincoln,0.1048144398192015
CO,Logan,0.1109820930619481
CO,Mesa,0.19310681343431765
CO,Mineral,0.1277709685321948
CO,Moffat,0.1122088184160321
CO,Montezuma,0.1819471408589774
CO,Montrose,0.1365322372967151
CO,Morgan,0.1056421084857297
CO,Otero,0.17312244757159745
CO,Ouray,0.1365322372967151
CO,Park,0.2496813895719202
CO,Phillips,0.0961135505729335
CO,Pitkin,0.2212284396542903
CO,Prowers,0.1373483934169708
CO,Pueblo,0.2496813895719202
CO,Rio Blanco,0.1122088184160321
CO,Rio Grande,0.1277709685321948
CO,Routt,0.13465064467410115
CO,Saguache,0.1277709685321948
CO,San Juan,0.11804348242955609
CO,San Miguel,0.1365322372967151
CO,Sedgwick,0.1860748488636046
CO,Summit,0.19992752104402917
CO,Teller,0.17341494665332685
CO,Washington,0.1568558693517545
CO,Weld,0.1056421084857297
CO,Yuma,0.1305550315290967
CT,Fairfield,0.23629578627895295
CT,Hartford,0.2362482030995521
CT,Litchfield,0.2362482030995521
CT,Middlesex,0.2362482030995521
CT,New Haven,0.21939973529049
CT,New London,0.1703432830120655
CT,Tolland,0.2362482030995521
CT,Windham,0.2362482030995521
DC,District of Columbia,0.0533114978454716
DE,Kent,0.1871043446965461
DE,New Castle,0.2184519850217993
DE,Sussex,0.1446149303433664
FL,Alachua,0.12628568225108794
FL,Baker,0.1210710449171319
FL,Bay,0.12421749529434135
FL,Bradford,0.11031976820673836
FL,Brevard,0.12853450396575
FL,Broward,0.12853450396575
FL,Calhoun,0.1289874704148785
FL,Charlotte,0.12853450396575
FL,Citrus,0.1310487323237022
FL,Clay,0.12853450396575
FL,Collier,0.12853450396575
FL,Columbia,0.12628568225108794
FL,DeSoto,0.13607690816027324
FL,Dixie,0.1240368605364259
FL,Duval,0.1181739294654506
FL,Escambia,0.1144431896487011
FL,Flagler,0.12628568225108794
FL,Franklin,0.1240368605364259
FL,Gadsden,0.1090618280886991
FL,Gilchrist,0.1272523227624048
FL,Glades,0.1160582892486581
FL,Gulf,0.1240368605364259
FL,Hamilton,0.1240368605364259
FL,Hardee,0.13607690816027324
FL,Hendry,0.1160582892486581
FL,Hernando,0.1310487323237022
FL,Highlands,0.12628568225108794
FL,Hillsborough,0.1436193123547965
FL,Holmes,0.1195262953433374
FL,Indian River,0.13607690816027324
FL,Jackson,0.1243981300522568
FL,Jefferson,0.1094743014572275
FL,Lafayette,0.1272523227624048
FL,Lake,0.08605458320083856
FL,Lee,0.12853450396575
FL,Leon,0.1246531615036926
FL,Levy,0.1272523227624048
FL,Liberty,0.12712846644291892
FL,Madison,0.1094743014572275
FL,Manatee,0.13607690816027324
FL,Marion,0.1304677849883837
FL,Martin,0.12853450396575
FL,Miami Dade,0.12332572131068789
FL,Monroe,0.1747198789418698
FL,Nassau,0.12853450396575
FL,Okaloosa,0.1243981300522568
FL,Okeechobee,0.12229639660720405
FL,Orange,0.12628568225108794
FL,Osceola,0.12853450396575
FL,Palm Beach,0.12970894004181244
FL,Pasco,0.1380606041109785
FL,Pinellas,0.17050771905762874
FL,Polk,0.1240368605364259
FL,Putnam,0.12853450396575
FL,Santa Rosa,0.1144431896487011
FL,Sarasota,0.13607690816027324
FL,Seminole,0.12628568225108794
FL,St Johns,0.1181739294654506
FL,St Lucie,0.15034210753899951
FL,Sumter,0.11481383249672285
FL,Suwannee,0.12628568225108794
FL,Taylor,0.1094743014572275
FL,Union,0.12853450396575
FL,Volusia,0.1240368605364259
FL,Wakulla,0.1246531615036926
FL,Walton,0.1243981300522568
FL,Washington,0.1195262953433374
GA,Appling,0.1125728174361105
GA,Atkinson,0.1125728174361105
GA,Bacon,0.1125728174361105
GA,Baker,0.1125728174361105
GA,Baldwin,0.1318091404434957
GA,Banks,0.0966218072734826
GA,Barrow,0.1125728174361105
GA,Bartow,0.1258192081742207
GA,Ben Hill,0.12463372107285181
GA,Berrien,0.0731890901288696
GA,Bibb,0.14340475149367216
GA,Bleckley,0.10788292629690266
GA,Brantley,0.1136075858685138
GA,Brooks,0.0747396746250588
GA,Bryan,0.09879479613093314
GA,Bulloch,0.0905665197669276
GA,Burke,0.09872695841850834
GA,Butts,0.1417780175492755
GA,Calhoun,0.1525251622386338
GA,Camden,0.1136075858685138
GA,Candler,0.1110812048489884
GA,Carroll,0.1078221854101016
GA,Catoosa,0.1125728174361105
GA,Charlton,0.09272393682579065
GA,Chatham,0.0865083874128779
GA,Chattahoochee,0.1455251622386338
GA,Chattooga,0.1125728174361105
GA,Cherokee,0.1296472346634464
GA,Clarke,0.1125728174361105
GA,Clay,0.13254898983737215
GA,Clayton,0.13100847292838794
GA,Clinch,0.0718402877830675
GA,Cobb,0.121991181684995
GA,Coffee,0.1401034928401464
GA,Colquitt,0.10576813994377479
GA,Columbia,0.1068873970700891
GA,Cook,0.10705601784074925
GA,Coweta,0.1402978505241049
GA,Crawford,0.13125730701735816
GA,Crisp,0.0676602988285366
GA,Dade,0.1125728174361105
GA,Dawson,0.1296472346634464
GA,DeKalb,0.1125728174361105
GA,Decatur,0.10849908110705164
GA,Dodge,0.1091634124257317
GA,Dooly,0.09659273053358519
GA,Dougherty,0.14358760699883144
GA,Douglas,0.1125728174361105
GA,Early,0.1125728174361105
GA,Echols,0.0731890901288696
GA,Effingham,0.100823862307958
GA,Elbert,0.1164878707495673
GA,Emanuel,0.1067532773278594
GA,Evans,0.09879479613093314
GA,Fannin,0.1296472346634464
GA,Fayette,0.1385251622386338
GA,Floyd,0.1078221854101016
GA,Forsyth,0.1296472346634464
GA,Franklin,0.0966218072734826
GA,Fulton,0.1385251622386338
GA,Gilmer,0.13156096678692591
GA,Glascock,0.1067532773278594
GA,Glynn,0.1136075858685138
GA,Gordon,0.1357801514060959
GA,Grady,0.1285147827017536
GA,Greene,0.1125728174361105
GA,Gwinnett,0.09655984819968855
GA,Habersham,0.1125728174361105
GA,Hall,0.1153096774435354
GA,Hancock,0.1066191575856297
GA,Haralson,0.1078221854101016
GA,Harris,0.1525251622386338
GA,Hart,0.0966218072734826
GA,Heard,0.1385251622386338
GA,Henry,0.09164589180907105
GA,Houston,0.1255251622386338
GA,Irwin,0.1125728174361105
GA,Jackson,0.1018994624709593
GA,Jasper,0.14170428926769324
GA,Jeff Davis,0.1125728174361105
GA,Jefferson,0.1067532773278594
GA,Jenkins,0.1068873970700891
GA,Johnson,0.1068873970700891
GA,Jones,0.1550003625438486
GA,Lamar,0.11498148529653254
GA,Lanier,0.0731890901288696
GA,Laurens,0.1091634124257317
GA,Lee,0.14358760699883144
GA,Liberty,0.0865083874128779
GA,Lincoln,0.1125728174361105
GA,Long,0.0865083874128779
GA,Lowndes,0.0731890901288696
GA,Lumpkin,0.1296472346634464
GA,Macon,0.1255251622386338
GA,Madison,0.0966218072734826
GA,Marion,0.1455251622386338
GA,McDuffie,0.1068873970700891
GA,McIntosh,0.1125728174361105
GA,Meriwether,0.13479594776645726
GA,Miller,0.1125728174361105
GA,Mitchell,0.1125728174361105
GA,Monroe,0.1125728174361105
GA,Montgomery,0.12260745117773045
GA,Morgan,0.1550003625438486
GA,Murray,0.1296472346634464
GA,Muscogee,0.1525251622386338
GA,Newton,0.4126750212564411
GA,Oconee,0.1125728174361105
GA,Oglethorpe,0.1125728174361105
GA,Paulding,0.1078221854101016
GA,Peach,0.1531967362950228
GA,Pickens,0.1296472346634464
GA,Pierce,0.1125728174361105
GA,Pike,0.09804818828903294
GA,Polk,0.1078221854101016
GA,Pulaski,0.1047409371944717
GA,Putnam,0.1550003625438486
GA,Quitman,0.1490251622386338
GA,Rabun,0.0930939404134152
GA,Randolph,0.1490251622386338
GA,Richmond,0.0917670816702792
GA,Rockdale,0.1125728174361105
GA,Schley,0.13829594776645726
GA,Screven,0.09116680071860339
GA,Seminole,0.1125728174361105
GA,Spalding,0.11265183053850308
GA,Stephens,0.0966218072734826
GA,Stewart,0.1490251622386338
GA,Sumter,0.1455251622386338
GA,Talbot,0.1093178777396935
GA,Taliaferro,0.1125728174361105
GA,Tattnall,0.1110812048489884
GA,Taylor,0.1093178777396935
GA,Telfair,0.09656006228802065
GA,Terrell,0.1490251622386338
GA,Thomas,0.10152633758821264
GA,Tift,0.10705601784074925
GA,Toombs,0.11127993867130356
GA,Towns,0.1334746989104054
GA,Treutlen,0.1360514899297292
GA,Troup,0.1438705301828757
GA,Turner,0.09659273053358519
GA,Twiggs,0.14340475149367216
GA,Union,0.1334746989104054
GA,Upson,0.1093178777396935
GA,Walker,0.11773559005769216
GA,Walton,0.1125728174361105
GA,Ware,0.09272393682579065
GA,Warren,0.1067532773278594
GA,Washington,0.1067532773278594
GA,Wayne,0.1136075858685138
GA,Webster,0.1455251622386338
GA,Wheeler,0.1091634124257317
GA,White,0.1125728174361105
GA,Whitfield,0.1486485037347334
GA,Wilcox,0.09659273053358519
GA,Wilkes,0.1580867259739174
GA,Wilkinson,0.1318091404434957
GA,Worth,0.0745378924746717
HI,Hawaii,
HI,Honolulu,
HI,Kalawao,
HI,Kauai,
HI,Maui,
IA,Adair,0.08918888758652754
IA,Adams,0.0910695577387155
IA,Allamakee,0.1104742000500387
IA,Appanoose,0.0944970846242594
IA,Audubon,0.0716191486420482
IA,Benton,0.0944970846242594
IA,Black Hawk,0.0843878143328392
IA,Boone,0.0897645641072678
IA,Bremer,0.08918888758652754
IA,Buchanan,0.08918888758652754
IA,Buena Vista,0.0838806905487957
IA,Butler,0.0849817423780291
IA,Calhoun,0.1015966354553809
IA,Carroll,0.0883140014517961
IA,Cass,0.07774991959542195
IA,Cedar,0.11894640341042186
IA,Cerro Gordo,0.09371699462046115
IA,Cherokee,0.0838806905487957
IA,Chickasaw,0.09568411228889714
IA,Clarke,0.0944970846242594
IA,Clay,0.08685308926207405
IA,Clayton,0.0925517466711573
IA,Clinton,0.0999153480548907
IA,Crawford,0.0838806905487957
IA,Dallas,0.08918888758652754
IA,Davis,0.14652722264807266
IA,Decatur,0.09157974716111811
IA,Delaware,0.0974171660418012
IA,Des Moines,0.105333611485522
IA,Dickinson,0.0944970846242594
IA,Dubuque,0.11111478328192735
IA,Emmet,0.09017612526798785
IA,Fayette,0.0944970846242594
IA,Floyd,0.0944970846242594
IA,Franklin,0.09371699462046115
IA,Fremont,0.1368227549723747
IA,Greene,0.0944970846242594
IA,Grundy,0.0960328351982902
IA,Guthrie,0.0798778498838372
IA,Hamilton,0.10227935594507276
IA,Hancock,0.09947489335146084
IA,Hardin,0.09371699462046115
IA,Harrison,0.0838806905487957
IA,Henry,0.14840125530313106
IA,Howard,0.1139421599491679
IA,Humboldt,0.102
IA,Ida,0.0825396791793521
IA,Iowa,0.1229506673199477
IA,Jackson,0.0999153480548907
IA,Jasper,0.08918888758652754
IA,Jefferson,0.14652722264807266
IA,Johnson,0.0999153480548907
IA,Jones,0.11653304671255865
IA,Keokuk,0.14652722264807266
IA,Kossuth,0.090964477776552
IA,Lee,0.1722646354337421
IA,Linn,0.0999153480548907
IA,Louisa,0.105333611485522
IA,Lucas,0.0944970846242594
IA,Lyon,0.0838806905487957
IA,Madison,0.06752507650987749
IA,Mahaska,0.0944970846242594
IA,Marion,0.0944970846242594
IA,Marshall,0.1495927206126328
IA,Mills,0.1368227549723747
IA,Mitchell,0.10629341130805575
IA,Monona,0.0838806905487957
IA,Monroe,0.08918888758652754
IA,Montgomery,0.08997647790663696
IA,Muscatine,0.0999153480548907
IA,O'Brien,0.09570436792908235
IA,Osceola,0.0858551659117163
IA,Page,0.117
IA,Palo Alto,0.0838806905487957
IA,Plymouth,0.0838806905487957
IA,Pocahontas,0.0944970846242594
IA,Polk,0.0944970846242594
IA,Pottawattamie,0.1014083445268961
IA,Poweshiek,0.09865189727728085
IA,Ringgold,0.10574854231212971
IA,Sac,0.0825396791793521
IA,Scott,0.09987983287178814
IA,Shelby,0.0948791766869575
IA,Sioux,0.09601061345214815
IA,Story,0.1059519525232403
IA,Tama,0.0944970846242594
IA,Taylor,0.0944970846242594
IA,Union,0.0944970846242594
IA,Van Buren,0.128174494918686
IA,Wapello,0.14652722264807266
IA,Warren,0.0985200218489859
IA,Washington,0.105333611485522
IA,Wayne,0.09157974716111811
IA,Webster,0.0944970846242594
IA,Winnebago,0.10685285467768725
IA,Winneshiek,0.1104742000500387
IA,Woodbury,0.0900174627270664
IA,Worth,0.1139421599491679
IA,Wright,0.09371699462046115
ID,Ada,0.047932
ID,Adams,0.047932
ID,Bannock,0.06905548415903426
ID,Bear Lake,0.0901789683180685
ID,Benewah,0.0718977526633095
ID,Bingham,0.06905548415903426
ID,Blaine,0.0551624096979768
ID,Boise,0.047932
ID,Bonner,0.11613687508765165
ID,Bonneville,0.09840093043085295
ID,Boundary,0.1101624259630913
ID,Butte,0.075842221516751
ID,Camas,0.047932
ID,Canyon,0.047932
