State,County,p3_lvl_cost_per_kwh
AK,Aleutians East,0.2673079473704302
AK,Aleutians West,0.09563717492579987
AK,Anchorage,0.2642390554033384
AK,Bethel,0.4467706152180667
AK,Bristol Bay,0.10447031083583816
AK,Denali,0.29036933000109955
AK,Dillingham,0.4846360688639069
AK,Fairbanks North Star,0.48217805942778985
AK,Haines,0.6556094169476193
AK,Juneau,0.09727994464201473
AK,Kenai Peninsula,0.2642390554033384
AK,Ketchikan Gateway,0.09000316141670459
AK,Kodiak Island,0.31643335732647326
AK,Lake and Peninsula,0.3807956944747917
AK,Matanuska Susitna,0.173620902010606
AK,Nome,0.4846360688639069
AK,North Slope,0.16099650611512903
AK,Northwest Arctic,0.3339268232864331
AK,Prince of Wales Ketchikan,0.14983363591689572
AK,Sitka,0.09563717492579987
AK,Skagway Hoonah Angoon,0.5028047084738094
AK,Southeast Fairbanks,0.29036933000109955
AK,Valdez Cordova,0.1995981578494112
AK,Wade Hampton,0.4846360688639069
AK,Wrangell Petersburg,0.11471852175432593
AK,Yakutat,0.4846360688639069
AK,Yukon Koyukuk,0.4846360688639069
AL,Autauga,0.10636867704827666
AL,Baldwin,0.13284880711419045
AL,Barbour,0.12187606093177362
AL,Bibb,0.12630699999999986
AL,Blount,0.09563717492579987
AL,Bullock,0.09563717492579987
AL,Butler,0.08643035409655346
AL,Calhoun,0.2546452303613805
AL,Chambers,0.1331470929103778
AL,Cherokee,0.2546452303613805
AL,Chilton,0.12630699999999986
AL,Choctaw,0.08627343187176836
AL,Clarke,0.08627343187176836
AL,Clay,0.12187606093177362
AL,Cleburne,0.12187606093177362
AL,Coffee,0.11737870646751927
AL,Colbert,0.1771440921018319
AL,Conecuh,0.1002460017032889
AL,Coosa,0.12630699999999986
AL,Covington,0.12434427012792623
AL,Crenshaw,0.08643035409655346
AL,Cullman,0.19098470862952666
AL,Dale,0.09563717492579987
AL,Dallas,0.08643035409655346
AL,DeKalb,0.17991380266285295
AL,Elmore,0.12630699999999986
AL,Escambia,0.09563717492579987
AL,Etowah,0.2236230257971531
AL,Fayette,0.09563717492579987
AL,Franklin,0.15926716761876913
AL,Geneva,0.09563717492579987
AL,Greene,0.08627343187176836
AL,Hale,0.08627343187176836
AL,Henry,0.09563717492579987
AL,Houston,0.09563717492579987
AL,Jackson,0.17382259786694812
AL,Jefferson,0.1937673563951877
AL,Lamar,0.09563717492579987
AL,Lauderdale,0.18452528959798928
AL,Lawrence,0.04968807448915717
AL,Lee,0.09828043534542011
AL,Limestone,0.17977488816221826
AL,Lowndes,0.10636867704827666
AL,Macon,0.09563717492579987
AL,Madison,0.19595225183935733
AL,Marengo,0.08627343187176836
AL,Marion,0.09563717492579987
AL,Marshall,0.19098470862952666
AL,Mobile,0.15981819969634134
AL,Monroe,0.08643035409655346
AL,Montgomery,0.09563717492579987
AL,Morgan,0.10747885444952492
AL,Perry,0.10629021593588411
AL,Pickens,0.08627343187176836
AL,Pike,0.09563717492579987
AL,Randolph,0.12187606093177362
AL,Russell,0.12187606093177362
AL,Shelby,0.09563717492579987
AL,St Clair,0.09563717492579987
AL,Sumter,0.08627343187176836
AL,Talladega,0.11195866554179183
AL,Tallapoosa,0.12409153046588675
AL,Tuscaloosa,0.08627343187176836
AL,Walker,0.09563717492579987
AL,Washington,0.12304581578405485
AL,Wilcox,0.0863518929841609
AL,Winston,0.09563717492579987
AR,Arkansas,0.09729013416256793
AR,Ashley,0.09563717492579987
AR,Baxter,0.061728868743735225
AR,Benton,0.0695713598182873
AR,Boone,0.09563717492579987
AR,Bradley,0.0946123948938479
AR,Calhoun,0.09193465562512787
AR,Carroll,0.09563717492579987
AR,Chicot,0.09563717492579987
AR,Clark,0.0862969324132028
AR,Clay,0.10857643343326356
AR,Cleburne,0.07167705503206359
AR,Cleveland,0.09729013416256793
AR,Columbia,0.10127003403320467
AR,Conway,0.07167705503206359
AR,Craighead,0.07738898647172054
AR,Crawford,0.0850937934251823
AR,Crittenden,0.07722505186861792
AR,Cross,0.10606985790757396
AR,Dallas,0.09193465562512787
AR,Desha,0.09729013416256793
AR,Drew,0.09729013416256793
AR,Faulkner,0.07167705503206359
AR,Franklin,0.0850937934251823
AR,Fulton,0.061728868743735225
AR,Garland,0.09563717492579987
AR,Grant,0.09729013416256793
AR,Greene,0.08963518202098605
AR,Hempstead,0.09378348322320373
AR,Hot Spring,0.0862969324132028
AR,Howard,0.10127003403320467
AR,Independence,0.10543260211899161
AR,Izard,0.061728868743735225
AR,Jackson,0.1213528998417116
AR,Jefferson,0.09729013416256793
AR,Johnson,0.08851336405206979
AR,Lafayette,0.10127003403320467
AR,Lawrence,0.07562058657000342
AR,Lee,0.10606985790757396
AR,Lincoln,0.09729013416256793
AR,Little River,0.10127003403320467
AR,Logan,0.0850937934251823
AR,Lonoke,0.09563717492579987
AR,Madison,0.07617613668629465
AR,Marion,0.06670296188789941
AR,Miller,0.10127003403320467
AR,Mississippi,0.07222491434402994
AR,Monroe,0.10606985790757396
AR,Montgomery,0.09612012594864763
AR,Nevada,0.09193465562512787
AR,Newton,0.08180499485551043
AR,Ouachita,0.09193465562512787
AR,Perry,0.09563717492579987
AR,Phillips,0.10606985790757396
AR,Pike,0.0862969324132028
AR,Poinsett,0.10543260211899161
AR,Polk,0.10360667675864857
AR,Pope,0.08180499485551043
AR,Prairie,0.10606985790757396
AR,Pulaski,0.16040797511240834
AR,Randolph,0.08963518202098605
AR,Saline,0.07129815048419705
AR,Scott,0.09193293467895727
AR,Searcy,0.07167705503206359
AR,Sebastian,0.08851336405206979
AR,Sevier,0.10360667675864857
AR,Sharp,0.08951230439627161
AR,St Francis,0.10606985790757396
AR,Stone,0.06670296188789941
AR,Union,0.09563717492579987
AR,Van Buren,0.07167705503206359
AR,Washington,0.0850937934251823
AR,White,0.1213528998417116
AR,Woodruff,0.10606985790757396
AR,Yell,0.09193293467895727
AZ,Apache,0.113538305282299
AZ,Cochise,0.1164481442242461
AZ,Coconino,0.08823995734536003
AZ,Gila,0.10907607207920304
AZ,Graham,0.1241016796559494
AZ,Greenlee,0.09230506712318534
AZ,La Paz,0.001683277173333065
AZ,Maricopa,0.10336867147021854
AZ,Mohave,0.10026808839874463
AZ,Navajo,0.113538305282299
AZ,Pima,0.11330946512996275
AZ,Pinal,0.12523606620643818
AZ,Santa Cruz,0.12467335692509758
AZ,Yavapai,0.08058003202628042
AZ,Yuma,0.1033420327734133
CA,Alameda,0.001683277173333065
CA,Alpine,0.09563717492579987
CA,Amador,0.09563717492579987
CA,Butte,0.17218853070347512
CA,Calaveras,0.001683277173333065
CA,Colusa,0.001683277173333065
CA,Contra Costa,0.001683277173333065
CA,Del Norte,0.02364845677577161
CA,El Dorado,0.09563717492579987
CA,Fresno,0.001683277173333065
CA,Glenn,0.001683277173333065
CA,Humboldt,0.09563717492579987
CA,Imperial,0.001683277173333065
CA,Inyo,0.10916498922700753
CA,Kern,0.09563717492579987
CA,Kings,0.09563717492579987
CA,Lake,0.09563717492579987
CA,Lassen,0.11163293298015996
CA,Los Angeles,0.14542750896727466
CA,Madera,0.001683277173333065
CA,Marin,0.09563717492579987
CA,Mariposa,0.09563717492579987
CA,Mendocino,0.09563717492579987
CA,Merced,0.0791201584162098
CA,Modoc,0.012665866974552336
CA,Mono,0.10916498922700753
CA,Monterey,0.09563717492579987
CA,Napa,0.09563717492579987
CA,Nevada,0.09563717492579987
CA,Orange,0.09563717492579987
CA,Placer,0.001683277173333065
CA,Plumas,0.22158258878698686
CA,Riverside,0.2258907059242185
CA,Sacramento,0.001683277173333065
CA,San Benito,0.09563717492579987
CA,San Bernardino,0.219067832691468
CA,San Diego,0.09563717492579987
CA,San Francisco,0.09563717492579987
CA,San Joaquin,0.001683277173333065
CA,San Luis Obispo,0.09563717492579987
CA,San Mateo,0.09563717492579987
CA,Santa Barbara,0.09563717492579987
CA,Santa Clara,0.060302516607647974
CA,Santa Cruz,0.09563717492579987
CA,Shasta,0.02364845677577161
CA,Sierra,0.22158258878698686
CA,Siskiyou,0.012665866974552336
CA,Solano,0.09563717492579987
CA,Sonoma,0.13782089579001805
CA,Stanislaus,0.09563717492579987
CA,Sutter,0.001683277173333065
CA,Tehama,0.001683277173333065
CA,Trinity,0.03290135730583112
CA,Tulare,0.09563717492579987
CA,Tuolumne,0.001683277173333065
CA,Ventura,0.09563717492579987
CA,Yolo,0.09563717492579987
CA,Yuba,0.001683277173333065
CO,Adams,0.1094871304897676
CO,Alamosa,0.12270449274722962
CO,Arapahoe,0.1094871304897676
CO,Archuleta,0.13105063278957735
CO,Baca,0.12470736842607726
CO,Bent,0.17423363591689592
CO,Boulder,0.08943859688024616
CO,Broomfield,0.001683277173333065
CO,Chaffee,0.12321426954922905
CO,Cheyenne,0.07701088000688588
CO,Clear Creek,0.06244877336128106
CO,Conejos,0.12270449274722962
CO,Costilla,0.12270449274722962
CO,Crowley,0.12321426954922905
CO,Custer,0.12321426954922905
CO,Delta,0.09386896132530986
CO,Denver,0.12321426954922905
CO,Dolores,0.11848532988988893
CO,Douglas,0.12321426954922905
CO,Eagle,0.11706710262878675
CO,El Paso,0.09190338006685486
CO,Elbert,0.12321426954922905
CO,Fremont,0.12321426954922905
CO,Garfield,0.11706710262878675
CO,Gilpin,0.12321426954922905
CO,Grand,0.10868256350522136
CO,Gunnison,0.10594372378522357
CO,Hinsdale,0.12270449274722962
CO,Huerfano,0.12321426954922905
CO,Jackson,0.06320729221675633
CO,Jefferson,0.06244877336128106
CO,Kiowa,0.08370109325075148
CO,Kit Carson,0.08370109325075148
CO,La Plata,0.12321426954922905
CO,Lake,0.12321426954922905
CO,Larimer,0.08588359267271384
CO,Las Animas,0.12932500039789036
CO,Lincoln,0.04269218521204227
CO,Logan,0.09575999143030617
CO,Mesa,0.12014068608900791
CO,Mineral,0.12321426954922905
CO,Moffat,0.10517779635910963
CO,Montezuma,0.1137563902305488
CO,Montrose,0.10901730724544471
CO,Morgan,0.08722275567255056
CO,Otero,0.11976934530243769
CO,Ouray,0.10901730724544471
CO,Park,0.12321426954922905
CO,Phillips,0.08629376211509214
CO,Pitkin,0.12321426954922905
CO,Prowers,0.12321426954922905
CO,Pueblo,0.06244877336128106
CO,Rio Blanco,0.10517779635910963
CO,Rio Grande,0.1221947159452302
CO,Routt,0.09939118000149416
CO,Saguache,0.12059708037508027
CO,San Juan,0.13390880241123446
CO,San Miguel,0.11848532988988893
CO,Sedgwick,0.069940618820345
CO,Summit,0.12321426954922905
CO,Teller,0.10755882480804196
CO,Washington,0.09713547754536737
CO,Weld,0.09575999143030617
CO,Yuma,0.09851096366042858
CT,Fairfield,0.14498238140007355
CT,Hartford,0.09563717492579987
CT,Litchfield,0.09563717492579987
CT,Middlesex,0.09563717492579987
CT,New Haven,0.11967517475721781
CT,New London,0.1721552811742486
CT,Tolland,0.09563717492579987
CT,Windham,0.09563717492579987
DC,District of Columbia,0.039502696628557335
DE,Kent,0.1514312956233333
DE,New Castle,0.13068226826000118
DE,Sussex,0.14404298443877356
FL,Alachua,0.1374475255996735
FL,Baker,0.1429111335654926
FL,Bay,0.12467562321918167
FL,Bradford,0.1777561238722141
FL,Brevard,0.12885382368601317
FL,Broward,0.1777561238722141
FL,Calhoun,0.14646178532915305
FL,Charlotte,0.1777561238722141
FL,Citrus,0.12264419043125015
FL,Clay,0.1777561238722141
FL,Collier,0.1777561238722141
FL,Columbia,0.15121587354569788
FL,DeSoto,0.14796238737348752
FL,Dixie,0.12467562321918167
FL,Duval,0.1421331712611821
FL,Escambia,0.1357933937804245
FL,Flagler,0.15121587354569788
FL,Franklin,0.12467562321918167
FL,Gadsden,0.091225273312688
FL,Gilchrist,0.1310615744094276
FL,Glades,0.10947946717452248
FL,Gulf,0.15399858893804683
FL,Hamilton,0.12467562321918167
FL,Hardee,0.1214221370469713
FL,Hendry,0.10947946717452248
FL,Hernando,0.12264419043125015
FL,Highlands,0.1214221370469713
FL,Hillsborough,0.12467562321918167
FL,Holmes,0.1006982363634168
FL,Indian River,0.11816865087476093
FL,Jackson,0.10960201600139408
FL,Jefferson,0.1075131942473539
FL,Lafayette,0.1310615744094276
FL,Lake,0.12467562321918167
FL,Lee,0.1777561238722141
FL,Leon,0.12443781588282549
FL,Levy,0.12264419043125015
FL,Liberty,0.11690101227393168
FL,Madison,0.1075131942473539
FL,Manatee,0.14796238737348752
FL,Marion,0.12467562321918167
FL,Martin,0.1777561238722141
FL,Miami Dade,0.14710686781003615
FL,Monroe,0.15579800116864007
FL,Nassau,0.10960201600139408
FL,Okaloosa,0.1006982363634168
FL,Okeechobee,0.14361779552336829
FL,Orange,0.1475448140058331
FL,Osceola,0.13303202415284468
FL,Palm Beach,0.14876719882873238
FL,Pasco,0.12467562321918167
FL,Pinellas,0.13578166212210177
FL,Polk,0.11816865087476093
FL,Putnam,0.1777561238722141
FL,Santa Rosa,0.1357933937804245
FL,Sarasota,0.14796238737348752
FL,Seminole,0.15121587354569788
FL,St Johns,0.1421331712611821
FL,St Lucie,0.1609029719551624
FL,Sumter,0.12846908680243907
FL,Suwannee,0.15121587354569788
FL,Taylor,0.1075131942473539
FL,Union,0.1777561238722141
FL,Volusia,0.12467562321918167
FL,Wakulla,0.12443781588282549
FL,Walton,0.1420098955101644
FL,Washington,0.1420098955101644
GA,Appling,0.09563717492579987
GA,Atkinson,0.09563717492579987
GA,Bacon,0.09563717492579987
GA,Baker,0.09563717492579987
GA,Baldwin,0.11586302870704408
GA,Banks,0.09563717492579987
GA,Barrow,0.09563717492579987
GA,Bartow,0.0695716962352368
GA,Ben Hill,0.12026724973373393
GA,Berrien,0.07247705453156827
GA,Bibb,0.11586302870704408
GA,Bleckley,0.1020540610570437
GA,Brantley,0.1080661432587711
GA,Brooks,0.06783976703403567
GA,Bryan,0.11880157228494398
GA,Bulloch,0.10212335385277026
GA,Burke,0.08582735097831165
GA,Butts,0.10646675326533324
GA,Calhoun,0.09563717492579987
GA,Camden,0.1080661432587711
GA,Candler,0.10212335385277026
GA,Carroll,0.09563717492579987
GA,Catoosa,0.20679771576626527
GA,Charlton,0.09196981370863858
GA,Chatham,0.1354797907171177
GA,Chattahoochee,0.09091117808660593
GA,Chattooga,0.09563717492579987
GA,Cherokee,0.06765685745748737
GA,Clarke,0.09563717492579987
GA,Clay,0.09563717492579987
GA,Clayton,0.05980510739362393
GA,Clinch,0.07587348415850605
GA,Cobb,0.08703587166682661
GA,Coffee,0.0732240463488982
GA,Colquitt,0.11680986353764172
GA,Columbia,0.09262240000708348
GA,Cook,0.053547936344416264
GA,Coweta,0.08570179268571912
GA,Crawford,0.09563717492579987
GA,Crisp,0.09563717492579987
GA,Dade,0.20679771576626527
GA,Dawson,0.06765685745748737
GA,DeKalb,0.09563717492579987
