county_name,geoid,state_fips,county_fips,n_dcfc_stations,State
Ada,16001,16,001,4,ID
Adams,08001,08,001,4,CO
Adams,42001,42,001,1,PA
Adams,53001,53,001,2,WA
Addison,50001,50,001,1,VT
Alachua,12001,12,001,1,FL
Alamance,37001,37,001,2,NC
Alameda,06001,06,001,44,CA
Albany,36001,36,001,7,NY
Albany,56001,56,001,1,WY
Albemarle,51003,51,003,2,VA
Alexandria,51510,51,510,1,VA
Allegany,24001,24,001,1,MD
Allegheny,42003,42,003,13,PA
Allen,18003,18,003,2,IN
Allen,39003,39,003,2,OH
Anderson,45007,45,007,1,SC
Androscoggin,23001,23,001,1,ME
Anne Arundel,24003,24,003,7,MD
Anoka,27003,27,003,2,MN
Anson,37007,37,007,1,NC
Arapahoe,08005,08,005,6,CO
Arlington,51013,51,013,2,VA
Atlantic,34001,34,001,1,NJ
Baker,41001,41,001,2,OR
Baldwin,13009,13,009,1,GA
Baltimore,24005,24,005,7,MD
Baltimore,24510,24,510,18,MD
Banks,13011,13,011,1,GA
Bannock,16005,16,005,3,ID
Barnstable,25001,25,001,4,MA
Barrow,13013,13,013,1,GA
Bartow,13015,13,015,1,GA
Bay,26017,26,017,1,MI
Beaver,42007,42,007,1,PA
Beaver,49001,49,001,2,UT
Beaverhead,30001,30,001,2,MT
Beckham,40009,40,009,1,OK
Bedford,42009,42,009,2,PA
Bell,48027,48,027,1,TX
Bennington,50003,50,003,2,VT
Benton,05007,05,007,2,AR
Benton,53005,53,005,3,WA
Bergen,34003,34,003,12,NJ
Berkeley,45015,45,015,1,SC
Berkeley,54003,54,003,1,WV
Berkshire,25003,25,003,3,MA
Bernalillo,35001,35,001,4,NM
Berrien,26021,26,021,1,MI
Bexar,48029,48,029,3,TX
Bibb,13021,13,021,3,GA
Blair,42013,42,013,2,PA
Blount,47009,47,009,1,TN
Blue Earth,27013,27,013,1,MN
Bonneville,16019,16,019,3,ID
Boone,18011,18,011,1,IN
Boone,21015,21,015,2,KY
Boone,29019,29,019,1,MO
Botetourt,51023,51,023,1,VA
Boulder,08013,08,013,8,CO
Bowie,48037,48,037,1,TX
Box Elder,49003,49,003,1,UT
Brazoria,48039,48,039,2,TX
Brevard,12009,12,009,7,FL
Bristol,25005,25,005,5,MA
Bronx,36005,36,005,1,NY
Broome,36007,36,007,2,NY
Broomfield,08014,08,014,2,CO
Broward,12011,12,011,12,FL
Brown,55009,55,009,1,WI
Brunswick,37019,37,019,2,NC
Buchanan,29021,29,021,3,MO
Bucks,42017,42,017,1,PA
Buncombe,37021,37,021,6,NC
Burlington,34005,34,005,7,NJ
Butler,01013,01,013,1,AL
Butler,39017,39,017,3,OH
Butler,42019,42,019,2,PA
Butte,06007,06,007,5,CA
Cabarrus,37025,37,025,1,NC
Cabell,54011,54,011,1,WV
Caddo,22017,22,017,1,LA
Calcasieu,22019,22,019,2,LA
Caldwell,37027,37,027,1,NC
Caledonia,50005,50,005,1,VT
Calhoun,01015,01,015,1,AL
Calhoun,26025,26,025,1,MI
Camden,13039,13,039,1,GA
Camden,34007,34,007,3,NJ
Campbell,56005,56,005,1,WY
Canadian,40017,40,017,2,OK
Candler,13043,13,043,1,GA
Cape May,34009,34,009,1,NJ
Carbon,49007,49,007,1,UT
Carbon,56007,56,007,1,WY
Carroll,13045,13,045,2,GA
Carroll,24013,24,013,1,MD
Carson City,32510,32,510,1,NV
Carter,40019,40,019,2,OK
Carver,27019,27,019,1,MN
Catawba,37035,37,035,2,NC
Cattaraugus,36009,36,009,1,NY
Cecil,24015,24,015,4,MD
Centre,42027,42,027,2,PA
Chaffee,08015,08,015,2,CO
Champaign,17019,17,019,1,IL
Charles,24017,24,017,3,MD
Charleston,45019,45,019,3,SC
Charlotte,12015,12,015,3,FL
Charlottesville,51540,51,540,3,VA
Chatham,13051,13,051,7,GA
Chatham,37037,37,037,1,NC
Chautauqua,36013,36,013,2,NY
Chelan,53007,53,007,4,WA
Chemung,36015,36,015,2,NY
Cherokee,13057,13,057,1,GA
Chesapeake,51550,51,550,3,VA
Chester,42029,42,029,2,PA
Chesterfield,51041,51,041,7,VA
Cheyenne,31033,31,033,1,NE
Childress,48075,48,075,1,TX
Chittenden,50007,50,007,8,VT
Churchill,32001,32,001,1,NV
Cibola,35006,35,006,1,NM
Clackamas,41005,41,005,9,OR
Clallam,53009,53,009,3,WA
Clare,26035,26,035,1,MI
Clark,18019,18,019,1,IN
Clark,32003,32,003,23,NV
Clark,53011,53,011,7,WA
Clarke,13059,13,059,3,GA
Clatsop,41007,41,007,4,OR
Clay,27027,27,027,1,MN
Clay,29047,29,047,1,MO
Clayton,13063,13,063,1,GA
Clearfield,42033,42,033,2,PA
Clermont,39025,39,025,2,OH
Cleveland,40027,40,027,1,OK
Clinton,36019,36,019,1,NY
Cobb,13067,13,067,15,GA
Cochise,04003,04,003,2,AZ
Coconino,04005,04,005,5,AZ
Coffee,47031,47,031,2,TN
Colleton,45029,45,029,1,SC
Collier,12021,12,021,3,FL
Collin,48085,48,085,2,TX
Colonial Heights,51570,51,570,1,VA
Colorado,48089,48,089,2,TX
Columbia,12023,12,023,2,FL
Columbia,13073,13,073,1,GA
Columbia,41009,41,009,3,OR
Columbia,42037,42,037,2,PA
Colusa,06011,06,011,1,CA
Contra Costa,06013,06,013,21,CA
Cook,17031,17,031,43,IL
Cooper,29053,29,053,1,MO
Coos,33007,33,007,1,NH
Coos,41011,41,011,2,OR
Coweta,13077,13,077,1,GA
Cowlitz,53015,53,015,3,WA
Craig,40035,40,035,1,OK
Creek,40037,40,037,1,OK
Crisp,13081,13,081,1,GA
Crockett,48105,48,105,2,TX
Crow Wing,27035,27,035,1,MN
Culberson,48109,48,109,2,TX
Cumberland,23005,23,005,6,ME
Cumberland,37051,37,051,2,NC
Cumberland,42041,42,041,3,PA
Curry,41015,41,015,2,OR
Custer,40039,40,039,2,OK
Custer,46033,46,033,1,SD
Cuyahoga,39035,39,035,4,OH
Dakota,27037,27,037,1,MN
Dallas,19049,19,049,2,IA
Dallas,48113,48,113,13,TX
Dane,55025,55,025,12,WI
Dare,37055,37,055,1,NC
Dauphin,42043,42,043,2,PA
Davidson,47037,47,037,9,TN
Davis,49011,49,011,1,UT
Davison,46035,46,035,1,SD
Dawson,13085,13,085,1,GA
Dawson,31047,31,047,2,NE
DeKalb,13089,13,089,11,GA
DeSoto,28033,28,033,1,MS
Dearborn,18029,18,029,1,IN
Del Norte,06015,06,015,4,CA
Delaware,39041,39,041,1,OH
Delaware,42045,42,045,2,PA
Delta,08029,08,029,1,CO
Denton,48121,48,121,6,TX
Denver,08031,08,031,6,CO
Des Moines,19057,19,057,1,IA
Deschutes,41017,41,017,4,OR
Dickson,47043,47,043,1,TN
District of Columbia,11001,11,001,1,DC
Dorchester,24019,24,019,2,MD
Douglas,08035,08,035,5,CO
Douglas,13097,13,097,2,GA
Douglas,32005,32,005,3,NV
Douglas,41019,41,019,8,OR
Douglas,53017,53,017,1,WA
DuPage,17043,17,043,3,IL
Dubuque,19061,19,061,1,IA
Duplin,37061,37,061,2,NC
Durham,37063,37,063,4,NC
Dutchess,36027,36,027,2,NY
Duval,12031,12,031,13,FL
East Baton Rouge,22033,22,033,1,LA
Eastland,48133,48,133,2,TX
Eaton,26045,26,045,2,MI
Eau Claire,55035,55,035,2,WI
Effingham,17049,17,049,2,IL
El Dorado,06017,06,017,6,CA
El Paso,08041,08,041,8,CO
El Paso,48141,48,141,2,TX
Elko,32007,32,007,3,NV
Ellis,20051,20,051,2,KS
Ellis,48139,48,139,2,TX
Elmore,16039,16,039,1,ID
Emery,49015,49,015,1,UT
Emporia,51595,51,595,1,VA
Erie,36029,36,029,3,NY
Erie,39043,39,043,1,OH
Erie,42049,42,049,2,PA
Escambia,12033,12,033,1,FL
Essex,25009,25,009,5,MA
Essex,34013,34,013,5,NJ
Fairfax,51059,51,059,5,VA
Fairfield,09001,09,001,14,CT
Fayette,13113,13,113,1,GA
Fayette,21067,21,067,1,KY
Fayette,48149,48,149,1,TX
Florence,45041,45,041,2,SC
Floyd,13115,13,115,1,GA
Forsyth,13117,13,117,4,GA
Forsyth,37067,37,067,1,NC
Fort Bend,48157,48,157,5,TX
Franklin,19069,19,069,1,IA
Franklin,25011,25,011,1,MA
Franklin,29071,29,071,1,MO
Franklin,39049,39,049,25,OH
Franklin,53021,53,021,1,WA
Frederick,24021,24,021,2,MD
Frederick,51069,51,069,2,VA
Freeborn,27047,27,047,1,MN
Fresno,06019,06,019,12,CA
Fulton,13121,13,121,24,GA
Gallatin,30031,30,031,2,MT
Galveston,48167,48,167,2,TX
Garfield,08045,08,045,1,CO
Gaston,37071,37,071,3,NC
Geauga,39055,39,055,1,OH
Genesee,26049,26,049,1,MI
Gila,04007,04,007,1,AZ
Gilliam,41021,41,021,1,OR
Gilmer,13123,13,123,1,GA
Gloucester,34015,34,015,2,NJ
Glynn,13127,13,127,2,GA
Goodhue,27049,27,049,1,MN
Gordon,13129,13,129,1,GA
Grafton,33009,33,009,2,NH
Grand,49019,49,019,2,UT
Grand Traverse,26055,26,055,1,MI
Grays Harbor,53027,53,027,1,WA
Greene,29077,29,077,1,MO
Greene,36039,36,039,1,NY
Greenville,45045,45,045,8,SC
Grenada,28043,28,043,1,MS
Guadalupe,35019,35,019,1,NM
Guadalupe,48187,48,187,1,TX
Guernsey,39059,39,059,2,OH
Guilford,37081,37,081,4,NC
Gwinnett,13135,13,135,12,GA
Halifax,51083,51,083,1,VA
Hall,13139,13,139,3,GA
Hall,31079,31,079,2,NE
Hamilton,18057,18,057,8,IN
Hamilton,39061,39,061,12,OH
Hamilton,47065,47,065,8,TN
Hampden,25013,25,013,6,MA
Hampshire,25015,25,015,3,MA
Hampton,51650,51,650,1,VA
Hanover,51085,51,085,2,VA
Harford,24025,24,025,5,MD
Harris,13145,13,145,1,GA
Harris,48201,48,201,24,TX
Harrison,28047,28,047,1,MS
Harrison,29081,29,081,1,MO
Hartford,09003,09,003,11,CT
Hawaii,15001,15,001,6,HI
Hays,48209,48,209,2,TX
Haywood,37087,37,087,1,NC
Hempstead,05057,05,057,1,AR
Hendricks,18063,18,063,1,IN
Hennepin,27053,27,053,9,MN
Henrico,51087,51,087,5,VA
Henry,13151,13,151,1,GA
Henry,17073,17,073,1,IL
Herkimer,36043,36,043,1,NY
Hidalgo,48215,48,215,1,TX
Highlands,12055,12,055,1,FL
Hillsborough,12057,12,057,12,FL
Hillsborough,33011,33,011,1,NH
Honolulu,15003,15,003,13,HI
Hood River,41027,41,027,3,OR
Hopkins,48223,48,223,1,TX
Horry,45051,45,051,2,SC
Houston,13153,13,153,1,GA
Howard,24027,24,027,5,MD
Hudson,34017,34,017,4,NJ
Humboldt,06023,06,023,3,CA
Humboldt,32013,32,013,2,NV
Huron,26063,26,063,1,MI
Imperial,06025,06,025,1,CA
Indian River,12061,12,061,1,FL
Indiana,42063,42,063,1,PA
Ingham,26065,26,065,2,MI
Inyo,06027,06,027,1,CA
Iowa,19095,19,095,1,IA
Iredell,37097,37,097,1,NC
Iron,49021,49,021,1,UT
Jackson,26075,26,075,1,MI
Jackson,29095,29,095,9,MO
Jackson,41029,41,029,4,OR
James City,51095,51,095,1,VA
Jasper,45053,45,053,1,SC
Jefferson,01073,01,073,2,AL
Jefferson,08059,08,059,6,CO
Jefferson,17081,17,081,2,IL
Jefferson,21111,21,111,2,KY
Jefferson,29099,29,099,2,MO
Jefferson,36045,36,045,2,NY
Jefferson,41031,41,031,3,OR
Jefferson,47089,47,089,1,TN
Johnson,05071,05,071,1,AR
Johnson,19103,19,103,1,IA
Johnson,20091,20,091,9,KS
Johnson,48251,48,251,1,TX
Jones,46075,46,075,1,SD
Josephine,41033,41,033,5,OR
Juab,49023,49,023,1,UT
Juneau,02110,02,110,2,AK
Juneau,55057,55,057,1,WI
Kalamazoo,26077,26,077,2,MI
Kanawha,54039,54,039,1,WV
Kane,17089,17,089,2,IL
Kauai,15007,15,007,1,HI
Kay,40071,40,071,1,OK
Keith,31101,31,101,2,NE
Kendall,48259,48,259,1,TX
Kennebec,23011,23,011,2,ME
Kenosha,55059,55,059,1,WI
Kent,10001,10,001,4,DE
Kent,26081,26,081,5,MI
Kent,44003,44,003,4,RI
Kern,06029,06,029,11,CA
Kimble,48267,48,267,2,TX
King,53033,53,033,43,WA
Kings,06031,06,031,1,CA
Kings,36047,36,047,5,NY
Kit Carson,08063,08,063,1,CO
Kitsap,53035,53,035,2,WA
Kittitas,53037,53,037,7,WA
Klamath,41035,41,035,1,OR
Kleberg,48273,48,273,1,TX
Knox,47093,47,093,4,TN
Kootenai,16055,16,055,1,ID
La Crosse,55063,55,063,1,WI
La Paz,04012,04,012,1,AZ
LaSalle,17099,17,099,2,IL
Lackawanna,42069,42,069,1,PA
Laclede,29105,29,105,1,MO
Lake,12069,12,069,1,FL
Lake,17097,17,097,3,IL
Lake,18089,18,089,1,IN
Lake,39085,39,085,1,OH
Lamoille,50015,50,015,1,VT
Lancaster,31109,31,109,2,NE
Lancaster,42071,42,071,3,PA
Lander,32015,32,015,1,NV
Lane,41039,41,039,8,OR
Laramie,56021,56,021,1,WY
Larimer,08069,08,069,8,CO
Las Animas,08071,08,071,2,CO
Lauderdale,01077,01,077,1,AL
Lauderdale,28075,28,075,1,MS
Laurel,21125,21,125,1,KY
Laurens,13175,13,175,2,GA
Lawrence,29109,29,109,1,MO
Lawrence,46081,46,081,1,SD
Lee,01081,01,081,1,AL
Lee,12071,12,071,3,FL
Lee,28081,28,081,1,MS
Lee,37105,37,105,1,NC
Lehigh,42077,42,077,1,PA
Leon,12073,12,073,3,FL
Lewis,53041,53,041,2,WA
Lewis,54041,54,041,1,WV
Lexington,45063,45,063,4,SC
Lexington,51678,51,678,1,VA
Liberty,13179,13,179,1,GA
Limestone,01083,01,083,1,AL
Lincoln,08073,08,073,1,CO
Lincoln,31111,31,111,1,NE
Lincoln,32017,32,017,1,NV
Lincoln,41041,41,041,5,OR
Linn,41043,41,043,5,OR
Litchfield,09005,09,005,1,CT
Live Oak,48297,48,297,1,TX
Livingston,26093,26,093,2,MI
Logan,21141,21,141,1,KY
Logan,40083,40,083,1,OK
Lorain,39093,39,093,4,OH
Los Angeles,06037,06,037,133,CA
Loudon,47105,47,105,1,TN
Loudoun,51107,51,107,4,VA
Louisa,51109,51,109,1,VA
Lowndes,13185,13,185,1,GA
Lucas,39095,39,095,5,OH
Luna,35029,35,029,2,NM
Lyman,46085,46,085,1,SD
Lyon,21143,21,143,1,KY
Macomb,26099,26,099,2,MI
Madera,06039,06,039,3,CA
Madison,01089,01,089,1,AL
Madison,17119,17,119,4,IL
Madison,47113,47,113,3,TN
Madison,48313,48,313,1,TX
Mahoning,39099,39,099,1,OH
Manassas,51683,51,683,1,VA
Marathon,55073,55,073,1,WI
Maricopa,04013,04,013,37,AZ
Marin,06041,06,041,10,CA
Marion,12083,12,083,2,FL
Marion,18097,18,097,13,IN
Marion,41047,41,047,14,OR
Mariposa,06043,06,043,1,CA
Martin,27091,27,091,1,MN
Mason,26105,26,105,1,MI
Maui,15009,15,009,15,HI
Maury,47119,47,119,1,TN
McCracken,21145,21,145,1,KY
McDuffie,13189,13,189,1,GA
McKinley,35031,35,031,2,NM
McLean,17113,17,113,3,IL
McLennan,48309,48,309,2,TX
Mecklenburg,37119,37,119,17,NC
Mecklenburg,51117,51,117,1,VA
Mecosta,26107,26,107,1,MI
Medina,39103,39,103,2,OH
Mendocino,06045,06,045,3,CA
Merced,06047,06,047,5,CA
Mercer,34021,34,021,3,NJ
Mercer,42085,42,085,1,PA
Merrimack,33013,33,013,2,NH
Mesa,08077,08,077,4,CO
Miami-Dade,12086,12,086,22,FL
Middlesex,09007,09,007,2,CT
Middlesex,25017,25,017,12,MA
Middlesex,34023,34,023,16,NJ
Midland,48329,48,329,2,TX
Millard,49027,49,027,2,UT
Miller,29131,29,131,1,MO
Milwaukee,55079,55,079,5,WI
Mineral,30061,30,061,1,MT
Mineral,32021,32,021,2,NV
Minidoka,16067,16,067,1,ID
Minnehaha,46099,46,099,1,SD
Missoula,30063,30,063,2,MT
Mobile,01097,01,097,1,AL
Mohave,04015,04,015,1,AZ
Monmouth,34025,34,025,3,NJ
Mono,06051,06,051,1,CA
Monongalia,54061,54,061,3,WV
Monroe,12087,12,087,3,FL
Monroe,13207,13,207,1,GA
Monroe,36055,36,055,1,NY
Monroe,42089,42,089,1,PA
Monroe,55081,55,081,2,WI
Monterey,06053,06,053,14,CA
Montgomery,01101,01,101,1,AL
Montgomery,24031,24,031,16,MD
Montgomery,36057,36,057,1,NY
Montgomery,39113,39,113,2,OH
Montgomery,42091,42,091,5,PA
Montgomery,47125,47,125,3,TN
Montgomery,48339,48,339,5,TX
Montgomery,51121,51,121,2,VA
Mora,35033,35,033,1,NM
Morgan,01103,01,103,1,AL
Morgan,08087,08,087,2,CO
Morris,34027,34,027,5,NJ
Morrow,39117,39,117,1,OH
Multnomah,41051,41,051,13,OR
Muscogee,13215,13,215,2,GA
Muskegon,26121,26,121,1,MI
Nacogdoches,48347,48,347,1,TX
Napa,06055,06,055,5,CA
Nash,37127,37,127,2,NC
Nassau,36059,36,059,4,NY
Navajo,04017,04,017,1,AZ
Navarro,48349,48,349,1,TX
Nevada,06057,06,057,3,CA
New Castle,10003,10,003,6,DE
New Hanover,37129,37,129,1,NC
New Haven,09009,09,009,13,CT
New London,09011,09,011,2,CT
New York,36061,36,061,8,NY
Newport,44005,44,005,2,RI
Newport News,51700,51,700,1,VA
Newton,29145,29,145,1,MO
Niobrara,56027,56,027,1,WY
Noble,40103,40,103,1,OK
Nobles,27105,27,105,1,MN
Nolan,48353,48,353,2,TX
Norfolk,25021,25,021,8,MA
Norfolk,51710,51,710,5,VA
Nye,32023,32,023,4,NV
Oakland,26125,26,125,6,MI
Ocean,34029,34,029,1,NJ
Oconee,13219,13,219,1,GA
Ohio,54069,54,069,1,WV
