county_text,VEHCLASS,FC_kWhpm
T01001,Sedan,0.2982
T01003,Sedan,0.2982
T01005,Sedan,0.2982
T01007,Sedan,0.2982
T01009,Sedan,0.2982
T01011,Sedan,0.2982
T01013,Sedan,0.2982
T01015,Sedan,0.2982
T01017,Sedan,0.2982
T01019,Sedan,0.2982
T01021,Sedan,0.2982
T01023,Sedan,0.2982
T01025,Sedan,0.2982
T01027,Sedan,0.2982
T01029,Sedan,0.2982
T01031,Sedan,0.2982
T01033,Sedan,0.2982
T01035,Sedan,0.2982
T01037,Sedan,0.2982
T01039,Sedan,0.2982
T01041,Sedan,0.2982
T01043,Sedan,0.2982
T01045,Sedan,0.2982
T01047,Sedan,0.2982
T01049,Sedan,0.2982
T01051,Sedan,0.2982
T01053,Sedan,0.2982
T01055,Sedan,0.2982
T01057,Sedan,0.2982
T01059,Sedan,0.2982
T01061,Sedan,0.2982
T01063,Sedan,0.2982
T01065,Sedan,0.2982
T01067,Sedan,0.2982
T01069,Sedan,0.2982
T01071,Sedan,0.2982
T01073,Sedan,0.2982
T01075,Sedan,0.2982
T01077,Sedan,0.2982
T01079,Sedan,0.2982
T01081,Sedan,0.2982
T01083,Sedan,0.2982
T01085,Sedan,0.2982
T01087,Sedan,0.2982
T01089,Sedan,0.2982
T01091,Sedan,0.2982
T01093,Sedan,0.2982
T01095,Sedan,0.2982
T01097,Sedan,0.2982
T01099,Sedan,0.2982
T01101,Sedan,0.2982
T01103,Sedan,0.2982
T01105,Sedan,0.2982
T01107,Sedan,0.2982
T01109,Sedan,0.2982
T01111,Sedan,0.2982
T01113,Sedan,0.2982
T01115,Sedan,0.2982
T01117,Sedan,0.2982
T01119,Sedan,0.2982
T01121,Sedan,0.2982
T01123,Sedan,0.2982
T01125,Sedan,0.2982
T01127,Sedan,0.2982
T01129,Sedan,0.2982
T01131,Sedan,0.2982
T01133,Sedan,0.2982
T02013,Sedan,0.2982
T02016,Sedan,0.2982
T02020,Sedan,0.2982
T02050,Sedan,0.2982
T02060,Sedan,0.2982
T02068,Sedan,0.2982
T02070,Sedan,0.2982
T02090,Sedan,0.2982
T02100,Sedan,0.2982
T02105,Sedan,0.2982
T02110,Sedan,0.2982
T02122,Sedan,0.2982
T02130,Sedan,0.2982
T02150,Sedan,0.2982
T02158,Sedan,0.2982
T02164,Sedan,0.2982
T02170,Sedan,0.2982
T02180,Sedan,0.2982
T02185,Sedan,0.2982
T02188,Sedan,0.2982
T02195,Sedan,0.2982
T02198,Sedan,0.2982
T02220,Sedan,0.2982
T02230,Sedan,0.2982
T02240,Sedan,0.2982
T02261,Sedan,0.2982
T02275,Sedan,0.2982
T02282,Sedan,0.2982
T02290,Sedan,0.2982
T04001,Sedan,0.2982
T04003,Sedan,0.2982
T04005,Sedan,0.2982
T04007,Sedan,0.2982
T04009,Sedan,0.2982
T04011,Sedan,0.2982
T04012,Sedan,0.2982
T04013,Sedan,0.2982
T04015,Sedan,0.2982
T04017,Sedan,0.2982
T04019,Sedan,0.2982
T04021,Sedan,0.2982
T04023,Sedan,0.2982
T04025,Sedan,0.2982
T04027,Sedan,0.2982
T05001,Sedan,0.2982
T05003,Sedan,0.2982
T05005,Sedan,0.2982
T05007,Sedan,0.2982
T05009,Sedan,0.2982
T05011,Sedan,0.2982
T05013,Sedan,0.2982
T05015,Sedan,0.2982
T05017,Sedan,0.2982
T05019,Sedan,0.2982
T05021,Sedan,0.2982
T05023,Sedan,0.2982
T05025,Sedan,0.2982
T05027,Sedan,0.2982
T05029,Sedan,0.2982
T05031,Sedan,0.2982
T05033,Sedan,0.2982
T05035,Sedan,0.2982
T05037,Sedan,0.2982
T05039,Sedan,0.2982
T05041,Sedan,0.2982
T05043,Sedan,0.2982
T05045,Sedan,0.2982
T05047,Sedan,0.2982
T05049,Sedan,0.2982
T05051,Sedan,0.2982
T05053,Sedan,0.2982
T05055,Sedan,0.2982
T05057,Sedan,0.2982
T05059,Sedan,0.2982
T05061,Sedan,0.2982
T05063,Sedan,0.2982
T05065,Sedan,0.2982
T05067,Sedan,0.2982
T05069,Sedan,0.2982
T05071,Sedan,0.2982
T05073,Sedan,0.2982
T05075,Sedan,0.2982
T05077,Sedan,0.2982
T05079,Sedan,0.2982
T05081,Sedan,0.2982
T05083,Sedan,0.2982
T05085,Sedan,0.2982
T05087,Sedan,0.2982
